t,A,C,DA,DAp,DR,DRP,MA,MR,R
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.01,0.7419150925703879,3.7853531697435623e-05,0.9965856781506841,0.003414321849316281,1.627750812381751,0.3722491876182487,0.4812768950796671,0.316045862327121,0.009149078532563915
0.02,1.3036549454457993,0.0004245798884003747,0.9897511568789993,0.010248843121001161,1.8509903170602078,0.14900968293979217,0.9400600568228894,0.4349702399340733,0.027960964008595948
0.03,1.9342729176710598,0.0016848453805768857,0.9811158836381019,0.018884116361898517,1.925211697804727,0.07478830219527309,1.3884771455656877,0.48521367940175786,0.04978049978198843
0.04,2.7216725463832336,0.004500628702695911,0.9705422331260992,0.029457766873901118,1.9433433201632904,0.05665667983670928,1.835275853265845,0.5143795221692347,0.07187012718150906
0.05,3.6978860925028174,0.009734396244708081,0.9576150417417046,0.04238495825829571,1.9389748227085037,0.061025177291495904,2.2898220525027773,0.5407632155245626,0.09284101592729273
0.06,4.878124016014806,0.01838954689039732,0.9420319573046815,0.05796804269531867,1.9242479940900823,0.07575200590991714,2.7621748799817025,0.5720644836795232,0.11177137987471178
0.07,6.27486851417702,0.031533522298496604,0.9236547555678396,0.07634524443216059,1.903564470056207,0.0964355299437922,3.2623683717772387,0.6121435399342836,0.12795007695918098
0.08,7.902688461514234,0.05020660169967078,0.9024759126771986,0.09752408732280153,1.8785254619525873,0.12147453804741214,3.7997737224292716,0.663461291508081,0.1408466374903197
0.09,9.77960114609642,0.07533254507265892,0.8785790273521488,0.12142097264785132,1.8497147117902872,0.15028528820971246,4.3826920738158295,0.727963875043127,0.15015603746730474
0.1,11.927135880915959,0.10764812447108393,0.8521123962858642,0.14788760371413587,1.8173492414051193,0.18265075859488028,5.018129023671473,0.8074037294283395,0.15585228845712915
0.11,14.369888352649449,0.1476698966392819,0.8232762749183592,0.17672372508164072,1.7815254043496498,0.21847459565034996,5.711672779157664,0.9034525827653943,0.15821472035351877
0.12,17.134845181195388,0.1957131925071865,0.792319308241823,0.2076806917581769,1.7423203233849935,0.25767967661500624,6.46741663693452,1.0177333183896538,0.157805364980676
0.13,20.250575234860925,0.25196775797427234,0.7595389891203449,0.24046101087965502,1.6998406373268606,0.3001593626731393,7.287893602480607,1.1518163637323902,0.15539038728692992
0.14,23.746330550832003,0.3166179141250181,0.7252817035810724,0.27471829641892787,1.6542500291922335,0.3457499708077663,8.174014764427671,1.307197777753118,0.15181652096240858
0.15,27.651096653265366,0.38997792686432453,0.689939028574457,0.31006097142554323,1.605785392317743,0.394214607682257,9.125020531797693,1.485266747349619,0.1478711798505732
0.16,31.992642723996422,0.4726038517738914,0.6539383013241662,0.34606169867583414,1.5547639626664937,0.44523603733350614,10.138464416969788,1.6872674685375229,0.14416457355225645
0.17,36.79662673284188,0.5653486871456229,0.6177270602516944,0.38227293974830584,1.5015816119167427,0.49841838808325706,11.21025221980204,1.914259866413854,0.1410667472144582
0.18,42.08580239388717,0.669348025294446,0.5817526066706544,0.4182473933293457,1.446702551765568,0.5532974482344315,12.334755452631091,2.1670835269531454,0.1387122795954871
0.19,47.87935747199662,0.7859498400226177,0.5464393506773004,0.4535606493226998,1.390641666904809,0.6093583330951906,13.505007498677019,2.4463288623547967,0.13705913853593835
0.2,54.19239681332176,0.9166202036551994,0.5121673370042886,0.48783266299571143,1.3339416898348833,0.6660583101651163,14.712976764632103,2.7523186247884444,0.13597026761666875
0.21,61.03557609051597,1.062857736005399,0.47925517099114384,0.5207448290088561,1.2771481127122477,0.7228518872877521,15.949897228619756,3.085101582995478,0.13528565796440184
0.22,68.41489242069066,1.2261357041932148,0.44794954395532066,0.552050456044679,1.2207847862767107,0.7792152137232888,17.20662682724099,3.4444586889500783,0.13486664885543329
0.23,76.33163756922787,1.4078730410598,0.418422071893273,0.5815779281067267,1.1653327183212574,0.834667281678742,18.47400070734203,3.829920680111415,0.13461184935020723
0.24,84.78251196549458,1.6094247003933706,0.39077273064833695,0.6092272693516628,1.1112138005416856,0.8887861994583138,19.7431492516391,4.240794951097695,0.13445484664181184
0.25,93.75988513151108,1.832080411483112,0.3650382101819473,0.6349617898180522,1.0587803943759981,0.9412196056240015,21.005760264602433,4.676199023173109,0.13435502783616576
0.26,103.25217423765375,2.0770650459714086,0.34120309229425205,0.6587969077057474,1.008310759213001,0.9916892407869984,22.254273147276148,5.135097530540497,0.13428859683088712
0.27,113.24430506560256,2.3455383367155886,0.3192119374581353,0.6807880625418643,0.960009700890983,1.0399902991090164,23.482004221877023,5.616339973780991,0.134242129660283
0.28,123.71821852282353,2.6385940578749176,0.2989808116776537,0.7010191883223461,0.914013338955248,1.0859866610447515,24.683209165647888,6.118696865675828,0.134208537447299
0.29,134.6533906887867,2.9572593185611105,0.2804073439079777,0.7195926560920219,0.8703966724328797,1.1296033275671196,25.853093355448436,6.640892583866108,0.13418463413947165
0.3,146.02734278870588,3.302494520083203,0.26337891687355003,0.7366210831264498,0.829182677600925,1.1708173223990743,26.98778136945437,7.1816338513747,0.13416963614600408
0.31,157.81611931782174,3.675194012264313,0.2477789554080952,0.7522210445919046,0.790351858190059,1.20964814180994,28.0842594441145,7.739633376209997,0.13416420451040434
0.32,169.99472629203768,4.076187523079629,0.233491510497463,0.7665084895025367,0.7538515017476412,1.2461484982523583,29.140299722914126,8.313628652284821,0.1341698169681727
0.33,182.53752160941545,4.506242148755572,0.22040440613082998,0.7795955938691699,0.7196040798107415,1.2803959201892579,30.15437586214006,8.90239629680543,0.134188354470788
0.34,195.41855636842809,4.966064898901198,0.20841126163123372,0.7915887383687662,0.6875145191655396,1.3124854808344595,31.125574895311154,9.504762331087598,0.13422182831304408
0.35000000000000003,208.61186648738666,5.4563054892894725,0.19741265754954743,0.8025873424504525,0.6574763134277968,1.3425236865722026,32.05351153675291,10.119609142012836,0.134272210266321
0.36,222.09171718364553,5.977559467681923,0.18731672783239994,0.8126832721675998,0.6293764014060395,1.3706235985939599,32.938246250072645,10.745879536406335,0.13434131453340867
0.37,235.83280556284973,6.530371221999743,0.17803921791438493,0.8219607820856151,0.6030990989373609,1.3969009010626385,33.78021087074372,11.382578824446638,0.13443076484195218
0.38,249.8104240749664,7.115237198469625,0.16950337434198348,0.8304966256580163,0.5785289433052242,1.4214710566947752,34.58014057237645,12.028775034808357,0.13454194318293927
0.39,264.00058901219575,7.732609038656835,0.16163958900860426,0.8383604109913955,0.5555528838005962,1.4444471161994035,35.339013490014636,12.683597882918232,0.13467599226566176
0.4,278.3801391783081,8.382896607880223,0.15438494037701775,0.845615059622982,0.5340617976139,1.4659382023860996,36.05799800396919,13.346236863042112,0.13483382349567374
0.41000000000000003,292.9268087155726,9.066470906991967,0.14768268763888723,0.8523173123611127,0.5139515055266236,1.486048494473376,36.73840711067324,14.01593872307389,0.1350161308349354
