t,Z,Y,X
0.0,0.0,0.0,0.5
0.01,0.0019329504249935958,0.0023918930165484635,0.49593156443264075
0.02,0.002003599638583187,0.006580753082806429,0.49192220328258385
0.03,0.0020132655545092044,0.010807372382415657,0.48793583337162305
0.04,0.0020255889665700792,0.01500938001299381,0.48397131119811243
0.05,0.0020416555823970285,0.01918543362659908,0.4800288576378565
0.06,0.0020610606103824325,0.023335678527189554,0.4761086966569939
0.07,0.002083335838426014,0.02746035987332032,0.4722110202434137
0.08,0.002108005793494436,0.03155976933042073,0.4683359858797018
0.09,0.002134608380257469,0.03563422477962309,0.4644837161623962
0.1,0.0021627094770456986,0.03968405469635381,0.46065429961028653
0.11,0.0021919127167884184,0.043709586404686904,0.4568477922967334
0.12,0.002221864949184646,0.04771113795664716,0.453064220100791
0.13,0.002252258287183681,0.05168901297637834,0.4493035813731995
0.14,0.0022828292306027744,0.05564349824351453,0.4455658497759929
0.15,0.0023133564810580848,0.05957486250718328,0.44185097722376604
0.16,0.0023436571357236527,0.06348335706318739,0.43815889670785907
0.17,0.0023735827739840474,0.06736921650823241,0.4344895250886509
0.18,0.0024030151382433947,0.07123266025880128,0.43084276557376583
0.19,0.002431861937934369,0.0750738942854143,0.4272185099060161
0.2,0.002460053065696566,0.07889311230203268,0.42361664070328203
0.21,0.0024875370388860473,0.08269049772215142,0.42003703288014066
0.22,0.002514277391744355,0.0864662250566528,0.41647955566473244
0.23,0.002540251029041224,0.09022045976153124,0.412944074244703
0.24,0.002565445038608703,0.09395336330203531,0.409430447944348
0.25,0.002589854324844267,0.09766508370549042,0.40593854137859414
0.26,0.0026134743458028895,0.10135576734712058,0.40246822013578326
0.27,0.002636324769430724,0.10502556037381007,0.3990193270542926
0.28,0.0026584101659657207,0.10867460271824227,0.3955917250325872
0.29,0.0026797437574501057,0.1123030279300367,0.3921852747450404
0.3,0.00270034205019532,0.1159109710153423,0.3887998322759384
0.31,0.002720226194235934,0.1194985558701775,0.3854352597478367
0.32,0.0027394190672134543,0.12306590374744064,0.3820914200295453
0.33,0.002757939284078129,0.12661313895774606,0.3787681770933139
0.34,0.002775802021878351,0.13014038674795902,0.3754653971818722
0.35000000000000003,0.0027930296099270406,0.13364776155306776,0.37218294988237943
0.36,0.002809642274921857,0.13713538007693182,0.36892070464370313
0.37,0.0028256618773086044,0.14060335314282818,0.36567853480777845
0.38,0.002841107786318904,0.14405179020204806,0.3624563173054008
0.39,0.002856000458635582,0.14748080033247604,0.35925392839686277
0.4,0.0028703581767751465,0.1508904901462582,0.35607124866780643
0.41000000000000003,0.002884199253329999,0.15428096217670967,0.35290816243930645
0.42,0.00289754164470657,0.15765231722550652,0.3497645559930208
0.43,0.002910401755694371,0.16100465545605874,0.3466403176905682
0.44,0.0029227961139609983,0.16433807289728342,0.34353533959953614
0.45,0.002934739858449657,0.16765266630697623,0.340449514494259
0.46,0.002946247839392881,0.17094852861423387,0.3373827389490522
0.47000000000000003,0.00295733446099488,0.17422575173408855,0.33433491098838847
0.48,0.0029680132093102933,0.17748442546043597,0.33130593145921516
0.49,0.002978297336569151,0.18072463733003688,0.3282957036453703
0.5,0.002988199088132636,0.18394647352429308,0.32530413297608646
0.51,0.002997730207006284,0.18715001816429788,0.3223311273293722
0.52,0.0030069019278588212,0.1903353536220019,0.31937659677188235
0.53,0.003015725014664007,0.19350256056287005,0.31644045350085676
0.54,0.0030242093488119866,0.1966517174791167,0.31352261247944496
0.55,0.0030323643087186414,0.19978290111989064,0.31062299085117134
0.56,0.0030401995674799254,0.20289618701950804,0.30774150680117784
0.5700000000000001,0.0030477237217425776,0.2059916485142899,0.3048780815320164
0.58,0.0030549446092414338,0.2090693569702508,0.30203263880607867
0.59,0.0030618698141731985,0.21212938217190147,0.2992051041889759
0.6,0.003068507689676132,0.21517179336247116,0.29639540324640623
0.61,0.0030748645962898388,0.21819665655960613,0.29360346627969697
0.62,0.0030809469479979533,0.22120403654418586,0.29082922481721146
0.63,0.0030867612785016895,0.2241939966097526,0.28807261176565296
0.64,0.003092314523668668,0.22716659868391048,0.2853335610545373
0.65,0.0030976116682039038,0.2301219023168441,0.28261201059840674
0.66,0.003102658029804766,0.23305996566306836,0.2799078994216879
0.67,0.003107459287700109,0.2359808458232982,0.27722116732268937
0.68,0.003112020285770786,0.23888459779872917,0.2745517568638533
0.6900000000000001,0.0031163455563173854,0.24177127493235892,0.2718996125156367
0.7000000000000001,0.003120439534223638,0.24464092908273818,0.2692646803125533
0.71,0.00312430637018507,0.2474936105898954,0.2666469080425994
0.72,0.003127950062127866,0.2503293682547154,0.2640462451552281
0.73,0.0031313745796184367,0.25314824932132385,0.26146264267243136
0.74,0.0031345837569047973,0.2559502995587172,0.25889605320237735
0.75,0.003137581000396987,0.25873556308719425,0.2563464313468849
0.76,0.003140369081794154,0.2615040822861386,0.2538137339610323
0.77,0.003142951633354142,0.2642558985015849,0.251297918234419
0.78,0.003145331834688212,0.26699105143416885,0.24879894336662312
0.79,0.003147512678635076,0.2697095792636033,0.24631677022590928
0.8,0.0031494962130956244,0.2724115182640343,0.24385136233958352
0.81,0.003151285464664302,0.2750969037943969,0.24140268336548246
0.8200000000000001,0.003152882970338441,0.27776576954967896,0.23897069901410503
0.8300000000000001,0.003154291171320383,0.28041814776690954,0.23655537652743627
0.84,0.003155512557380525,0.2830540687076856,0.23415668498421602
0.85,0.003156549417391956,0.2856735616813555,0.23177459466150363
0.86,0.003157404023823927,0.2882766543705552,0.2294090774361084
0.87,0.0031580786118968695,0.29086337296002934,0.22706010669398152
0.88,0.0031585755260489664,0.2934337421766741,0.2247276571478306
0.89,0.0031588970312413766,0.29598778526537284,0.22241170504937854
0.9,0.0031590453642952702,0.2985255239979383,0.22011222813020462
0.91,0.0031590228177768246,0.30104697868654445,0.21782920550578178
0.92,0.0031588307570116023,0.30355216965972115,0.21556261718087955
0.93,0.0031584706661660876,0.3060411156865216,0.21331244458253212
0.9400000000000001,0.0031579452039780177,0.30851383238593205,0.21107867109813744
0.9500000000000001,0.003157256406745528,0.3109703349994479,0.20886128109658736
0.96,0.003156406325607319,0.31341063744048847,0.20666026024385245
0.97,0.003155397034778878,0.31583475230591174,0.20447559548406719
0.98,0.0031542302663297903,0.3182426917860265,0.20230727447183136
0.99,0.003152906946960447,0.3206344688103825,0.2001552848605031
1.0,0.003151429643269141,0.32301009119608115,0.19801961786441075
1.01,0.003149800232306327,0.3253695672834728,0.19590026480480116
1.02,0.0031480205958062534,0.32771290429724925,0.19379721809896994
1.03,0.003146092624389726,0.33004010836766223,0.1917104712354197
1.04,0.00314401823307673,0.3323511846224259,0.18964001866289018
1.05,0.0031417998175852792,0.33464614003340504,0.18758585232265834
1.06,0.003139439163405241,0.336924976593596,0.18554796996345846
1.07,0.0031369383424263166,0.3391876969157438,0.18352636832053326
1.08,0.0031342994734167608,0.3414343027303571,0.18152104494682977
1.09,0.0031315247273951334,0.3436647949142323,0.1795319981792554
1.1,0.003128616333002055,0.3458791735189788,0.17755922710493408
1.11,0.003125576306212038,0.3480774406164315,0.17560272890397455
1.12,0.0031224069464182848,0.3502595953127225,0.1736625034859
1.1300000000000001,0.003119110626218628,0.35242563597981474,0.17173855140414868
1.1400000000000001,0.0031156897239523846,0.3545755610283046,0.16983087312915157
1.1500000000000001,0.003112146678193731,0.3567093684339876,0.16793946948208494
1.16,0.003108483635977723,0.3588270575692407,0.16606434015010826
1.17,0.0031047029409014895,0.36092862681742593,0.1642054855899405
1.18,0.003100807184608205,0.36301407337953,0.16236290716997628
1.19,0.0030967988643364726,0.3650833950587357,0.1605366057231374
1.2,0.003092680515401584,0.36713658966037765,0.158726582015759
1.21,0.003088454767369315,0.36917365595182966,0.1569328357397639
