t,x,y,z,w
0.0,10.0,0.1,0.0,0.001
0.01,9.994881930906221,0.10491573145712699,5.1216132333063786e-08,0.0010008732835460345
0.02,9.989520268562133,0.1100702265890375,1.0494624830313277e-07,0.0010017946627878251
0.03,9.983903464519948,0.1154747944247778,1.6131751572807943e-07,0.0010027665126202288
0.04,9.978019456310639,0.12114124678521151,2.2046360699881718e-07,0.001003791323800595
0.05,9.971855638421482,0.1270819266214673,2.825251414359981e-07,0.0010048717103805027
0.06,9.96539883756395,0.1333097321310734,3.476501117049145e-07,0.0010060104166251926
0.07,9.958635311801995,0.13983811753230102,4.1599401261332417e-07,0.0010072103186014845
0.08,9.951550711553468,0.14668113111615433,4.877204772944021e-07,0.0010084744346494602
0.09,9.944130060298889,0.1538534340043883,5.630016904234323e-07,0.001009805931717162
0.1,9.936357736055403,0.16137031817844663,6.420187625738234e-07,0.001011208131178344
0.11,9.928217460808765,0.16924771675970157,7.249619503200015e-07,0.001012684512224546
0.12,9.919692248622434,0.17750225443388318,8.120318196743865e-07,0.0010142387294706898
0.13,9.910764387873487,0.18615126478326796,9.034395358084475e-07,0.001015874617740437
0.14,9.901415438330059,0.19521279295586189,9.994071954316326e-07,0.001017596196089704
0.15,9.891626197679118,0.20470562823714727,1.1001685067713029e-06,0.001019407678357878
0.16,9.88137667312236,0.21464933155986946,1.2059695710624981e-06,0.0010213134844216415
0.17,9.870646063116718,0.22506425308710004,1.3170695440051204e-06,0.001023318249228474
0.18,9.85941273165059,0.23597155721569804,1.4337412036249439e-06,0.0010254268314086685
0.19,9.847654186125586,0.2473932437140089,1.556272009911509e-06,0.0010276443270623662
0.2,9.83534705406726,0.25935217039321123,1.6849645624402726e-06,0.0010299760769513656
0.21,9.822467064476658,0.2718720707470392,1.8201377873716515e-06,0.0010324276813219117
0.22,9.80898902399594,0.28497757703221266,1.962127598457956e-06,0.0010350050094157168
0.23,9.794886800847115,0.29869423536616074,2.111288077768984e-06,0.0010377142138883544
0.24,9.780133304996012,0.31304852467442673,2.267992445573861e-06,0.001040561743321681
0.25,9.764700461679638,0.3280678824518053,2.4326335890837093e-06,0.0010435543505786565
0.26,9.748559213352253,0.3437807015794803,2.605626118120166e-06,0.001046699114801082
0.27,9.731679502899718,0.3602163461930588,2.787407456394789e-06,0.001050003454898417
0.28,9.71403024104677,0.37740518361030395,2.978438144881235e-06,0.0010534751361536226
0.29,9.6955793237377,0.39537856574405383,3.1792042427048482e-06,0.0010571222939942935
0.3,9.676293627890717,0.4141688323495093,3.3902188604287206e-06,0.001060953450803873
0.31,9.656138989909199,0.43380933168180774,3.6120230030552918e-06,0.0010649775271486545
0.32,9.635080227196854,0.4543343979910824,3.845187758010968e-06,0.001069203862252282
0.33,9.613081117891362,0.4757793708141934,4.090315379422181e-06,0.001073642227998313
0.34,9.590104443896573,0.49818055097973835,4.348042005582749e-06,0.0010783028520005566
0.35000000000000003,9.56611198511135,0.5215752054212741,4.619039093256636e-06,0.0010831964334613539
0.36,9.541064539382642,0.5460015463373034,4.9040154313277735e-06,0.0010883341614555057
0.37,9.514921976842361,0.5714986760170233,5.2037199888358664e-06,0.0010937277373028746
0.38,9.487643225113242,0.5981066006258966,5.518943184305895e-06,0.001099389390027428
0.39,9.459186369911247,0.6258661290099138,5.850520653285099e-06,0.001105331900704601
0.4,9.429508648627268,0.6548188780881259,6.199334745407609e-06,0.001111568619560268
0.41000000000000003,9.398566532934801,0.6850071896663938,6.566317824066441e-06,0.001118113487264003
0.42,9.366315812263403,0.7164740463824932,6.952455590792816e-06,0.0011249810564140541
0.43,9.332711642484863,0.7492630223123058,7.358789669033304e-06,0.001132186510306833
0.44,9.297708634468236,0.7834181939206379,7.786420980378995e-06,0.0011397456833154688
0.45,9.261260956068574,0.8189840376934558,8.236513375594221e-06,0.001147675080662971
0.46,9.223322442026916,0.8560053199283877,8.710297395621778e-06,0.0011559918979697186
