t,Y,Z,Wstar
0.0,1.454,0.2281,0.8916
0.01,1.4644659605302224,0.22878958608002048,0.8874485332816399
0.02,1.4748586933877292,0.2294832437860224,0.8833010772595415
0.03,1.4851781809028246,0.23018059940608274,0.8791576466156493
0.04,1.4954243387228439,0.23088137078736698,0.875018258806696
0.05,1.505597026646292,0.23158537218430422,0.8708829333242468
0.06,1.515696066101755,0.2322924666455247,0.8667516924251377
0.07,1.525721247332578,0.2330025593226679,0.8626245607286606
0.08,1.5356723359031248,0.23371558736954798,0.8585015649303264
0.09,1.54554907415758,0.23443151717526858,0.8543827338519651
0.1,1.5553511841772747,0.23515033779792036,0.8502680987197598
0.11,1.5650783739594702,0.2358720520095904,0.8461576927232545
0.12,1.5747303379009774,0.23659667505830084,0.8420515510099076
0.13,1.5843067568940035,0.23732423350215928,0.8379497107834775
0.14,1.593807304791222,0.23805475873772378,0.8338522103356772
0.15,1.6032316370857203,0.23878829630479023,0.8297590907492874
0.16,1.612579403683162,0.23952489331756963,0.8256703941739266
0.17,1.6218502414862883,0.2402646042738608,0.8215861649453576
0.18,1.6310437785690917,0.24100748674646658,0.8175064489220695
0.19,1.6401596331052934,0.24175360264146104,0.8134312936494319
0.2,1.6491974095506077,0.24250301876945476,0.8093607488722346
0.21,1.658156706487913,0.24325580417458917,0.8052948652936547
0.22,1.6670371131495196,0.24401203109741126,0.8012336949993791
0.23,1.6758381977314225,0.244771779275939,0.7971772933075159
0.24,1.684559531793121,0.24553512685671094,0.7931257149792038
0.25,1.6932006574004839,0.24630216095920618,0.7890790191502762
0.26,1.701761123524294,0.24707296655025185,0.7850372639124061
0.27,1.7102404483492044,0.24784763738836904,0.7810005116973254
0.28,1.7186381523243908,0.24862626658389667,0.776968824613982
0.29,1.7269537316194512,0.24940895424313342,0.7729422679916318
0.3,1.735186671723425,0.25019580354702275,0.7689209085910403
0.31,1.7433364504172995,0.25098691991616623,0.7649048141083766
0.32,1.7514025126317792,0.2517824182671432,0.7608940564575368
0.33,1.7593843116305012,0.2525824110984802,0.7568887064515266
0.34,1.7672812564370457,0.25338702364022825,0.7528888403931158
0.35000000000000003,1.7750927653327249,0.25419637846356496,0.7488945334302652
0.36,1.7828182167711455,0.25501060976557355,0.7449058654872661
0.37,1.790456982473744,0.25582985370601224,0.7409229172983034
0.38,1.7980084153646076,0.25665425209210774,0.7369457717614964
0.39,1.8054718318694296,0.2574839575788383,0.7329745160452138
