t,x,y,z
0.0,1.0,0.0,0.01
0.01,0.9999499942664976,8.14639746908576e-09,0.009950124718199308
0.02,0.9998999771836672,3.2365822705083966e-08,0.009900498527431018
0.03,0.9998499490549846,7.209233985827124e-08,0.009851120529300051
0.04,0.9997999102137901,1.2671144552406035e-07,0.00980198967037585
0.05,0.9997498607846873,1.9601906054978453e-07,0.009753105325838944
0.06,0.999699801080996,2.7945086535834363e-07,0.009704466385753565
0.07,0.9996497314116712,3.764440000205959e-07,0.009656071813358954
0.08,0.9995996520856686,4.864356046073986e-07,0.009607920571894347
0.09,0.999549563411943,6.088628191896098e-07,0.009560011624598986
0.1,0.99949946569945,7.431627838380876e-07,0.009512343934712104
0.11,0.9994493592571447,8.88772638623689e-07,0.009464916465472945
0.12,0.999399244330712,1.045264318654281e-06,0.00941772819922224
0.13,0.9993491209344403,1.2127027420055775e-06,0.0093707781881602
0.14,0.9992989892662135,1.3907616819126483e-06,0.009324065429058807
0.15,0.9992488495492443,1.5790609498944913e-06,0.00927758891104325
0.16,0.9991987020067455,1.7772203574701077e-06,0.009231347623238715
0.17,0.99914854686193,1.9848597161584954e-06,0.009185340554770391
0.18,0.9990983843380102,2.2015988374786534e-06,0.00913956669476347
0.19,0.999048214658199,2.427057532949582e-06,0.009094025032343139
0.2,0.9989980379638355,2.661034169638752e-06,0.00904871451131855
0.21,0.9989478543136115,2.903507355871444e-06,0.009003634029754994
0.22,0.99889766387655,3.154215084613662e-06,0.008958782546784113
0.23,0.9988474668234477,3.4128914792625883e-06,0.008914159022519613
0.24,0.9987972633251014,3.679270663215406e-06,0.008869762417075197
0.25,0.998747053552308,3.953086759869299e-06,0.008825591690564573
0.26,0.9986968376758644,4.234073892621451e-06,0.008781645803101444
0.27,0.9986466158654689,4.521968591154874e-06,0.008737923714735108
0.28,0.9985963882070387,4.816690907600499e-06,0.00869442438060241
0.29,0.9985461547951486,5.118141929342013e-06,0.008651146756347835
0.3,0.9984959157681507,5.426126850209247e-06,0.00860808980018271
0.31,0.9984456712643969,5.740450864032023e-06,0.008565252470318356
0.32,0.9983954214222391,6.060919164640168e-06,0.008522633724966098
0.33,0.9983451663800293,6.387336945863508e-06,0.008480232522337256
0.34,0.9982949062761197,6.719509401531868e-06,0.008438047820643156
0.35000000000000003,0.9982446412381223,7.0572645839913455e-06,0.008396078583028998
0.36,0.9981943712958194,7.40063876931207e-06,0.00835432381758385
0.37,0.9981440965411511,7.749535935894574e-06,0.008312782503841104
