t,A_dopa_b,C_dopa_b,C_OMD_b,C_Ro_central,A_bens,C_bens_central,C_bens_peripheral,A_Ro,C_Ro_peripheral
0.0,101.0,0.0,0.0,0.0,19.51,0.0,0.0,1.3658,0.0
0.01,98.89122580479456,0.9009463655021293,0.0018994401323857418,0.33549860667010467,19.327465257366043,0.01890922165202855,5.448574853123487e-05,1.3324779612872268,0.0006289351597364826
0.02,96.82648060536647,1.7784316315435091,0.007530187504589305,0.48265046004333484,19.146638302123627,0.035828297282087716,0.00020983583456340014,1.2999688953786,0.0020138087403885827
0.03,94.80484512273951,2.632965201488384,0.016792550523924032,0.5431595364322371,18.967503156298886,0.05095008039930274,0.00045478407707329476,1.268252967815939,0.003719019258824219
0.04,92.8254192711873,3.465045279699491,0.02958901146573789,0.5638866430304195,18.790043991393787,0.06444887607398149,0.0007791648724798226,1.2373108280452292,0.005544413445018583
0.05,90.88732175783043,4.275160285849052,0.04582418296433694,0.5664231839063495,18.614245127001062,0.07648222360831235,0.001173807242967084,1.2071235976166506,0.007398320501524792
0.06,88.98968969026173,5.063789029380014,0.06540476606871803,0.5607173066904885,18.440091029418674,0.08719250789928765,0.0016304390682214402,1.1776728586664404,0.009239051445826362
0.07,87.13167819236344,5.8314007639265455,0.08823950875920167,0.5513521966707593,18.267566310277253,0.09670841594474681,0.0021416005225156527,1.148940642679766,0.011047943814579658
0.08,85.31246002814613,6.578455218445637,0.11423916464471617,0.5404388726890346,18.096655725180355,0.10514625337502277,0.0027005658324457667,1.1209094195277565,0.012816940904162204
0.09,83.53122523344128,7.305402652372395,0.14331645185693812,0.5289490504118155,17.927344172357493,0.1126111344615287,0.003301272555701566,1.0935620867720037,0.014542868180614347
0.1,81.78718075528361,8.012683948453004,0.17538601227943518,0.5173293095306798,17.759616691329697,0.11919805776206892,0.003938257658028368,1.0668819592300047,0.016224795321016686
0.11,80.0795500988231,8.700730739214926,0.21036437126505228,0.5057840887871358,17.593458461587613,0.12499287839284355,0.004606599735078061,1.0408527587951795,0.01786282018602177
0.12,78.4075729816095,9.36996555737995,0.2481698979627181,0.4944060969785963,17.428854801281965,0.13007318685331462,0.005301866789085493,1.0154586045052874,0.019457508008018758
0.13,76.77050499509248,10.020802000851514,0.28872276633314514,0.4832364394905113,17.26579116592623,0.13450910342463787,0.006020069024132061,0.9906840028530428,0.021009632458091138
0.14,75.16761727319339,10.653644905270497,0.33194491689925937,0.47229231572340996,17.104253147111482,0.13836399617592662,0.006757616182397333,0.9665138383332815,0.022520056060185468
0.15,73.59819616779197,11.268890519422428,0.37776001925115904,0.46157982037698214,16.944226471233293,0.1416951300181426,0.007511278979138598,0.9429333642205776,0.023989674668244643
0.16,72.06154293097725,11.866926680696938,0.42609343530981564,0.4510998465879606,16.78569699823038,0.14455425334675798,0.008278154247559441,0.9199281935715835,0.025419391658301798
0.17,70.55697340340447,12.448132989216976,0.47687218328570313,0.44085082546234333,16.628650720333,0.1469881291049359,0.009055633387482692,0.8974842904320699,0.026810105791445056
0.18,69.08381771112111,13.012880978340483,0.5300249026123001,0.430829992547537,16.473073760831028,0.14903901191202873,0.00984137401990682,0.8755879613135062,0.028162705482388865
0.19,67.64141996659068,13.561534283357744,0.5854818193640806,0.42103399703764227,16.318952372844915,0.1507450826377466,0.010633274171178347,0.8542258468176969,0.02947806595864816
