t,x,v,y
0.0,0.1,1.0,0.0
0.01,0.10069035358479547,0.995013470375896,0.00020097698246069636
0.02,0.10138140040569608,0.9900538257485944,0.00040390218282546905
0.03,0.10207311178246634,0.9851209514119581,0.0006087636575349256
0.04,0.1027654641885409,0.9802147533177307,0.0008155512690733429
0.05,0.10345842754321555,0.9753351112101717,0.0010242518602342752
0.06,0.1041519688845971,0.9704818933245088,0.0012348512675032111
0.07,0.10484605666399929,0.9656549736530283,0.0014473357127664079
0.08,0.10554066614328513,0.9608542539422569,0.0016616932472654448
0.09,0.10623577009073895,0.95607962577693,0.001877911252451379
0.1,0.10693134064364032,0.9513309781122827,0.0020959766014984615
0.11,0.1076273497906157,0.9466081991825793,0.002315875455313765
0.12,0.10832376960370546,0.941911177626206,0.0025375943722814012
0.13,0.10902057245669296,0.9372398031719489,0.0027611194802838537
0.14,0.10971773090242727,0.9325939661932892,0.0029864366397091744
0.15,0.11041521756091927,0.927973557224012,0.0032135316601689173
0.16,0.11111300468673711,0.9233784656147401,0.003442390816594851
0.17,0.11181106566942306,0.918808584390706,0.003672998938749838
0.18,0.11250937319132738,0.9142638042556153,0.0039053417758298185
0.19,0.11320790049800275,0.9097440175209363,0.004139404488053712
0.2,0.11390662082349115,0.9052491165285681,0.004375172210070883
0.21,0.1146055075186882,0.9007789940031435,0.004612629925121986
0.22,0.115304534107484,0.8963335432061105,0.004851762410002531
0.23,0.11600367428676307,0.8919126579357319,0.005092554235062873
0.24,0.11670290189553317,0.8875162320591499,0.0053349900261297975
0.25,0.11740219091685712,0.8831441595416658,0.005579054448116958
0.26,0.11810151552699061,0.8787963351915594,0.005824731788121989
0.27,0.11880085006960017,0.8744726542692896,0.006072006174171312
0.28,0.11950016905569388,0.870173012486446,0.006320861575807026
0.29,0.1201994471580008,0.8658973059280771,0.006571281849002682
0.3,0.12089865915960084,0.8616454303427992,0.00682325114667564
0.31,0.12159778002371845,0.8574172821072855,0.00707675336094694
0.32,0.12229678488472319,0.8532127581019008,0.007331772195058611
0.33,0.1229956490381518,0.8490317555728157,0.007588291243109616
0.34,0.12369434794070817,0.8448741721320071,0.00784629399005584
0.35000000000000003,0.12439285726699015,0.8407399056915048,0.008105763910208437
0.36,0.12509115293656786,0.8366288544320052,0.008366684514252008
0.37,0.12578921097939819,0.8325409169588706,0.008629039115554451
0.38,0.12648700759821005,0.828475992229818,0.008892810938491065
0.39,0.12718451916971885,0.8244339795535116,0.009157983120552873
0.4,0.12788172218513685,0.8204147786633401,0.009424538597821282
0.41000000000000003,0.12857859364969573,0.8164182892219356,0.00969246087410397
0.42,0.12927511042213408,0.812444411640331,0.009961732749357109
0.43,0.12997124967183682,0.8084930465110225,0.010232337199741908
0.44,0.13066698874685734,0.8045640947716469,0.010504257123548981
0.45,0.13136230517593733,0.8006574577024762,0.010777475345086865
0.46,0.13205717671968709,0.7967730368588362,0.011051974734169474
0.47000000000000003,0.1327515814129336,0.792910734015216,0.01132773830483543
0.48,0.13344549740004544,0.7890704513834284,0.011604748827258395
0.49,0.13413890301801495,0.7852520915027966,0.011882989022251537
0.5,0.13483177680266392,0.7814555572321094,0.01216244157499833
0.51,0.13552409749106623,0.7776807517465815,0.012443089139888727
0.52,0.136215844023971,0.7739275785348161,0.012724914345355337
0.53,0.13690699554822522,0.7701959413957656,0.013007899798709602
0.54,0.13759753141919673,0.7664857444356938,0.013292028090977967
0.55,0.13828743120319711,0.7627968920651369,0.013577281801738056
0.56,0.13897667467990446,0.7591292889958652,0.013863643503954845
0.5700000000000001,0.13966524184155876,0.7554828402377541,0.014151095776508518
0.58,0.1403531128506029,0.7518574510944919,0.014439621315747416
0.59,0.14104026810639653,0.7482530271623409,0.014729202787116336
0.6,0.14172668824144585,0.7446694743269265,0.015019822844750504
0.61,0.14241235411057493,0.7411066987598274,0.015311464167891186
0.62,0.1430972467931863,0.7375646069155315,0.015604109466108395
0.63,0.14378134759552175,0.7340431055283942,0.01589774148452362
0.64,0.14446463805292278,0.7305421016095951,0.016192343009032523
0.65,0.14514709993209146,0.7270615024440942,0.016487896871527685
0.66,0.14582871523335103,0.7236012155875894,0.01678438595512129
0.67,0.1465094661929065,0.7201611488634738,0.01708179319936787
0.68,0.14718933528510544,0.7167412103597921,0.017380101605487
0.6900000000000001,0.14786830501351145,0.7133413086580984,0.017679293949753212
0.7000000000000001,0.14854635788389445,0.7099613528625546,0.017979352748270915
0.71,0.1492234768960148,0.7066012520593505,0.01828026093865408
0.72,0.14989964527529243,0.7032609156107926,0.018582001511326995
0.73,0.15057484646917144,0.699940253158735,0.018884557506599592
0.74,0.15124906414801303,0.6966391746230386,0.019187912017999964
0.75,0.15192228220598827,0.6933575902000302,0.01949204819560687
0.76,0.15259448476197093,0.690095410360961,0.019796949249382217
0.77,0.15326565616043014,0.6868525458504662,0.02010259845250358
0.78,0.15393578097232333,0.6836289076850238,0.02040897914469667
0.79,0.15460484399598895,0.6804244071514134,0.020716074735567858
0.8,0.15527283023720542,0.6772389558205842,0.02102386868604537
0.81,0.15593972474342493,0.6740724656693755,0.021332344336594363
0.8200000000000001,0.15660551287740515,0.670924848877257,0.0216414851971307
0.8300000000000001,0.15727018025920594,0.6677960178683479,0.021951274888468205
0.84,0.15793371272851006,0.6646858853384031,0.02226169710512144
0.85,0.15859609634489216,0.6615943642537347,0.02257273561798277
0.86,0.15925731738808793,0.6585213678501315,0.02288437427699937
0.87,0.15991736235826282,0.6554668096317797,0.023196597013850306
0.88,0.16057621797628135,0.6524306033701831,0.023509387844623558
0.89,0.16123387118397586,0.6494126631030837,0.023822730872493068
0.9,0.16189030914441568,0.6464129031333816,0.024136610290395794
0.91,0.16254551924217606,0.6434312380280562,0.024451010383708744
0.92,0.16319948899711154,0.6404675826839634,0.02476591544180002
0.93,0.16385220609755433,0.6375218523012958,0.025081309795397883
0.9400000000000001,0.16450365852770857,0.6345939622842104,0.02539717795319873
0.9500000000000001,0.1651538344858347,0.6316838283032165,0.025713504518065207
0.96,0.16580272238392219,0.6287913662945571,0.02603027418907494
0.97,0.16645031084750556,0.6259164924594793,0.026347471763720418
0.98,0.16709658871548033,0.6230591232635049,0.026665082140108837
0.99,0.16774154503991934,0.6202191754357008,0.026983090319161972
1.0,0.1683851690858885,0.6173965659679502,0.027301481406816017
1.01,0.1690274503312631,0.6145912121142226,0.02762024061622145
1.02,0.16966837846654373,0.6118030313898446,0.027939353269942888
1.03,0.17030794329377294,0.6090319416380202,0.028258804672042333
1.04,0.17094613499159367,0.6062778608523163,0.02857858045232686
1.05,0.1715829436858366,0.6035407074620165,0.02889866601502931
1.06,0.1722183598594771,0.6008204000580304,0.029219047069912293
1.07,0.1728523741981743,0.5981168574949902,0.029539709435517578
1.08,0.17348497758998535,0.59542999889059,0.02986063904123437
1.09,0.17411616112504508,0.5927597436249469,0.03018182192932379
1.1,0.1747459160952124,0.590106011339984,0.030503244256899528
1.11,0.17537423399368232,0.587468721938838,0.030824892297864757
1.12,0.1760011065145642,0.5848477955852879,0.031146752444805217
1.1300000000000001,0.17662652555242583,0.5822431527032064,0.03146881121083853
1.1400000000000001,0.1772504832016222,0.5796547139761439,0.03179105523113661
1.1500000000000001,0.17787297167372176,0.5770824003961358,0.032113471136844055
1.16,0.1784939833658086,0.5745261332218388,0.03243604566408788
1.17,0.17911351092454464,0.5719858339392171,0.03275876575638937
1.18,0.17973154718861512,0.5694614242953214,0.03308161847759278
1.19,0.18034808518768303,0.5669528262981075,0.03340459101285036
1.2,0.18096311814129823,0.5644599622162859,0.03372767066954584
1.21,0.181576639457761,0.5619827545792003,0.03405084487815628
1.22,0.18218864273294055,0.5595211261767356,0.034374101193052446
1.23,0.18279912174904775,0.5570750000592549,0.03469742729323756
1.24,0.18340807047336286,0.5546442995375676,0.03502081098302453
1.25,0.18401548305691778,0.5522289481829247,0.03534424019265159
1.26,0.18462135383313286,0.5498288698270457,0.03566770297883642
1.27,0.18522567731640843,0.5474439885621736,0.035991187525268656
