t,V,Na_i,Ca_i,K_i,Cl_i,m,h,j,m_L,h_L,Ca_r,d,f,f2,f_Ca,f_Ca2,b,g,a,i,i2,xr,xs1,xs2,a_1,Ca_MK_trap,Ca_NSR,Ca_JSR,ri,ro
0.0,-83.43812846286808,9.927155552932733,0.00022355433459434943,141.9670801746057,18.904682470140408,0.002003390432234504,0.9786390933308567,0.09866447258167589,0.002003390432234504,0.8946968372659203,0.00022418117117903934,2.322223865147363e-06,0.9985607329462358,0.8173435436674658,0.9610551285529658,0.868690796671854,0.0002563937630984438,0.9720432601848331,0.0004238729429342389,0.9990935802459496,0.9777368439681764,0.07084939408222911,0.0011737654433043125,0.001179442867470093,0.0014909437525000811,8.789168284782809e-06,1.2132524695849454,1.1433050636518596,0.7802870066567904,1.2785734760674763e-09
0.01,-82.63861646532807,9.927155626524781,0.0002235534117505388,141.96708010722722,18.90468247636583,0.00213771104674265,0.9786348673885279,0.09866379985419285,0.00213771104674265,0.8946976511624931,0.0002241802433269628,2.324556048773168e-06,0.9985607189636063,0.8173459238546423,0.9610552897935842,0.8686936472522037,0.0002580848204293987,0.9720428601117583,0.0004258104197078596,0.9990935576942945,0.9777367335532466,0.07084869703813049,0.0011737755816976596,0.0011794470827412122,0.0014909375818770597,8.789111630209803e-06,1.2132527025618074,1.1433069218721341,0.7802928350649904,1.2785687238609715e-09
0.02,-81.84002995253644,9.927155700116225,0.00022355248892405848,141.9670800398431,18.904682482591188,0.0023966764788902347,0.978622441302498,0.09866173656628784,0.0023966764788902347,0.8946978115473193,0.00022417931547682855,2.331878381852993e-06,0.9985606736139436,0.8173483383042984,0.9610554794556477,0.868696499361686,0.00026313622772886487,0.9720415510962647,0.0004312412723093544,0.9990934879246547,0.9777363815094973,0.07084800077155853,0.0011738072031373477,0.0011794620493723548,0.0014909314113693791,8.789054975995573e-06,1.2132529355355488,1.1433087800515767,0.780298663370518,1.2785126481259024e-09
0.03,-81.04230514417254,9.927155773707067,0.00022355156611491745,141.96707997245383,18.904682488816462,0.0027106300876551257,0.97860217909879,0.09865821359677637,0.0027106300876551257,0.8946972476585218,0.00022417838761785145,2.3447206064946467e-06,0.9985605932460586,0.817350787591548,0.961055686987539,0.8686993524207359,0.0002715595365277036,0.9720392071637555,0.0004396871142296469,0.9990933683472114,0.9777357750677046,0.07084730533336164,0.0011738611397627205,0.0011794881850057512,0.0014909252409756356,8.788998322140109e-06,1.2132531685061692,1.1433106381905491,0.7803044915559604,1.2784242341508836e-09
0.04,-80.24537956038166,9.927155847297305,0.00022355064332312452,141.96707990505976,18.904682495041666,0.0030691503793082763,0.9785743640174566,0.09865315595557689,0.0030691503793082763,0.8946958837592837,0.00022417745974430254,2.363677954604361e-06,0.998560473824195,0.8173532722961648,0.9610559010603552,0.8687022058020659,0.00028342331930585144,0.9720356846993677,0.0004507753701170756,0.9990931962210652,0.9777349007846756,0.07084661077774057,0.0011739382607579832,0.0011795259258215755,0.0014909190706938933,8.788941668643416e-06,1.2132534014736691,1.1433124962892458,0.7803103196024841,1.2783237065592996e-09
0.05,-79.44919205342673,9.927155920886944,0.00022354972054868848,141.96707983766134,18.90468250126679,0.00347366762013485,0.9785392059869233,0.09864648292988111,0.00347366762013485,0.8946936394332602,0.00022417653185587293,2.3894192587853432e-06,0.9985603108861238,0.8173557930015256,0.9610561094707741,0.8687050588249857,0.00029885133467663866,0.9720308200953813,0.0004642189015834345,0.9990929686441158,0.9777337445055576,0.07084591716248366,0.0011740394739417292,0.0011795757273331403,0.0014909129005220335,8.788885015505487e-06,1.2132536344380482,1.1433143543476805,0.7803161474896595,1.2782328383962205e-09
0.06,-78.65368291379002,9.927155994475982,0.00022354879779161818,141.96707977025903,18.904682507491835,0.003928527738410699,0.9784968485217408,0.09863810762273428,0.003928527738410699,0.8946904301085172,0.00022417560395806595,2.422695208000005e-06,0.9985600995014725,0.8173583502933561,0.9610562990435146,0.868707910749729,0.00031802141976980565,0.9720244273759193,0.00047979921178344326,0.9990926825439345,0.9777322913317138,0.07084522454917948,0.0011741657270078149,0.0011796380650075681,0.0014909067304581286,8.788828362726323e-06,1.213253867399307,1.1433162123656726,0.7803219751952815,1.2781753013032414e-09
0.07,-77.85879403253088,9.92715606806442,0.00022354787505192268,141.96707970285314,18.904682513716804,0.0044391751146230975,0.9784473736946717,0.09862793559175975,0.0044391751146230975,0.8946861677406364,0.00022417467606276816,2.464348779313272e-06,0.9985598342188927,0.817360944758315,0.9610564555103874,0.8687107607703995,0.0003411662556407873,0.9720162952686023,0.0004973539666510101,0.9990923346656115,0.9777305255768036,0.07084453300349688,0.0011743180093439715,0.001179713435175497,0.0014909005605008429,8.788771710305917e-06,1.2132541003574446,1.1433180703428296,0.7803278026951491,1.2781771137769009e-09
0.08,-77.06446905229085,9.92715614165226,0.00022354695232961141,141.96707963544407,18.90468251994169,0.005011743158811383,0.9783908069137067,0.09861586277826188,0.005011743158811383,0.8946807617681397,0.000224173748188871,2.515325799686528e-06,0.998559509013812,0.8173635769823502,0.961056563389146,0.8687136080079533,0.0003685745203775492,0.9720061843122811,0.0005167664419533685,0.999091921560892,0.9777284307299919,0.07084384259543575,0.001174497353416054,0.0011798023557233852,0.0014908943906498636,8.788715058244271e-06,1.213254333312462,1.1433199282785238,0.7803336299628403,1.2782671534025652e-09
0.09,-76.27065352941527,9.927156215239503,0.00022354602962469436,141.96707956803215,18.9046825261665,0.005652995862484323,0.9783271202434947,0.09860177269003147,0.005652995862484323,0.8946741202879798,0.00022417282036312888,2.5766881235046724e-06,0.9985591172231087,0.8173662475487943,0.9610566058337487,0.8687164515015137,0.0004005937130845525,0.9719938233664435,0.0005379576303573566,0.9990914395740903,0.9777259894072109,0.07084315339964894,0.0011747048367144854,0.0011799053670670683,0.0014908882209063912,8.788658406541384e-06,1.2132545662643586,1.143321786171864,0.7803394569694355,1.2784778168093515e-09
0.1,-75.47729504048081,9.92715628882615,0.0002235451069371822,141.96707950061779,18.90468253239123,0.006370335306865397,0.9782562359784897,0.09858553348897078,0.006370335306865397,0.8946661514910922,0.00022417189262104861,2.6496261415725446e-06,0.9985586514850415,0.8173689570362508,0.9610565644957606,0.8687192902004176,0.0004376328736444503,0.9719789064782262,0.0005608794149368404,0.9990908848308869,0.9777231833164304,0.0708424654956985,0.001174941582919587,0.0011800230327343956,0.0014908820512736535,8.78860175519725e-06,1.2132547992131342,1.1433236440216665,0.7803452836832564,1.278845746698563e-09
0.11,-74.6843433095196,9.927156362412207,0.0002235441842670866,141.96707943320123,18.90468253861588,0.007171835491083946,0.978178028395056,0.09856699468688603,0.007171835491083946,0.8946567653191674,0.00022417096500820227,2.7354759431943585e-06,0.9985581036555649,0.8173717060160768,0.9610564193340192,0.8687221229532452,0.00048016769535217193,0.9719610887363248,0.0005855098458327126,0.999090253220989,0.9777199931995415,0.07084177896844784,0.0011752087641954197,0.001180155940512479,0.0014908758817575318,8.788545104211877e-06,1.213255032158789,1.1433255018264092,0.7803511100695079,1.2794128233937791e-09
0.12,-73.89175025943142,9.927156435997674,0.00022354326161442032,141.96707936578287,18.90468254484045,0.008066275501416052,0.9780923260434927,0.09854598436633245,0.008066275501416052,0.8946458753047921,0.00022417003758160907,2.8357354541079995e-06,0.9985574647322056,0.8173744950496461,0.9610561484402328,0.8687249484978937,0.0005287452420496626,0.9719399827496402,0.0006118488426647921,0.9990895403845903,0.9777163987924502,0.07084109390836647,0.0011755076024911265,0.0011803047030982555,0.0014908697123672244,8.78848845358526e-06,1.2132552651013229,1.143327359584185,0.780356936089945,1.280227264127347e-09
0.13,-73.09947004303628,9.927156509582556,0.00022354233897919776,141.96707929836302,18.904682551064944,0.0090631781154304,0.9779989131600102,0.09852230662056197,0.0090631781154304,0.8946334005088078,0.00022416911041146318,2.9520832193209483e-06,0.9985567247657069,0.8173773246852671,0.9610557278396283,0.8687277654502649,0.0005839900217328418,0.9719151548609897,0.0006399150669523521,0.9990887416964259,0.9777123787776373,0.07084041041188592,0.0011758393711694102,0.0011804699589126578,0.0014908635431160069,8.788431803317406e-06,1.2132554980407362,1.1433292172926448,0.7803627617024885,1.28134497458978e-09
0.14,-72.30745908302976,9.927156583166859,0.000223541416361435,141.9670792309419,18.90468255728935,0.010172850046173758,0.9778975297522575,0.09849573869291077,0.010172850046173758,0.894619267690812,0.000224168183583596,3.0864038379482416e-06,0.9985558727393015,0.8173801954543198,0.9610551312186215,0.8687305722887956,0.0006466128683824897,0.9718861202837964,0.0006697437303980187,0.9990878522425859,0.9777079107115055,0.07083972858191477,0.0011762053977718433,0.0011806523734835066,0.0014908573740222307,8.788375153408321e-06,1.2132557309770282,1.1433310749489125,0.7803685868606978,1.282831418487298e-09
0.15,-71.51567592973389,9.927156656750588,0.00022354049376115028,141.96707916351977,18.90468256351368,0.011406383474303016,0.9777878740610413,0.09846603011990532,0.011406383474303016,0.8946034128619623,0.0002241672572012798,3.240801665860347e-06,0.9985548965105445,0.8173831078682179,0.9610543297916573,0.8687333673472857,0.00071741505671101,0.9718523417717361,0.0007013840259414058,0.9990868668152811,0.9777029710239623,0.07083904852794703,0.0011766070632775283,0.001180852639073892,0.0014908512051100926,8.78831850385801e-06,1.2132559639101992,1.1433329325495258,0.7803744115134968,1.2847631435852648e-09
0.16,-70.72408132536958,9.927156730333756,0.0002235395711783646,141.96707909609694,18.90468256973793,0.0127757465175107,0.9776695996158935,0.09843289859485414,0.0127757465175107,0.8945857838558114,0.00022416633138975592,3.417644491670438e-06,0.9985537826028587,0.8173860624123647,0.9610532918432281,0.86873614878893,0.0007973047845042481,0.9718132221454465,0.0007348986698747964,0.9990857798703797,0.9776975348795804,0.07083837036699928,0.0011770458078336835,0.0011810714775483658,0.0014908450364113078,8.788261854666488e-06,1.2132561968402489,1.143334790090283,0.7803802356042807,1.2872311536126731e-09
0.17,-69.9326379740789,9.927156803916374,0.00022353864861310207,141.9670790286736,18.904682575962095,0.014293764791139927,0.9775423167016196,0.09839602909627412,0.014293764791139927,0.8945663415083814,0.0002241654062994617,3.619583889082907e-06,0.9985525161182951,0.8173890595420357,0.9610519825224589,0.8687389145953401,0.0008873039131793149,0.9717681033967448,0.0007703621855844463,0.9990845855180213,0.9776915761687242,0.07083769422380085,0.0011775231302809373,0.001181309640134647,0.0014908388679663322,8.788205205833765e-06,1.213256429767177,1.1433366475661342,0.7803860590704826,1.290343499327779e-09
0.18,-69.14131032263793,9.92715687749846,0.00022353772606539056,141.96707896124994,18.904682582186176,0.015974124137471887,0.9774055919827677,0.09835507192178157,0.015974124137471887,0.8945450608369613,0.00022416448211067907,3.849587458832605e-06,0.9985510805938781,0.8173920996768763,0.9610503635293893,0.8687416625495546,0.000988559668023985,0.9717162644812842,0.0008078600122062767,0.9990832775008653,0.977685067456512,0.07083702023125313,0.001178040589589887,0.0011815679081413073,0.0014908326998260301,8.788148557359864e-06,1.2132566626909838,1.143338504971025,0.7803918818429223,1.2942289727576681e-09
0.19,-68.35006432596504,9.927156951080038,0.00022353680353526262,141.9670788938262,18.904682588410175,0.017831431198718942,0.97725894668127,0.09830963986488009,0.017831431198718942,0.8945219320333447,0.00022416355903974246,4.1109805894178675e-06,0.9985494578130806,0.8173951831942379,0.9610483927046694,0.8687443902137262,0.0011023602062878242,0.9716569185000498,0.0008474882689839072,0.9990818491629435,0.9776779799009777,0.07083634853109048,0.0011785998076873276,0.0011818470943706371,0.0014908265320538647,8.788091909244805e-06,1.2132568956116685,1.1433403622976865,0.7803977038449497,1.2990419135483998e-09
0.2,-67.55886708414934,9.927157024661138,0.00022353588102275613,141.96707882640254,18.90468259463409,0.019881187768210243,0.9771018552687972,0.09825930585186181,0.019881187768210243,0.8944969607685754,0.00022416263734605736,4.4074873328550865e-06,0.9985476276258508,0.8173983104223015,0.9610460236359057,0.8687470949082486,0.0012301495722008247,0.9715892119500591,0.0008893533231679073,0.9990802934231321,0.9776702831944277,0.07083567927442769,0.001179202471123783,0.0011821480439517477,0.0014908203647283123,8.788035261488624e-06,1.2132571285292308,1.1433422195374012,0.7804035249915976,1.3049677427526143e-09
0.21,-66.76768637300535,9.927157098241802,0.00022353495852791565,141.96707875897914,18.90468260085792,0.022139798270876823,0.9769337435121299,0.09820360021437773,0.022139798270876823,0.8944701680336096,0.0002241617173409833,4.743278403995646e-06,0.9985455677384938,0.8174014816321084,0.9610432052059145,0.8687497736880903,0.0013735454109008952,0.9715122248382947,0.0009335716311680604,0.999078602744316,0.9776619454964224,0.07083501262238984,0.0011798503330361309,0.0011824716353211378,0.0014908141979458828,8.787978614091354e-06,1.2132573614436708,1.143344076679701,0.7804093451885874,1.3122299597362654e-09
0.22,-65.97649005163895,9.927157171822083,0.00022353403605079349,141.96707869155608,18.904682607081668,0.02462455482624097,0.9767539860624669,0.09814200784248672,0.02462455482624097,0.894441589472391,0.00022416079939856353,5.123023942250041e-06,0.9985432534846297,0.8174046970288337,0.9610398811031415,0.8687524233175776,0.0015343583924480601,0.9714249720660416,0.0009802697257083567,0.9990767691005249,0.9776529333659552,0.07083434874677348,0.0011805452151052028,0.0011828187812006515,0.0014908080318247062,8.787921967053044e-06,1.213257594354988,1.1433459337120082,0.7804151643312248,1.3210985874989008e-09
0.23,-65.18524530391323,9.927157245402059,0.00022353311359145147,141.96707862413356,18.90468261330533,0.02735361394726089,0.9765619034750704,0.09807396517286418,0.02735361394726089,0.8944112742595283,0.00022415988396875226,5.551953046617231e-06,0.9985406575689472,0.8174079567419925,0.9610359892807282,0.8687550402430617,0.0017146140837007438,0.9713264061734892,0.0010295843294487964,0.9990747839409179,0.9776432116909726,0.07083368783076023,0.0011812890095684691,0.0011831904296028448,0.0014908018665089084,8.787865320373751e-06,1.2132578272631813,1.1433477906191905,0.7804209823031437,1.3319006007120256e-09
0.24,-64.39391769397984,9.927157318981829,0.00022353219114996286,141.9670785567117,18.904682619528906,0.030345963341847904,0.97635675863155,0.09799885710248207,0.030345963341847904,0.8943792836197293,0.0002241589715934556,6.035919668501506e-06,0.9985377497857914,0.8174112608146671,0.9610314613673181,0.8687576205637478,0.0019165770361599145,0.9712154214048854,0.0010816625786488256,0.9990726381509576,0.9776327436163476,0.07083303006967384,0.0011820836812672514,0.0011835875648534932,0.0014907957021738588,8.787808674053545e-06,1.2132580601682503,1.1433496473830196,0.7804267989748989,1.3450325357756056e-09
0.25,-63.602470004670494,9.927157392561515,0.0002235312687264144,141.96707848929057,18.904682625752397,0.03362137524018498,0.9761377524979705,0.09791601393711202,0.03362137524018498,0.8943456891061655,0.0002241580629255533,6.581474671751258e-06,0.9985344967142598,0.8174146091918281,0.9610262220441296,0.868760160001662,0.0021427770401072385,0.9710908589934778,0.0011366623495340554,0.9990703220110841,0.9776214904715489,0.07083237567177249,0.0011829312697048387,0.001184011208619437,0.0014907895390323747,8.787752028092513e-06,1.2132582930701945,1.1433515039815325,0.7804326142024192,1.360975571114406e-09
0.26,-62.8108607016723,9.92715746614129,0.00022353034632090955,141.96707842187027,18.9046826319758,0.03720034536856279,0.9759040186618243,0.09782470808847514,0.03720034536856279,0.8943105705783327,0.00022415715875370707,7.19595225543802e-06,0.99853086135491,0.8174180017064405,0.9610201883080935,0.8687626538669289,0.0023960403535197364,0.970951513960194,0.0011947527043484655,0.9990678251481022,0.9776094116895739,0.07083172485916685,0.0011838338913778563,0.0011844624210728117,0.0014907833773427541,8.78769538249076e-06,1.2132585259690127,1.143353360388197,0.780438427825122,1.3803150999751312e-09
0.27,-62.01904210323731,9.927157539721376,0.00022352942393357166,141.9670783544509,18.904682638199112,0.04110402249237705,0.9756546169832127,0.0977241510996532,0.04110402249237705,0.89427401422112,0.0002241562600313771,7.887561399514044e-06,0.9985268027487778,0.8174214380649378,0.961013268711656,0.8687650970231705,0.002679522377246436,0.9707961425627765,0.001256114423735488,0.9990651364849573,0.9775964647284391,0.07083107786875026,0.0011847937420861221,0.001184942302044447,0.0014907772174180805,8.787638737248413e-06,1.2132587588647037,1.143355216570934,0.7804442396638781,1.4037635942702678e-09
