t,Nai,Ki,Cai,CaSS,CaJSR,CaNSR,V,O1_RyR,O2_RyR,LTRPNCa,HTRPNCa,C1_RyR,C2_RyR,C0,C1,C2,C3,C4,CCa0,CCa1,CCa2,CCa3,CCa4,Open,yCa,C0Kv43,C1Kv43,C2Kv43,C3Kv43,OKv43,CI0Kv43,CI1Kv43,CI2Kv43,CI3Kv43,OIKv43,C0Kv14,C1Kv14,C2Kv14,C3Kv14,OKv14,CI0Kv14,CI1Kv14,CI2Kv14,CI3Kv14,OIKv14,na6,na7,OHerg,O1ks,O2ks,na1,na2,na3,na4,na5,na8,na9,na10,na11,na12,na13,C1Herg,C2Herg,C3Herg,IHerg,C0ks,C1ks
0.0,9.85573275838928,125.427082712469,0.000363968672182656,0.000506604278037024,0.421936980515042,0.423551621440241,-86.7261544519706,0.00113684728532807,3.11350788541838e-07,0.280466039150394,0.99347761599363,0.132070890861418,0.866791951404883,0.465679150104636,0.00834457719966281,5.60736209083906e-05,1.6747092904465e-07,1.87571666668874e-10,0.489846779190386,0.035111008610982,0.000943745917866092,1.12741202215634e-05,5.05056944609524e-08,1.40806027419488e-11,0.995434385054729,0.908189132330738,0.0343385704915328,0.000487654173162347,3.11550715247964e-06,7.42911977991342e-09,0.0349937004781012,0.0171163265867255,0.00428471710061031,0.000564724236640674,2.19603439704397e-05,0.149374350989705,0.0606794865684932,0.00930314185504921,0.000676403999474111,3.85187206387239e-05,0.0442722560882536,0.00952432663172288,0.0567396669678271,0.113122845136053,0.556269044084734,1.02118700961583e-07,1.93499158844817e-08,0.00120284688677794,5.65460174551007e-07,0.0258818770122187,0.111284526171411,0.0481019786429977,0.00779692701457915,0.000561699600929369,1.51746424723121e-05,0.368582741846592,0.312463212648791,0.0993398770493615,0.0140431688972267,0.000750073829883749,0.0370604970714329,0.994948338598163,0.000595653663190548,0.000228183228829573,0.000243789721526602,0.938064990549233,0.0360525668093578
0.01,9.855733640607323,125.42708248795911,0.00036395543405046024,0.0005065921860274224,0.4219408600088185,0.42355546424979573,-86.72635847815081,0.0011368459550631655,3.11328091658492e-07,0.2804586079849609,0.9934774350851023,0.13207641761934777,0.8667864259999151,0.4656916135567245,0.008344669415747985,5.6073359462964416e-05,1.6746751646139255e-07,1.8756489648684638e-10,0.4898356267651824,0.03510965756772005,0.0009436947754341576,1.1273332134730751e-05,5.050137049625221e-08,1.4080093658670598e-11,0.9954362240748033,0.908200670261424,0.034338471295796494,0.0004876448813019866,3.115384020822284e-06,7.4286867915450074e-09,0.03498696921585349,0.017112746738104718,0.004283743177377677,0.0005645856823053595,2.1954612881913386e-05,0.14938652090617976,0.06068335935091666,0.009303566759895451,0.0006764198344521176,3.851782053653628e-05,0.044274024046947705,0.009524539590369873,0.05673991728049032,0.113121330153677,0.5562518452984855,1.021101726791425e-07,1.9348478109812057e-08,0.0012021050255678117,5.675077066492279e-07,0.0258784930441677,0.11128517225991118,0.048103976538649645,0.007797528367607314,0.0005617628115723129,1.5176883261904556e-05,0.3685801938281468,0.31247060630090195,0.09934526288769045,0.014044355810223494,0.0007501564286736599,0.0370456853090049,0.9949493278122005,0.0005956382206029543,0.000228104314716818,0.00024363672539972912,0.9380684514639145,0.036052487815195114
0.02,9.855734522789987,125.42708226346043,0.0003639421966424443,0.0005065800947019514,0.4219447393812959,0.42355930693834243,-86.72656249198816,0.0011368446248301535,3.113053971690861e-07,0.28045117706372324,0.9934772541725936,0.13208194441423787,0.8667809005579524,0.4657040767147685,0.008344761629511342,5.6073098049431025e-05,1.6746410419795727e-07,1.8755812700725368e-10,0.48982447454969147,0.03510830660651943,0.0009436436374754972,1.127254413399013e-05,5.049704708843723e-08,1.40795846281748e-11,0.9954380622823121,0.9082122044449435,0.03433837198645385,0.00048763558857751343,3.1152608959053026e-06,7.428253848410517e-09,0.03498024019244357,0.01710916811512865,0.004282769598465449,0.0005644471786335855,2.1948883957568398e-05,0.14939869072752712,0.06068723200466718,0.0093039916372592,0.0006764356675314238,3.851692046509562e-05,0.04427579189344276,0.009524752524537097,0.05674016748044052,0.11311981508430043,0.55623464710178,1.0210244116667793e-07,1.93473149545331e-08,0.0012013636219928587,5.653749963985382e-07,0.02587510950871783,0.11128730951511522,0.04810495515226019,0.007797695693505328,0.0005617754771483866,1.5177240967224431e-05,0.3685845686691877,0.3124754839225807,0.09934718232439832,0.014044676246218487,0.0007501735778838881,0.037030879615272724,0.9949503164208087,0.0005956227823363759,0.00022802544791791825,0.0002434838254320682,0.9380719119366798,0.03605241301058985
0.03,9.855735404937276,125.42708203897294,0.000363928959958566,0.0005065680040605637,0.4219486186324738,0.42356314950588053,-86.72676649342762,0.0011368432946289888,3.11282705073307e-07,0.2804437463866774,0.9934770732561045,0.13208747124608522,0.8667753750789985,0.46571653957874115,0.008344853840985657,5.6072836668230094e-05,1.6746069225629667e-07,1.875513582329715e-10,0.4898133225438245,0.03510695572745833,0.0009435925039943471,1.1271756219415656e-05,5.049272423793492e-08,1.4079075650461796e-11,0.9954398996776063,0.9082237348825016,0.034338272563564864,0.00048762629498989586,3.1151377777328188e-06,7.427820950514715e-09,0.03497351340715838,0.017105590717386068,0.004281796363751039,0.0005643087256063378,2.194315719657908e-05,0.1494108604536927,0.060691104529780424,0.009304416487154736,0.0006764514987136139,3.851602042449497e-05,0.04427755962772014,0.009524965434233363,0.05674041756768215,0.11311829992791497,0.5562174494946343,1.020949821972553e-07,1.9346212329279702e-08,0.0012006226757795254,5.653416497266129e-07,0.02587172640581661,0.11129003418749932,0.04810553260882101,0.007797692043258805,0.0005617682129376422,1.5176855440920416e-05,0.3685922914460875,0.3124791417961728,0.09934742398252998,0.014044577481613594,0.000750158924049884,0.03701607990468832,0.9949513044243251,0.0005956073484138873,0.0002279466284044053,0.0002433310215649303,0.9380753719680176,0.0360523361154999
0.04,9.855736287049194,125.42708181449665,0.0003639157239987819,0.0005065559141032102,0.4219524977623516,0.4235669919524096,-86.7269704824546,0.0011368419644596263,3.112600153708323e-07,0.28043631595382,0.9934768923356353,0.13209299811488667,0.8667698495630561,0.4657290021486241,0.008344946050195454,5.6072575319689066e-05,1.6745728063785792e-07,1.8754459016612194e-10,0.48980217074749405,0.035105604930613606,0.0009435413749948642,1.1270968391080001e-05,5.048840194516384e-08,1.4078566725539447e-11,0.995441736261046,0.9082352615753341,0.03433817302719438,0.00048761700054022057,3.1150146663099428e-06,7.427388097865303e-09,0.034966788859264436,0.017102014544455205,0.0042808234731086196,0.0005641703232040948,2.1937432598102065e-05,0.14942303008460994,0.060694976926300506,0.009304841309599667,0.00067646732800065,3.851512041484429e-05,0.04427932724975832,0.009525178319468927,0.05674066754221928,0.11311678468450513,0.5562002524770736,1.020875811546192e-07,1.934508750879082e-08,0.0011998821866468366,5.653094295594099e-07,0.025868343735410138,0.11129297449620691,0.0481059634489805,0.007797625777180652,0.0005617536403714114,1.5176196982955641e-05,0.3686015576485001,0.31248223481776816,0.0993468906033783,0.014044285116265551,0.0007501295731205164,0.03700128613287079,0.9949522918230987,0.0005955919188571517,0.00022786785614707596,0.0002431783137380424,0.9380788315578379,0.03605225922830643
0.05,9.855737169125742,125.42708159003155,0.0003639024887630489,0.000506543824829842,0.4219563767709289,0.423570834277929,-86.7271744590719,0.001136840634322022,3.1123732806134225e-07,0.2804288857651475,0.993476711411186,0.13209852502063907,0.8667643240101287,0.4657414644244133,0.008345038257150897,5.607231400394096e-05,1.6745386934321533e-07,1.8753782280752337e-10,0.4897910191606444,0.035104254216032055,0.0009434902504795337,1.1270180649025585e-05,5.048408021036133e-08,1.4078057853419678e-11,0.9954435720329893,0.9082467845246671,0.03433807337740682,0.0004876077052295684,3.1148915616417645e-06,7.426955290469989e-09,0.03496006654803356,0.017098439595917506,0.004279850926413326,0.0005640319714074884,2.1931710161296665e-05,0.1494351996202151,0.06069884919426958,0.00930526610461085,0.0006764831553944124,3.8514220436238074e-05,0.04428109475953725,0.009525391180252153,0.056740917404056,0.11311526935405525,0.5561830560491241,1.0208016383884049e-07,1.934391651779697e-08,0.0011991421543159802,5.652772291274226e-07,0.025864961497444872,0.11129599896199968,0.048106337818553876,0.007797535293468113,0.000561736236114213,1.5175432602838517e-05,0.36861155320417954,0.3124850585571716,0.09934598947630154,0.014043900945812513,0.0007500932554147122,0.0369864982785956,0.9949532786174777,0.000595576493685588,0.0002277891311169884,0.0002430257018915979,0.9380822907061948,0.03605218235011507
0.06,9.85573805116692,125.42708136557762,0.0003638892542513241,0.0005065317362404108,0.42196025565820494,0.42357467648243846,-86.72737842328773,0.0011368393042161305,3.112146431445182e-07,0.28042145582065636,0.9934765304827572,0.13210405196333933,0.8667587984202192,0.4657539264061139,0.008345130461853225,5.6072052720997755e-05,1.6745045837239936e-07,1.8753105615718134e-10,0.4897798677832499,0.03510290358373206,0.0009434391304492545,1.126939299326607e-05,5.0479759033591916e-08,1.4077549034115037e-11,0.9954454069937918,0.9082583037317232,0.034337973614265105,0.0004875984090589798,3.1147684637330014e-06,7.426522528335336e-09,0.03495334647274093,0.017094865871355863,0.004278878723540807,0.0005638936701972363,2.192598988531911e-05,0.1494473690604519,0.06070272133372462,0.009305690872203102,0.0006764989808965471,3.851332048874838e-05,0.04428286215703944,0.009525604016588765,0.056741167153196645,0.11311375393655229,0.5561658602108088,1.020727045857152e-07,1.934269503041536e-08,0.0011984025785093818,5.652451557203917e-07,0.0258615796918675,0.11129905871801438,0.04810668926717263,0.007797434893153631,0.0005617176691592627,1.5174624644984027e-05,0.36862190225891384,0.3124877494962007,0.09934490868518718,0.014043471984471666,0.0007500535410843546,0.0369717163308924,0.9949542648078106,0.0005955610729165999,0.000227710453285363,0.00024287318596605457,0.9380857494131433,0.036052105480817276
0.07,9.855738933172733,125.4270811411349,0.0003638760204635644,0.0005065196483348678,0.4219641344241793,0.42357851856593726,-86.7275823751115,0.0011368379741419072,3.111919606200413e-07,0.28041402612034316,0.993476349550349,0.13210957894298433,0.866753272793331,0.4657663880937349,0.008345222664299802,5.607179147081874e-05,1.6744704772520363e-07,1.8752429021474764e-10,0.48976871661530436,0.03510155303371358,0.0009433880149038975,1.1268605423796465e-05,5.047543841480803e-08,1.4077040267636989e-11,0.9954472411438104,0.9082698191977279,0.03433787373783076,0.0004875891120294533,3.114645372587963e-06,7.426089811466581e-09,0.03494662863266117,0.017091293370352353,0.0042779068643665355,0.0005637554195540359,2.1920271769318692e-05,0.14945953840527168,0.06070659334469736,0.00930611561238917,0.0006765148045084637,3.85124205724283e-05,0.04428462944224967,0.009525816828482301,0.0567414167896458,0.1131122384319864,0.5561486649621477,1.0206519405972649e-07,1.9341424822277027e-08,0.001197663458949207,5.652130698026622e-07,0.02585819831862464,0.11130213258096545,0.0481070323474109,0.007797330784027087,0.0005616986646327443,1.5173800225926769e-05,0.36863241480722675,0.3124903766412666,0.09934374332885612,0.014043022004435784,0.0007500122354950426,0.03695694028313325,0.9949552503944475,0.0005955456565659312,0.00022763182262342197,0.0002427207659018125,0.9380892076787379,0.03605202862055135
0.08,9.85573981514318,125.42708091670337,0.0003638627873997269,0.0005065075611131646,0.4219680130688514,0.4235823605284249,-86.72778631455277,0.0011368366440993075,3.111692804875923e-07,0.2804065966642043,0.9934761686139617,0.13211510595957093,0.8667477471294671,0.46577884948728715,0.008345314864486216,5.6071530253339174e-05,1.6744363740131374e-07,1.8751752497971244e-10,0.4897575656568146,0.03510020256596426,0.000943336903842647,1.1267817940599333e-05,5.047111835388732e-08,1.4076531553995227e-11,0.9954490744834014,0.9082813309239074,0.03433777374816375,0.000487579814141943,3.114522288210528e-06,7.425657139867587e-09,0.034939913027069475,0.017087722092488798,0.004276935348765995,0.0005636172194585907,2.1914555812439694e-05,0.1494717076546331,0.06071046522721436,0.009306540325179778,0.0006765306262313367,3.8511520687314606e-05,0.04428639661515475,0.00952602961593442,0.05674166631340825,0.11311072284035092,0.5561314703031567,1.0205763076618407e-07,1.93401101955181e-08,0.0011969247953577751,5.651809886552385e-07,0.025854817377662896,0.1113052127174588,0.04810737244048703,0.007797225265160982,0.0005616794915242143,1.5172969424301841e-05,0.36864300332791755,0.31249297178964053,0.09934253722393378,0.014042561959301429,0.0007499701706180272,0.03694217013108696,0.9949562353777407,0.0005955302446476953,0.00022755323910243167,0.0002425684416393026,0.9380926655030334,0.036051951769298804
0.09,9.855740697078259,125.42708069228304,0.0003638495550597686,0.0005064954745752527,0.4219718915922207,0.42358620236990097,-86.72799024162074,0.001136835314088287,3.111466027468524e-07,0.2803991674522364,0.9934759876735956,0.13212063301309604,0.8667422214286309,0.4657913105867821,0.00834540706240756,5.607126906848763e-05,1.674402274003853e-07,1.8751076045152127e-10,0.4897464149077946,0.035098852180464934,0.0009432857972643079,1.1267030543650355e-05,5.046679885066612e-08,1.4076022893197486e-11,0.9954509070129209,0.9082928389114899,0.03433767364532259,0.0004875705153973614,3.1143992106041806e-06,7.425224513540942e-09,0.034933199655241665,0.017084152037346874,0.004275964176614689,0.0005634790698916129,2.190884201382265e-05,0.14948387680850148,0.06071433698129767,0.00930696501058385,0.0006765464460661355,3.8510620833431514e-05,0.04428816367574308,0.009526242378945372,0.05674191572448894,0.11310920716164226,0.5561142762338487,1.0205001600804023e-07,1.9338755943039268e-08,0.0011961865874575849,5.651489118123345e-07,0.02585143686892888,0.11130829615140521,0.04810771158340766,0.007797119209230931,0.0005616602521557533,1.5172136083273105e-05,0.3686536267170344,0.31249554988482203,0.09934131095695109,0.014042096995480138,0.0007499277373436256,0.036927405871608594,0.9949572197580431,0.0005955148371745464,0.00022747470269370208,0.00024241621311899247,0.9380961228860841,0.03605187492705885
