t,PYR,ACP,ACAL,ACLAC,ACET,ATP,NADH,ACCOA
0.0,1.0,0.03145,0.11,1e-05,1e-05,0.1,3.67,0.11
0.01,0.06668102653695228,0.0016101251651431856,0.002405506538318686,2.3198823740436248e-05,2.5987162411967986e-05,3.806337828585865,2.064717265796582,0.07050996970041626
0.02,0.06762969176743376,0.001248984546427683,0.0015875769304916601,2.1201971604544875e-05,3.6576539045147376e-05,3.9145463850354667,1.5469948819021102,0.04759092831685529
0.03,0.07742499468577624,0.0010997131406171993,0.0013317643895966829,1.9506652719712484e-05,5.295098225558895e-05,3.936510080039919,1.1035923128541156,0.04192787161725167
0.04,0.09153180045936382,0.0012798946275338172,0.0014424244969125832,1.8173561754326148e-05,7.973121728741069e-05,3.95417194191517,0.7414240073544687,0.05048147925685474
0.05,0.1119075602623982,0.0018815935765818556,0.001865621698118193,1.733094875828019e-05,0.0001208380709969037,3.9669691938653013,0.48650418784062643,0.07663989551543601
0.06,0.13557445259153536,0.003025784343095921,0.0025709466081412285,1.7184981824453868e-05,0.00016992757143436679,3.974759814487999,0.3453804493255802,0.12266287616525842
0.07,0.15509566173534223,0.004600445662956722,0.0034967575081086303,1.7814989488246553e-05,0.00021123760188960266,3.979115869141954,0.28030191841170454,0.17998897086832594
0.08,0.16886236646375136,0.0063071983734307654,0.004507910056684108,1.906564176846823e-05,0.00023983491747535344,3.981867084081501,0.24845591440714657,0.23614650860804598
0.09,0.17915080034576253,0.007929394114898106,0.005471636647276303,2.0746823137883993e-05,0.00026011119633296154,3.983893168326081,0.22940428225765408,0.28493555392133285
0.1,0.1875258086699119,0.0093751583811075,0.006321146918233335,2.2732756246434458e-05,0.00027587377257980817,3.9854958477932185,0.21609871860497648,0.3252148415320444
0.11,0.1946159045620382,0.010619799552015271,0.007039733301196948,2.494021377814474e-05,0.00028885147618734267,3.9867893869530984,0.20608545233067224,0.35773648543477427
0.12,0.20066051550584016,0.01166795986902984,0.007633825944894822,2.730342082405051e-05,0.0002997442164685297,3.987835180486979,0.19832141670415404,0.38370681919247945
0.13,0.20578204957028284,0.012536789740176793,0.008118085437995304,2.9764338585071525e-05,0.00030889164191532335,3.988677644195747,0.1922333159519231,0.4043159876582818
0.14,0.21007757322607323,0.013248309716186263,0.008508992558063507,3.227073647860523e-05,0.0003165252855299324,3.989353201598727,0.18743993339068069,0.42060653102979106
0.15,0.21364241230133285,0.013825524005495913,0.008822297380733354,3.477671150606411e-05,0.0003228450445910694,3.989892602419515,0.1836611757426211,0.4334501015316707
0.16,0.2165722613419576,0.014290330134853747,0.009072057435242926,3.7243470399538965e-05,0.00032803670742241446,3.990321723295615,0.1806819299826643,0.44355853749569013
0.17,0.2189599108107001,0.01466245740965779,0.009270351139982305,3.9639685713561824e-05,0.00033227257086835985,3.990662097504856,0.17833386856451788,0.45150511222456574
0.18,0.22089178424554862,0.014959044844082356,0.00942730261018544,4.194132251606616e-05,0.0003357088047210299,3.9909314413510755,0.17648424995087011,0.4577474651595387
0.19,0.2224455714823338,0.015194598816650416,0.009551247101392388,4.413106608274019e-05,0.0003384834006753299,3.9911441786582422,0.17502812227308312,0.4626486541755053
0.2,0.2236891154370105,0.015381171258528878,0.009648960592911182,4.619748468926022e-05,0.0003407155877697012,3.991311959180673,0.17388238677954668,0.4664956293687193
0.21,0.22468036902488456,0.01552863411608514,0.009725897512562419,4.8134095940506824e-05,0.00034250646797142996,3.991444130885533,0.17298133653075856,0.4695145241858925
0.22,0.22546798381114957,0.015644998986462152,0.009786421986443606,4.993841209778236e-05,0.0003439405362995821,3.9915481614150266,0.17227300749119331,0.4718833872592277
0.23,0.22609214564923436,0.01573670474804436,0.009834001675749098,5.1611093161580844e-05,0.00034508744237930864,3.9916299830828255,0.1717163912756166,0.4737419990635572
0.24,0.22658575381259785,0.015808906706743533,0.009871387001825539,5.315515270782757e-05,0.000346004130952932,3.9916943030519945,0.1712791267396576,0.4752002278310036
0.25,0.22697546113174394,0.01586570838493801,0.009900750902077699,5.45753186282327e-05,0.0003467367550927458,3.991744842727008,0.17093571034708216,0.4763442822203374
0.26,0.22728273972461233,0.015910368850105047,0.009923808640281691,5.5877487572512896e-05,0.0003473225282164211,3.99178454237083,0.17066605128115192,0.4772418649266132
0.27,0.22752476740571484,0.01594546686749035,0.009941910786896034,5.706830497727111e-05,0.0003477912887448186,3.9918157187688545,0.17045433852164651,0.4779460692854191
0.28,0.2277152486401233,0.015973040031373696,0.009956120240470615,5.815482492431304e-05,0.0003481668905649362,3.991840197181044,0.17028814457298,0.47849856180532896
0.29,0.22786506253050448,0.01599469558362749,0.009967272819084843,5.9144255914759946e-05,0.0003484683435175659,3.9918594136458556,0.1701576930281513,0.478932028532379
0.3,0.22798283250781579,0.016011699618979088,0.009976025262481687,6.004377018505874e-05,0.00034871077023787854,3.9918744973539475,0.17005530704017924,0.4792721109681327
0.31,0.22807537587100174,0.01602504925813493,0.009982893761828527,6.0860364623931326e-05,0.0003489061872499882,3.99188633620522,0.16997495080530162,0.4795389339046754
0.32,0.2281480765280344,0.016035528808237914,0.009988283737404366,6.160076587360925e-05,0.00034906413474341624,3.9918956279314517,0.16991188559652481,0.47974828608787257
0.33,0.22820517506395027,0.01604375439290443,0.009992513229394918,6.227136805368573e-05,0.00034919217727479593,3.9919029200561944,0.16986239212947649,0.4799125458155007
0.34,0.22825001099059256,0.01605021020372136,0.009995831928023571,6.287819276017587e-05,0.00034929631533898325,3.9919086426008095,0.1698235512756742,0.480041424222006
0.35000000000000003,0.22828521400717763,0.01605527692160165,0.009998436018439449,6.342686828094953e-05,0.0003493813143489764,3.9919131334780493,0.16979306901205898,0.4801425476828945
0.36,0.22831285189925601,0.01605925342103113,0.010000479432428613,6.392262517824645e-05,0.0003494509575403836,3.991916657853061,0.16976914533255394,0.4802218974371382
0.37,0.22833455070320682,0.01606237419110173,0.010002082836195702,6.437030072787085e-05,0.0003495082497378512,3.991919423734328,0.16975037096595613,0.4802841619677722
0.38,0.2283515823539093,0.01606482328963553,0.010003340976937267,6.477434962733366e-05,0.00034955557941349546,3.9919215942498925,0.16973563377855355,0.4803330202831701
0.39,0.22836495439267224,0.016066745316629424,0.01000432817533849,6.513886011248925e-05,0.0003495948522004131,3.9919232976908168,0.16972406959308936,0.48037135961041766
0.4,0.2283754482096741,0.01606825386474592,0.010005102952981109,6.54675731104655e-05,0.0003496275875594414,3.9919246346268507,0.16971498633296075,0.48040145049350363
0.41000000000000003,0.22838369141088113,0.016069437816771167,0.010005710871540808,6.576390317991198e-05,0.0003496550003806138,3.9919256840270174,0.1697078621868113,0.48042506454754386
0.42,0.2283901597038268,0.016070366866360625,0.010006187852758409,6.603096003858478e-05,0.00034967805885976154,3.991926507499688,0.16970226821355666,0.48044359412610554
0.43,0.22839523804073164,0.01607109602298275,0.010006562139015759,6.627157496034927e-05,0.0003496975466386238,3.9919271538262056,0.16969787689171145,0.4804581364257275
0.44,0.2283992287935231,0.016071668840441866,0.010006856118779238,6.648832913001798e-05,0.0003497140989309391,3.99192766161039,0.1696944259803487,0.48046956047575207
0.45,0.22840236411704,0.016072118707363834,0.01000708695166001,6.668354818481269e-05,0.00034972821843235954,3.991928060443889,0.16969171473976455,0.4804785324059901
0.46,0.22840482537528775,0.01607247170673216,0.010007268036859267,6.685933499954317e-05,0.00034974031063514377,3.99192837342966,0.16968958642351162,0.48048557240190753
0.47000000000000003,0.22840675740475597,0.01607274867290068,0.010007410079089049,6.701759991172591e-05,0.00034975070981619764,3.9919286190302365,0.16968791572005745,0.4804910960256853
0.48,0.22840827532883853,0.01607296616010112,0.010007521583872792,6.716007439102986e-05,0.00034975969119084284,3.9919288119155723,0.16968660306794994,0.48049543346958895
0.49,0.2284094683569378,0.01607313699612834,0.010007609140722743,6.728832058207426e-05,0.0003497674779056218,3.991928963452437,0.16968557130945483,0.4804988405585155
0.5,0.2284104060311513,0.01607327117294093,0.010007677882544105,6.740374778821218e-05,0.0003497742524389761,3.9919290824950395,0.16968476036148433,0.4805015165860741
0.51,0.22841114288818604,0.016073376536484295,0.010007731837952612,6.750762797086993e-05,0.0003497801654360372,3.9919291759932958,0.16968412300154095,0.4805036179713126
0.52,0.22841172229574752,0.016073459302160253,0.010007774200301888,6.760111022724552e-05,0.00034978534268145453,3.9919292494603784,0.1696836219062848,0.4805052687432238
0.53,0.22841217798537145,0.01607352434161693,0.010007807469709534,6.768523025838908e-05,0.00034978988865825905,3.9919293072051367,0.1696832276389085,0.48050656595541696
0.54,0.22841253679535672,0.016073575493114108,0.010007833617737097,6.776092262456578e-05,0.00034979389114689466,3.9919293526355393,0.16968291718409226,0.4805075862102049
0.55,0.2284128191145721,0.016073615684515,0.010007854147565533,6.782902644587888e-05,0.0003497974227171049,3.99192938834649,0.1696826729125303,0.48050838789885747
0.56,0.2284130411821348,0.016073647251652175,0.010007870258089621,6.789029893089328e-05,0.0003498005451817843,3.9919294164063284,0.16968248073209977,0.48050901759154474
0.5700000000000001,0.22841321599034325,0.016073672058951195,0.010007882905958124,6.794542357049724e-05,0.000349803311433545,3.9919294384680724,0.16968232941864092,0.480509512462511
0.58,0.22841335374516117,0.016073691569938073,0.010007892842199047,6.799501623934765e-05,0.00034980576655282573,3.9919294558295575,0.1696822101564751,0.4805099017020282
