t,V,m,h,d,f,s,x1,x2,q,r
0.0,-78.041367,0.02566853,0.78656359,0.00293135,0.80873917,0.75473994,0.02030289,0.0176854,3.11285794,0.13500116
0.01,-78.03540743029451,0.025525441364981156,0.786555857335077,0.0029314586351304626,0.8087413243625307,0.7547381317515484,0.02030252504815404,0.017685245877590523,1.3740045569693595,0.13500231072946145
0.02,-78.03267463879317,0.025450502205977343,0.7865480525629218,0.002931578317370274,0.8087434774206383,0.7547363243443859,0.02030216030602785,0.017685091771524275,0.6066635505705474,0.1350034611142404
0.03,-78.03136525303972,0.025410934675840578,0.7865402158718667,0.002931702746729433,0.8087456298446616,0.7547345173336674,0.02030179566913301,0.017684937673795243,0.267898249624841,0.13500461133595426
0.04,-78.03068424892095,0.025389960886016378,0.7865323649893632,0.0029318291439795925,0.808747781930443,0.7547327105230898,0.020301431091352344,0.017684783580870774,0.11831110285607298,0.13500576147474844
0.05,-78.03028075749943,0.025378871966735325,0.7865245077414705,0.00293195628274233,0.8087499338086177,0.7547309038259773,0.020301066552321157,0.01768462949119108,0.05225233793257916,0.13500691156601083
0.06,-78.02999984956998,0.025373090040956416,0.7865166475844838,0.0029320836221146417,0.8087520855368859,0.7547290972040474,0.020300702043044135,0.017684475404067257,0.023078883882649268,0.1350080616253712
0.07,-78.0297730959456,0.025370181537851602,0.7865087860451564,0.0029322109239068527,0.8087542371407382,0.7547272906403888,0.020300337559547042,0.01768432131919496,0.010194671319059195,0.1350092116597341
0.08,-78.02957026738554,0.02536884000726504,0.7865009237979715,0.002932338083639992,0.8087563886314374,0.75472548412753,0.02029997310007359,0.017684167236439723,0.004504350758484221,0.13501036167214978
0.09,-78.02937800783255,0.02536835813096498,0.7864930611408967,0.0029324650559034915,0.8087585400139613,0.7547236776621706,0.020299608663847363,0.017684013155742126,0.0019911763706460294,0.13501151166396583
0.1,-78.02919041531567,0.025368350209992986,0.7864851982055356,0.002932591821382428,0.8087606912905093,0.7547218712428524,0.02029924425052491,0.0176838590770759,0.0008811950271736842,0.13501266163577755
0.11,-78.02900488134378,0.025368604661430177,0.7864773350499704,0.002932718372290111,0.808762842462054,0.7547200648689316,0.020298879859954107,0.017683705000429435,0.0003909498006057547,0.1350138115878477
0.12,-78.02882025278151,0.02536900484160052,0.7864694716997874,0.002932844705931044,0.8087649935290254,0.7547182585401246,0.020298515492067418,0.017683550925797605,0.00017442046988746298,0.13501496152029208
0.13,-78.02863601973388,0.025369486185508598,0.7864616081662047,0.002932970821856277,0.8087671444916138,0.7547164522563068,0.020298151146834684,0.017683396853178136,7.878301079137495e-05,0.1350161114331615
0.14,-78.02845195667463,0.025370012838046865,0.7864537444540866,0.0029330967206060423,0.8087692953499029,0.7547146460174237,0.020297786824242284,0.017683242782570024,3.654285682452362e-05,0.13501726132647804
0.15,-78.02826796379718,0.02537056483366114,0.7864458805654871,0.0029332224031537284,0.8087714461039301,0.7547128398234525,0.02029742252428392,0.017683088713972825,1.788455361341528e-05,0.13501841120025113
0.16,-78.02808399693018,0.025371131031425395,0.7864380165012163,0.0029333478706601726,0.8087735967537116,0.7547110336743836,0.02029705824695653,0.017682934647386343,9.641693512282622e-06,0.13501956105448445
0.17,-78.02790003652602,0.025371705206172348,0.7864301522615328,0.0029334731243649092,0.8087757472992546,0.7547092275702143,0.020296693992258478,0.0176827805828105,6.002357840445185e-06,0.13502071088917925
