t,x,y
0.0,1.0,0.0
0.01,0.9999499942677313,8.2440815969898e-09
0.02,0.9998999771914348,3.287001492709241e-08
0.03,0.9998499490829454,7.360269895835676e-08
0.04,0.9997999102914514,1.3013403523473203e-07
0.05,0.9997498609456127,2.0235025100390442e-07
0.06,0.9996998013714984,2.899635377217743e-07
0.07,0.999649731890842,3.9268998147966146e-07
0.08,0.9995996528253772,5.102456683688865e-07
0.09,0.9995495644968374,6.423466844807688e-07
0.1,0.9994994672269562,7.887091159066284e-07
0.11,0.999449361337467,9.490490487377854e-07
0.12,0.9993992471501034,1.1230825690655598e-06
0.13,0.9993491249865989,1.3105257629812718e-06
0.14,0.9992989951686871,1.5110947165762413e-06
0.15,0.9992488580181015,1.7245055159417875e-06
0.16,0.9991987137838546,1.950538172942877e-06
0.17,0.9991485624592189,2.1891975098330822e-06
0.18,0.9990984042683541,2.44028538536902e-06
0.19,0.999048239466211,2.703576591404587e-06
0.2,0.9989980683077407,2.9788459197936775e-06
0.21,0.998947891047894,3.265868162390185e-06
0.22,0.9988977079416217,3.5644181110480067e-06
0.23,0.9988475192438745,3.874270557621036e-06
0.24,0.9987973252096035,4.195200293963167e-06
0.25,0.9987471260937594,4.526982111928296e-06
0.26,0.9986969221512929,4.869390803370317e-06
0.27,0.9986467136371552,5.2222011601431246e-06
0.28,0.9985965006963905,5.585284473611814e-06
0.29,0.9985462833720219,5.9586016119563875e-06
0.3,0.9984960618680359,6.341972114396128e-06
0.31,0.9984458363911541,6.735213118754443e-06
0.32,0.9983956071480985,7.138141762854738e-06
0.33,0.9983453743455906,7.5505751845204255e-06
0.34,0.9982951381903521,7.972330521574913e-06
0.35000000000000003,0.9982448988891048,8.403224911841607e-06
0.36,0.9981946566485704,8.843075493143915e-06
0.37,0.9981444116754705,9.291699403305251e-06
0.38,0.9980941641765271,9.748913780149021e-06
0.39,0.9980439119264285,1.0216671196155596e-05
0.4,0.9979936605847699,1.0690000920579542e-05
0.41000000000000003,0.9979434068938062,1.1171762049109921e-05
0.42,0.9978931510550648,1.1661776280643932e-05
0.43,0.9978428932668699,1.2159868126375995e-05
0.44,0.9977926337243427,1.2665864909797735e-05
0.45,0.9977423726194016,1.3179596766697994e-05
0.46,0.9976921101407621,1.3700896645162826e-05
0.47000000000000003,0.9976418464739368,1.42296003055755e-05
0.48,0.9975915818012355,1.4765546320616494e-05
0.49,0.997541316301765,1.530857607526351e-05
0.5,0.9974910501514289,1.5858533766791457e-05
0.51,0.9974407835139337,1.6415274303027176e-05
0.52,0.9973905164617849,1.6978732674509515e-05
0.53,0.9973402491174542,1.7548799996371403e-05
0.54,0.9972899816209952,1.8125351945402207e-05
0.55,0.9972397141080575,1.8708268065221514e-05
0.56,0.9971894467098865,1.9297431766279124e-05
0.5700000000000001,0.9971391795533242,1.9892730325855054e-05
0.58,0.9970889127608088,2.0494054888059532e-05
0.59,0.9970386464503742,2.110130046383302e-05
0.6,0.9969883807356508,2.171436593094618e-05
0.61,0.9969381157258652,2.2333154033999895e-05
0.62,0.9968878515258399,2.295757138442526e-05
0.63,0.9968375882359939,2.358752846048359e-05
0.64,0.9967873259523421,2.4222939607266416e-05
0.65,0.9967370647664956,2.486372303669549e-05
0.66,0.9966868047656616,2.5509800827522774e-05
0.67,0.9966365460326437,2.6161098925330444e-05
0.68,0.9965862886464133,2.6817546640536924e-05
0.6900000000000001,0.9965360327839106,2.7478987268838086e-05
0.7000000000000001,0.9964857786118904,2.8145273048747663e-05
0.71,0.9964355262273404,2.8816317473775794e-05
0.72,0.9963852757245284,2.9492036425734304e-05
0.73,0.996335027195002,3.017234817473667e-05
0.74,0.9962847807275894,3.085717337919804e-05
0.75,0.9962345364083989,3.154643508583524e-05
0.76,0.9961842943208187,3.2240058729666756e-05
0.77,0.9961340545455173,3.293797213401276e-05
0.78,0.9960838171604435,3.3640105510495065e-05
0.79,0.996033582240826,3.434639145903718e-05
0.8,0.9959833498591741,3.505676496786428e-05
0.81,0.9959331200852769,3.5771163413503195e-05
0.8200000000000001,0.9958828929862036,3.648952656078243e-05
0.8300000000000001,0.9958326686263037,3.7211796562832174e-05
0.84,0.9957824470672072,3.793791796108426e-05
0.85,0.9957322283678236,3.8667837685272216e-05
0.86,0.9956820126250352,3.940146932608409e-05
0.87,0.9956317999938558,4.013867543575084e-05
0.88,0.9955815905517852,4.0879386623014514e-05
0.89,0.995531384371873,4.162353740424453e-05
0.9,0.9954811815257268,4.2371063562355654e-05
0.91,0.9954309820835119,4.312190214680801e-05
0.92,0.9953807861139512,4.387599147360706e-05
0.93,0.9953305936843259,4.4633271125303616e-05
0.9400000000000001,0.9952804048604743,4.5393681950993834e-05
0.9500000000000001,0.9952302197067933,4.615716606631921e-05
0.96,0.9951800382862369,4.69236668534666e-05
0.97,0.9951298606603173,4.7693128961168213e-05
0.98,0.9950796868891045,4.8465498304701576e-05
0.99,0.9950295170312263,4.9240722065889586e-05
1.0,0.994979351143868,5.001874869310047e-05
1.01,0.9949291892827732,5.079952790124782e-05
1.02,0.9948790315022429,5.158301067179056e-05
1.03,0.9948288778578451,5.236914687444103e-05
1.04,0.9947787284200807,5.315787327107101e-05
1.05,0.9947285832460985,5.394913834489867e-05
1.06,0.9946784423888436,5.4742894269681796e-05
1.07,0.9946283059000481,5.553909428481035e-05
1.08,0.9945781738302307,5.633769269530642e-05
1.09,0.9945280462286967,5.7138644871824256e-05
1.1,0.9944779231435381,5.794190725065028e-05
1.11,0.9944278046216336,5.874743733370303e-05
1.12,0.9943776907086486,5.955519368853324e-05
1.1300000000000001,0.9943275814490351,6.036513594832377e-05
1.1400000000000001,0.9942774768860319,6.117722481188965e-05
1.1500000000000001,0.9942273770616642,6.199142204367804e-05
1.16,0.9941772820167443,6.280769047376826e-05
1.17,0.9941271917908708,6.362599399787183e-05
1.18,0.9940771064224294,6.444629757733239e-05
1.19,0.9940270259485918,6.52685672391257e-05
1.2,0.9939769504058725,6.609276958825731e-05
1.21,0.9939268798527254,6.691885196809121e-05
1.22,0.9938768143397738,6.774676859739077e-05
1.23,0.9938267539058259,6.857648406844268e-05
1.24,0.9937766985888181,6.940796373900331e-05
1.25,0.9937266484258157,7.024117373229875e-05
1.26,0.9936766034530126,7.107608093702478e-05
1.27,0.9936265637057309,7.191265300734686e-05
1.28,0.9935765292184217,7.275085836290016e-05
1.29,0.9935265000246644,7.359066618878955e-05
1.3,0.9934764761571669,7.443204643558961e-05
1.31,0.9934264576477662,7.52749698193446e-05
1.32,0.9933764445274271,7.611940782156846e-05
1.33,0.9933264368262436,7.696533268924488e-05
1.34,0.9932764345734378,7.78127174348272e-05
1.35,0.9932264377973608,7.86615358362385e-05
1.36,0.9931764465254919,7.95117624368715e-05
1.37,0.9931264607844391,8.036337254558866e-05
1.3800000000000001,0.9930764806155705,8.121632851295968e-05
1.3900000000000001,0.9930265060710536,8.20705832085681e-05
1.4000000000000001,0.9929765371799345,8.292610980163073e-05
1.41,0.9929265739702754,8.378288232603651e-05
1.42,0.9928766164694411,8.464087542812802e-05
1.43,0.9928266647040993,8.55000643667013e-05
1.44,0.9927767187002206,8.636042501300597e-05
1.45,0.9927267784830783,8.722193385074516e-05
1.46,0.9926768440772488,8.808456797607557e-05
1.47,0.992626915506611,8.894830509760745e-05
1.48,0.9925769927943471,8.981312353640452e-05
1.49,0.9925270759629418,9.067900222598414e-05
1.5,0.9924771650341828,9.154592071231713e-05
1.51,0.9924272600291606,9.241385915382789e-05
1.52,0.9923773609682687,9.328279832139433e-05
1.53,0.9923274678712033,9.415271959834795e-05
1.54,0.9922775807569634,9.502360498047375e-05
1.55,0.992227699643851,9.589543707601026e-05
1.56,0.992177824549471,9.676819910564959e-05
1.57,0.992127955490731,9.764187490253738e-05
1.58,0.9920780924838415,9.851644891227277e-05
1.59,0.9920282355443157,9.93919061929085e-05
1.6,0.9919783846869702,0.00010026823241495079
1.61,0.9919285399259238,0.00010114541386135946
1.62,0.9918787012745984,0.00010202343742754782
1.6300000000000001,0.9918288687457191,0.00010290229062138275
1.6400000000000001,0.9917790423777318,0.0001037819383684845
1.6500000000000001,0.9917292222228877,0.00010466233347495408
1.6600000000000001,0.9916794082994708,0.00010554345856902936
1.67,0.9916296006251182,0.00010642529684709854
1.68,0.9915797992170414,0.00010730783187975011
1.69,0.9915300040920264,0.00010819104761177277
1.7,0.9914802152664329,0.0001090749283621555
1.71,0.9914304327561954,0.00010995945882408754
1.72,0.991380656576822,0.00011084462406495841
1.73,0.9913308867433955,0.00011173040952635787
1.74,0.9912811232705728,0.00011261680102407596
1.75,0.9912313661725849,0.00011350378474810297
1.76,0.9911816154632372,0.00011439134726262946
1.77,0.9911318711559092,0.00011527947550604625
1.78,0.9910821332635545,0.00011616815679094442
1.79,0.9910324017987014,0.00011705737880411533
1.8,0.990982676773452,0.00011794712960655058
1.81,0.9909329581994827,0.00011883739763344203
1.82,0.990883246088044,0.00011972817169418184
1.83,0.9908335404499611,0.00012061944097236238
1.84,0.9907838412956329,0.00012151119502577633
1.85,0.9907341486350328,0.0001224034237864166
1.86,0.9906844624777084,0.0001232961175604764
1.87,0.9906347828327813,0.0001241892670283491
1.8800000000000001,0.9905851097089476,0.00012508286324462852
1.8900000000000001,0.9905354431144777,0.00012597689763810857
1.9000000000000001,0.9904857830727661,0.00012687134835892512
1.9100000000000001,0.9904361296125355,0.0001277661888801554
1.92,0.9903864827448654,0.00012866140816508416
1.93,0.9903368424805173,0.0001295569954566502
1.94,0.990287208829975,0.00013045294024238873
1.95,0.9902375818034433,0.00013134923225443157
1.96,0.9901879614108499,0.00013224586146950708
1.97,0.9901383476618432,0.0001331428181089401
1.98,0.9900887405657943,0.00013404009263865205
1.99,0.990039140131796,0.00013493767576916088
