t,V,Nai,m,h,j,Ki,d,f,b,g,xr,xs1,xs2,zdv,ydv,i_rel,CaT,JSR,NSR
0.0,-85.126196430406,10.0,0.001513296212,0.985318710339,0.990731711845,144.473230653346,5.906564e-06,0.999390880784,0.001378275288,0.988597502434,0.000207067204,0.007136102382,0.039518996812,0.014537782303,0.99993940527,-4.74565e-19,0.01544711,8.290468,1.516756041281
0.01,-85.12468208369836,10.00000064425619,0.0015135040094529193,0.9853187107564233,0.9907317156233124,144.473230534375,5.906580513093652e-06,0.9993908811862096,0.0013782750835726447,0.988597533643529,0.00020706713786072058,0.007135985679275542,0.03951836936662905,0.014537810488704669,0.9999394083080615,2.5124630498287122e-06,0.01544682639090628,8.290460218351837,1.5167575499314656
0.02,-85.1231735936819,10.00000128841093,0.0015138570989364944,0.9853186968047243,0.9907317174760631,144.47323041509327,5.906633731023672e-06,0.9993908815495788,0.0013782750757868581,0.9885975645063476,0.0002070670835131204,0.007135869025047787,0.039517741957760553,0.014537897207238023,0.999939411343841,5.0195809734494015e-06,0.015446543001013129,8.290452412004768,1.5167590583494226
0.03,-85.1216709371284,10.000001932464537,0.0015142321856073371,0.9853186685825446,0.9907317174117274,144.47323029550202,5.906722566697978e-06,0.9993908818742563,0.0013782752637109925,0.9885975950237207,0.00020706704091000606,0.007135752419160182,0.039517114585297324,0.014538039613116645,0.9999394143773455,7.521380600853747e-06,0.015446259829864266,8.29044458101288,1.516760566534945
0.04,-85.12017409089307,10.000002576417332,0.0015146098604889818,0.9853186261880899,0.990731715438757,144.47323017560257,5.9068459604846305e-06,0.999390882160391,0.001378275646415967,0.9885976251969094,0.00020706701000430526,0.007135635861456597,0.039516487249142467,0.014538234985940167,0.999939417408582,1.001788827928774e-05,0.015445976877004946,8.290436725430052,1.516762074488107
0.05,-85.11868303189709,10.000003220269631,0.0015149868364032208,0.9853185697191695,0.9907317115655836,144.47323005539607,5.907002879209532e-06,0.9993908824081313,0.0013782762229748932,0.9885976550271733,0.00020706699074904772,0.007135519351781267,0.03951585994919931,0.014538480724323686,0.999939420437557,1.2509129893977849e-05,0.015445694141981747,8.290428845309984,1.5167635822089822
0.06,-85.11719773639288,10.000003864021766,0.001515362563389625,0.9853184992762922,0.9907317058008873,144.47322993488385,5.90719228518082e-06,0.99939088261763,0.0013782769924335911,0.9885976845158096,0.00020706698309586993,0.007135402889973839,0.039515232685368336,0.014538774269473862,0.9999394234642779,1.4995131660684775e-05,0.015445411624328142,8.290420940707909,1.516765089697648
0.07,-85.11571817501866,10.000004507674142,0.0015157369960015065,0.9853184149835233,0.9907316981554054,144.47322981406742,5.907412933205203e-06,0.9993908827890762,0.0013782779536117573,0.9885977136644243,0.0002070669869849322,0.007135286475835939,0.039514605457526455,0.014539112629557725,0.9999394264887532,1.747592536921588e-05,0.015445129323467359,8.290413011692072,1.5167665969541981
0.08,-85.11424433653559,10.000005151226917,0.001516110191522195,0.985318316888295,0.9907316886332495,144.47322969294746,5.907664356575331e-06,0.9993908829225421,0.001378279106057428,0.9885977424736322,0.0002070670023933164,0.0071351701092916015,0.03951397826562653,0.014539494703016326,0.9999394295109864,1.9951523024796906e-05,0.015444847239178612,8.290405058288592,1.5167681039786696
0.09,-85.11277618997495,10.000005794680519,0.001516482458863668,0.9853182051211936,0.9907316772457532,144.47322957152556,5.907945287977677e-06,0.9993908830182274,0.0013782804485247613,0.9885977709451298,0.00020706702925783963,0.007135053790131436,0.03951335110953864,0.014539917534706459,0.9999394325309865,2.242195740158891e-05,0.015444565370853454,8.290397080569422,1.5167696107711628
