t,ANPC
0.0,1.0
0.01,1.0000141853232336
0.02,1.0000283352257449
0.03,1.0000424497926597
0.04,1.0000565291217696
0.05,1.0000705732626707
0.06,1.0000845823123858
0.07,1.0000985563629827
0.08,1.0001124955065301
0.09,1.0001263998350962
0.1,1.0001402694407493
0.11,1.0001541044155577
0.12,1.00016790485159
0.13,1.000181670840914
0.14,1.0001954024755981
0.15,1.0002090998477111
0.16,1.0002227630489668
0.17,1.0002363921445228
0.18,1.0002499872048536
0.19,1.0002635483152735
0.2,1.0002770755610972
0.21,1.0002905690276387
0.22,1.0003040288002127
0.23,1.0003174549641334
0.24,1.0003308476047152
0.25,1.0003442068072728
0.26,1.0003575326571201
0.27,1.0003708252395718
0.28,1.000384084639942
0.29,1.0003973109365496
0.3,1.00041050420377
0.31,1.0004236645243139
0.32,1.0004367919809365
0.33,1.000449886656394
0.34,1.000462948633442
0.35000000000000003,1.0004759779948362
0.36,1.0004889748233323
0.37,1.000501939201686
0.38,1.0005148712126533
0.39,1.0005277709389893
0.4,1.0005406384634503
0.41000000000000003,1.0005534737169226
0.42,1.000566277110636
0.43,1.0005790485200985
0.44,1.0005917880276147
0.45,1.0006044957152858
0.46,1.0006171716650092
0.47000000000000003,1.0006298159584792
0.48,1.0006424286771864
0.49,1.0006550099024176
0.5,1.0006675597152566
0.51,1.0006800781965832
0.52,1.0006925654270742
0.53,1.0007050214842856
0.54,1.000717446431148
0.55,1.000729840343791
0.56,1.000742203300771
0.5700000000000001,1.000754535380417
0.58,1.0007668366608307
0.59,1.0007791072198868
0.6,1.0007913471352328
0.61,1.0008035564842883
0.62,1.0008157353442468
0.63,1.0008278837920737
0.64,1.0008400019045074
0.65,1.000852089758059
0.66,1.000864147429013
0.67,1.0008761749934254
0.68,1.0008881725271264
0.6900000000000001,1.0009001401057178
0.7000000000000001,1.0009120778045748
0.71,1.0009239856988452
0.72,1.0009358638634498
0.73,1.0009477123730819
0.74,1.0009595313022073
0.75,1.0009713207250654
0.76,1.0009830807156677
0.77,1.0009948113477984
0.78,1.0010065126950152
0.79,1.0010181848306476
0.8,1.0010298278277987
0.81,1.0010414417593438
0.8200000000000001,1.0010530266979314
0.8300000000000001,1.0010645827159828
0.84,1.001076109885691
0.85,1.0010876082790237
0.86,1.0010990779677194
0.87,1.0011105190232907
0.88,1.0011219315170226
0.89,1.0011333155199724
0.9,1.001144671102971
0.91,1.0011559983366214
0.92,1.0011672972912997
0.93,1.0011785680371545
0.9400000000000001,1.0011898106441077
0.9500000000000001,1.0012010251818533
0.96,1.0012122117198585
0.97,1.0012233703273632
0.98,1.0012345010733799
0.99,1.0012456040266942
1.0,1.0012566792558641
