t,p
0.0,0.0
0.01,0.3421023896549465
0.02,0.6800454880438395
0.03,1.0138827504017351
0.04,1.343666932185783
0.05,1.669450113691548
0.06,1.9912837077253462
0.07,2.3092184684259576
0.08,2.6233044996293406
0.09,2.9335912633351575
0.1,3.2401275878799183
0.11,3.542961676019885
0.12,3.842141112391142
0.13,4.137712871555578
0.14,4.429723327224829
0.15,4.7182182596438516
0.16,5.003242863438603
0.17,5.284841755352795
0.18,5.563058978387653
0.19,5.837938008722027
0.2,6.109521767977737
0.21,6.3778526276320555
0.22,6.642972415846124
0.23,6.904922424162578
0.24,7.163743416984221
0.25,7.419475638425581
0.26,7.672158814619029
0.27,7.921832162240228
0.28,8.1685343948125
0.29,8.41230372889138
0.3,8.65317789392233
0.31,8.891194138656244
0.32,9.126389231924854
0.33,9.358799471395626
0.34,9.588460689542202
0.35000000000000003,9.815408259520213
0.36,10.039677102059391
0.37,10.261301691266688
0.38,10.480316058783055
0.39,10.696753800168613
0.4,10.910648080428773
0.41000000000000003,11.122031639455708
0.42,11.330936798406231
0.43,11.537395465052946
0.44,11.741439137672854
0.45,11.943098910946446
0.46,12.142405481076468
0.47000000000000003,12.339389150828952
0.48,12.534079835353406
0.49,12.726507067186754
0.5,12.916699999843967
0.51,13.104687413336512
0.52,13.290497718861827
0.53,13.474158963471137
0.54,13.655698835902507
0.55,13.835144670827036
0.56,14.01252345175679
0.5700000000000001,14.187861816419678
0.58,14.361186061133925
0.59,14.5325221451192
0.6,14.701895694745817
0.61,14.869332007723164
0.62,15.034856057230112
0.63,15.19849249885806
0.64,15.360265673442294
0.65,15.52019960824381
0.66,15.678318022825906
0.67,15.83464433304022
0.68,15.989201654972357
0.6900000000000001,16.142012808848705
0.7000000000000001,16.293100322906124
0.71,16.442486437216736
0.72,16.59019310474698
0.73,16.736241996678068
0.74,16.880654508173524
0.75,17.023451760459082
0.76,17.16465460438116
0.77,17.30428362392888
0.78,17.442359139720818
0.79,17.578901212457673
0.8,17.71392964631576
0.81,17.847463989231215
0.8200000000000001,17.979523538418423
0.8300000000000001,18.11012734542229
0.84,18.239294217808467
0.85,18.367042722305644
0.86,18.49339118791064
0.87,18.618357708957177
0.88,18.741960148148998
0.89,18.86421613954196
0.9,18.98514309046658
0.91,19.104758185300426
0.92,19.2230783887825
0.93,19.340120448404036
0.9400000000000001,19.455900897201627
0.9500000000000001,19.570436056516403
0.96,19.6837420387198
0.97,19.795834749906582
0.98,19.906729892539122
0.99,20.016442967402856
1.0,20.124989276815715
1.01,20.23238392737518
1.02,20.33864183222402
1.03,20.44377771353315
1.04,20.54780610495377
1.05,20.650741354039184
1.06,20.75259762463696
1.07,20.85338889924097
1.08,20.953128981020015
1.09,21.05183149642844
1.1,21.149509897529924
1.11,21.24617746413871
1.12,21.341847306032708
1.1300000000000001,21.436532365139506
1.1400000000000001,21.53024541769583
1.1500000000000001,21.622999076380886
1.16,21.71480579240302
1.17,21.805677857151466
1.18,21.8956274047193
1.19,21.984666413956052
1.2,22.07280671033881
1.21,22.160059967942853
1.22,22.246437711388143
1.23,22.331951317762154
1.24,22.416612018519416
1.25,22.500430901306512
1.26,22.58341891107202
1.27,22.665586852934148
1.28,22.74694539389798
1.29,22.827505064420535
1.3,22.907276260171553
1.31,22.9862692437735
1.32,23.06449414652126
1.33,23.141960970081893
1.34,23.218679588174915
1.35,23.29465974823347
1.36,23.369911073046854
1.37,23.44444306238477
1.3800000000000001,23.51826509460379
1.3900000000000001,23.591386426781874
1.4000000000000001,23.66381619530645
1.41,23.73556342189529
1.42,23.806637012880174
1.43,23.877045760612113
1.44,23.946798344934148
1.45,24.015903334637137
1.46,24.084369188898886
1.47,24.152204258707
1.48,24.219416788265793
1.49,24.286014916387657
1.5,24.352006677869177
1.51,24.417400004852453
1.52,24.48220272800394
1.53,24.54642257470237
1.54,24.61006717448299
1.55,24.67314406025082
1.56,24.73566066852008
1.57,24.79762434065928
1.58,24.85904232412196
1.59,24.91992177366329
1.6,24.980269752542892
1.61,25.040093233714163
1.62,25.099399101000397
1.6300000000000001,25.15819415025805
1.6400000000000001,25.216485090527406
1.6500000000000001,25.274278545170976
1.6600000000000001,25.331581051852996
1.67,25.388399062503094
1.68,25.444738948510217
1.69,25.500606999854032
1.7,25.556009426052707
