t,bLR,aG,cAMP,aCaMK,Ca,CaCaM,V
0.0,0.0,0.0,1.35648992164649e-88,6.60756525051462e-08,5.09073088043779e-12,1.86113118246926e-13,-70.0
0.01,0.0,0.0,1.1094144928153168e-88,6.548365693555591e-08,4.993443808033909e-12,1.8255637937475756e-13,-70.00000013126777
0.02,0.0,0.0,9.082269913793055e-89,6.489697094004863e-08,4.8980203481064454e-12,1.7906777270940528e-13,-69.99999999998569
0.03,0.0,0.0,7.533255669200656e-89,6.431741010656014e-08,4.805058899005795e-12,1.7566917522404044e-13,-69.99999999998447
0.04,0.0,5.6388783370765186e-108,6.467714022994648e-89,6.375417830975394e-08,4.71738435051862e-12,1.7246386266722853e-13,-69.99999999998481
0.05,0.0,2.291890805329117e-107,5.943498463976539e-89,6.32159551470176e-08,4.637652811517186e-12,1.6954894028994595e-13,-69.99999999998506
0.06,0.0,4.0198937769505794e-107,5.4192829049584325e-89,6.267773198428126e-08,4.557921272515752e-12,1.6663401791266337e-13,-69.99999999998532
0.07,0.0,5.747896748572044e-107,4.895067345940324e-89,6.213950882154492e-08,4.478189733514318e-12,1.637190955353808e-13,-69.99999999998558
0.08,0.0,7.475899720193507e-107,4.370851786922217e-89,6.160128565880858e-08,4.398458194512883e-12,1.608041731580982e-13,-69.99999999998583
0.09,0.0,9.203902691814971e-107,3.846636227904109e-89,6.106306249607224e-08,4.318726655511449e-12,1.5788925078081563e-13,-69.9999999999861
0.1,0.0,1.0931905663436437e-106,3.322420668886001e-89,6.05248393333359e-08,4.238995116510014e-12,1.5497432840353305e-13,-69.99999999998636
0.11,0.0,1.26599086350579e-106,2.7982051098678936e-89,5.998661617059956e-08,4.15926357750858e-12,1.5205940602625047e-13,-69.99999999998661
0.12,0.0,5.201364229783744e-106,3.4987920872308995e-89,5.9582465893741e-08,4.11918765479244e-12,1.5059426180840335e-13,-69.99999999998673
0.13,0.0,5.521938414004564e-106,3.0226802668925813e-89,5.9049508401898325e-08,4.041013577786969e-12,1.477362790174244e-13,-69.99999999998698
0.14,0.0,5.969672605501722e-106,2.5879619016652613e-89,5.852108204043654e-08,3.964179702915187e-12,1.4492729296296493e-13,-69.99999999998724
0.15,0.0,6.544566804275215e-106,2.1946369915489417e-89,5.799718680935564e-08,3.888686030177093e-12,1.4216730364502498e-13,-69.99999999998748
0.16,0.0,7.246621010325048e-106,1.8427055365436196e-89,5.7477822708655626e-08,3.814532559572686e-12,1.3945631106360456e-13,-69.99999999998772
0.17,0.0,8.075835223651217e-106,1.5321675366492967e-89,5.6962989738336496e-08,3.741719291101967e-12,1.3679431521870365e-13,-69.99999999998795
0.18,0.0,9.03220944425372e-106,1.2630229918659735e-89,5.645268789839826e-08,3.670246224764936e-12,1.3418131611032227e-13,-69.99999999998818
0.19,0.0,1.0115743672132566e-105,1.0352719021936485e-89,5.594691718884091e-08,3.600113360561593e-12,1.3161731373846036e-13,-69.9999999999884
0.2,7.284919807684188e-107,1.1102965475445869e-105,7.064808302918971e-90,5.544349491894469e-08,3.5300779085937347e-12,1.2905687268122137e-13,-69.99999999998862
0.21,1.5336587505653517e-106,1.219382650335367e-105,4.040918971284328e-90,5.494437404821079e-08,3.461251853403065e-12,1.265406462194759e-13,-69.99999999998884
0.22,2.4140435482421035e-106,1.3388773632369462e-105,1.283899260139698e-90,5.4449558941353076e-08,3.3936376801892662e-12,1.2406872521017107e-13,-69.99999999998906
0.23,3.369646373798678e-106,1.468780686249324e-105,-1.206250830514908e-90,5.395904959837154e-08,3.3272353889523385e-12,1.216411096533069e-13,-69.99999999998927
0.24,4.400467227235071e-106,1.6090926193724994e-105,-3.4295313006794847e-90,5.347284601926619e-08,3.2620449796922827e-12,1.1925779954888342e-13,-69.99999999998948
0.25,5.506506108551284e-106,1.759813162606474e-105,-5.385942150354045e-90,5.2990948204037026e-08,3.198066452409098e-12,1.1691879489690057e-13,-69.9999999999897
0.26,6.687763017747323e-106,1.9209423159512465e-105,-7.075483379538583e-90,5.251335615268404e-08,3.1352998071027847e-12,1.146240956973584e-13,-69.9999999999899
0.27,7.944237954823184e-106,2.0924800794068178e-105,-8.498154988233098e-90,5.2040069865207224e-08,3.0737450437733425e-12,1.1237370195025687e-13,-69.9999999999901
0.28,9.275930919778865e-106,2.2744264529731866e-105,-9.653956976437588e-90,5.15710893416066e-08,3.0134021624207717e-12,1.1016761365559601e-13,-69.9999999999903
0.29,1.0682841912614359e-105,2.4667814366503537e-105,-1.054288934415205e-89,5.110641458188216e-08,2.954271163045073e-12,1.0800583081337583e-13,-69.99999999999048
0.3,1.2164970933329685e-105,2.6695450304383194e-105,-1.1164952091376496e-89,5.064604558603389e-08,2.896352045646245e-12,1.058883534235963e-13,-69.99999999999066
0.31,1.3722317981924828e-105,2.8827172343370834e-105,-1.152014521811092e-89,5.018998235406181e-08,2.839644810224288e-12,1.0381518148625742e-13,-69.99999999999085
0.32,1.5354883058399795e-105,3.1062980483466465e-105,-1.1608468724355318e-89,4.9738224885965914e-08,2.784149456779203e-12,1.017863150013592e-13,-69.99999999999103
0.33,1.7062666162754582e-105,3.3402874724670074e-105,-1.1429922610109694e-89,4.92907731817462e-08,2.729865985310989e-12,9.980175396890164e-14,-69.9999999999912
0.34,1.884566729498919e-105,3.584685506698166e-105,-1.0984506875374046e-89,4.8847627241402655e-08,2.676794395819646e-12,9.786149838888475e-14,-69.99999999999137
0.35000000000000003,2.0703886455103624e-105,3.8394921510401245e-105,-1.0272221520148376e-89,4.84087870649353e-08,2.6249346883051748e-12,9.596554826130852e-14,-69.99999999999154
