t,Rs,L,Cs,Ri,Li,Ci,Ld,Y
0.0,1500.0,10.0,1.0,300.0,0.01,1.0,1.0,250000000.0
0.01,1499.8186947018746,9.999922649133802,1.1858864852439395,300.0010639050622,0.1876053238590173,0.9990169179627648,1.0003498240335982,250000000.0
0.02,1499.637453759317,9.9998453195153,1.371649018308539,300.0020565851404,0.35529116412733663,0.9981666625199945,1.0006993273371818,250000000.0
0.03,1499.4562771406183,9.999768011097638,1.5572876745995137,300.0029814037598,0.5136257204612913,0.9974458035377086,1.0010485557933249,250000000.0
0.04,1499.2751648140875,9.999690723836048,1.7428025294802856,300.0038415366829,0.6631453746579412,0.9968510986937374,1.001397554116985,250000000.0
0.05,1499.0941167480512,9.999613457687715,1.9281936582686614,300.00463998285517,0.8043565456707404,0.9963794825341376,1.0017463659215695,250000000.0
0.06,1498.9131329108548,9.999536212611677,2.1134611362368916,300.0053795738077,0.9377372830221437,0.9960280570705746,1.002095033776149,250000000.0
0.07,1498.7322132708625,9.99945898856872,2.298605038611735,300.00606298317683,1.0637388800763947,0.9957940822605048,1.0024435992633844,250000000.0
0.08,1498.5513577964562,9.999381785521287,2.483625440574515,300.0066927355523,1.1827873734648415,0.9956749671591522,1.0027921030333635,250000000.0
0.09,1498.3705664560364,9.999304603433371,2.668522417261182,300.0072712147609,1.2952849469084713,0.9956682616356225,1.0031405848540034,250000000.0
0.1,1498.1898392180224,9.999227442270444,2.8532960437623616,300.0078006717777,1.4016112718253109,0.995771648462039,1.0034890836591839,250000000.0
0.11,1498.0091760508512,9.999150301999359,3.037946395123415,300.0082832324132,1.5021248101079907,0.9959829356259072,1.0038376375955225,250000000.0
0.12,1497.8285769229783,9.99907318258829,3.222473546344488,300.00872090368335,1.5971638935944066,0.9963000499601788,1.004186284061128,250000000.0
0.13,1497.6480418028775,9.998996084006649,3.4068775723805595,300.0091155808827,1.687047922675047,0.9967210300703104,1.0045350597486353,250000000.0
0.14,1497.4675706590403,9.998919006225016,3.5911585481414976,300.0094690538698,1.7720784315075335,0.997244020048455,1.0048840006834496,250000000.0
0.15,1497.287163459977,9.998841949215077,3.7753165484921003,300.00978301283055,1.8525400646296795,0.9978672637104784,1.0052331422588083,250000000.0
0.16,1497.1068201742153,9.998764912949559,3.95935164825215,300.01005905392105,1.9287015332644688,0.9985890989528127,1.005582519270116,250000000.0
0.17,1496.9265407703017,9.998687897402178,4.143263922196453,300.0102986844825,2.0008164990757717,0.9994079525374161,1.0059321659466738,250000000.0
0.18,1496.7463252168002,9.998610902547581,4.327053445054885,300.01050332798525,2.069124411934466,1.000322335148111,1.0062821159817577,250000000.0
0.19,1496.566173482293,9.998533928361288,4.510720291512442,300.0106743287915,2.1338513171108344,1.0013308366273355,1.0066324025616002,250000000.0
0.2,1496.3860855353805,9.998456974819657,4.694264536209271,300.01081295651977,2.195210594817351,1.00243212161209,1.0069830583919437,250000000.0
0.21,1496.2060613446806,9.998380041899823,4.8776862537407215,300.0109204102667,2.2534036756976534,1.0036249253118241,1.0073341157237299,250000000.0
0.22,1496.0261008788298,9.998303129579664,5.060985518657384,300.01099782253897,2.3086207071352707,1.0049080495765286,1.0076856063770248,250000000.0
0.23,1495.846204106482,9.998226237837757,5.2441624054651275,300.0110462629704,2.361041183138874,1.0062803591797647,1.0080375617636363,250000000.0
0.24,1495.6663709963088,9.99814936665334,5.42721698862514,300.0110667417661,2.410834528051464,1.00774077837417,1.0083900129080747,250000000.0
0.25,1495.4866015170007,9.998072516006273,5.610149342553969,300.01106021323346,2.4581606948588424,1.0092882873608224,1.0087429904690373,250000000.0
0.26,1495.3068956372651,9.997995685877008,5.792959541623558,300.01102757867335,2.5031706551975503,1.0109219193976688,1.0090965247570058,250000000.0
0.27,1495.1272533258275,9.997918876246548,5.975647660161282,300.01096968952396,2.5460069321059566,1.0126407576557392,1.0094506457533783,250000000.0
0.28,1494.947674551431,9.997842087096428,6.158213772449988,300.0108873500368,2.58680405348467,1.0144439325432426,1.0098053831267564,250000000.0
0.29,1494.7681592828371,9.997765318408671,6.340657952728027,300.0107813199533,2.6256890057023465,1.0163306190288102,1.010160766249237,250000000.0
0.3,1494.5887074888246,9.997688570165776,6.522980275189294,300.0106523170402,2.6627816632286465,1.0183000341061998,1.0105168242118427,250000000.0
0.31,1494.4093191381903,9.997611842350683,6.70518081398326,300.01050101932594,2.6981951676635085,1.0203514345576095,1.0108735858381401,250000000.0
0.32,1494.2299941997485,9.99753513494675,6.887259643215002,300.0103280674742,2.7320363299178694,1.0224841145803762,1.0112310796986843,250000000.0
0.33,1494.0507326423312,9.997458447937731,7.069216836945248,300.0101340667227,2.76440595877869,1.0246974038480787,1.0115893341228255,250000000.0
0.34,1493.8715344347884,9.997381781307752,7.251052469190402,300.0099195889854,2.795399217180635,1.0269906654081427,1.0119483772115079,250000000.0
0.35000000000000003,1493.6923995459874,9.997305135041291,7.432766613922578,300.0096851746414,2.825105925321748,1.0293632938931194,1.0123082368481626,250000000.0
0.36,1493.5133279448137,9.997228509123163,7.6143593450696345,300.0094313343224,2.8536108636034387,1.031814713733,1.012668940709594,250000000.0
0.37,1493.3343196001697,9.997151903538494,7.795830736515212,300.0091585506062,2.880994059563195,1.0343443774619898,1.0130305162762903,250000000.0
0.38,1493.1553744809762,9.997075318272714,7.977180862098751,300.0088672795183,2.9073310424267675,1.0369517642163566,1.013392990841575,250000000.0
0.39,1492.9764925561713,9.996998753311527,8.15840979561554,300.00855795211896,2.9326931119483888,1.0396363781479694,1.0137563915212695,250000000.0
0.4,1492.7976737947106,9.996922208640903,8.339517610816737,300.0082309757742,2.9571475539053678,1.0423977471526236,1.014120745261441,250000000.0
0.41000000000000003,1492.6189181655675,9.996845684247074,8.520504381409397,300.007886735513,2.9807578700000468,1.0452354215133541,1.0144860788466692,250000000.0
0.42,1492.4402256377325,9.996769180116493,8.701370181056514,300.0075255953843,3.0035840078589047,1.0481489725431707,1.0148524189083163,250000000.0
0.43,1492.2615961802144,9.99669269623585,8.882115083377048,300.00714789956925,3.0256825495402344,1.0511379914726378,1.0152197919313068,250000000.0
0.44,1492.083029762039,9.996616232592045,9.062739161945949,300.0067539734977,3.0471069007155034,1.0542020883334744,1.015588224260933,250000000.0
