t,x2,x3,x5,x6,x4,x7,x8,x9,x10,x10a,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
0.0,9e-13,0.0,0.0,1e-13,0.0,0.0,0.0,1e-12,0.0,0.0,1e-13,2.54e-15,0.31,99.4,0.29,100.0,0.0,100.0,0.0,96.0,4.0
0.01,8.476390560671357e-13,1.9899338347309208e-15,4.902019605359961e-14,1.0000007958997528e-13,1.350389104770256e-15,9.329051292964725e-21,5.030207369495497e-19,9.988742472189465e-13,1.367130283375727e-15,1.0164760472697087e-22,1.0024137760397043e-13,2.298622396029545e-15,1.2569842355066818,98.43876984142416,0.3042459230691296,99.87405296122219,0.125947038777804,99.87405296122219,0.125947038777804,95.99840407365832,4.000487254508114
0.02,7.98420014551393e-13,2.696687682981201e-15,9.380657292062933e-14,9.999999472639353e-14,5.074976511086032e-15,7.313567629124664e-20,2.014471840423422e-18,9.954347348603857e-13,5.02330739846571e-15,2.5368660202899527e-20,1.0045806762751213e-13,2.0819323724878684e-15,1.7651629854755682,97.89742279033173,0.3374142241926577,99.58755050604965,0.4124494939503527,99.58755050604965,0.4124494939503527,95.99442702798179,4.003355658846654
0.03,7.521484472495912e-13,1.8680049514516353e-15,1.3551181802969654e-13,9.999976013823873e-14,1.0467813737883689e-14,2.332523364648691e-19,4.423640801644261e-18,9.898753682088894e-13,1.0775073006502397e-14,4.885402245736197e-19,1.006509297556168e-13,1.8890702443831917e-15,2.0072572469081544,97.61321309528888,0.37952965780290365,99.23471590691057,0.7652840930894159,99.23471590691057,0.7652840930894159,95.98686974806836,4.0098043633426785
0.04,7.086428814959854e-13,1.7083511148032603e-15,1.7264154229651e-13,9.999938947589017e-14,1.7000345818387314e-14,5.184274868886456e-19,7.63937093689124e-18,9.823828993452086e-13,1.8434618901522364e-14,3.347333814577099e-18,1.0082086558054602e-13,1.7191344194539883e-15,2.0910016550080255,97.48433698096598,0.4246613640259584,98.87003209624677,1.1299679037532262,98.87003209624677,1.1299679037532262,95.97533735708654,4.020228289036329
0.05,6.677340296056755e-13,1.602310731608524e-15,2.0638437195822137e-13,9.999889540862454e-14,2.4268697661244117e-14,9.475551717426786e-19,1.1582079454237397e-17,9.73143717415145e-13,2.781193375056194e-14,1.3164592030030042e-17,1.0096881575773738e-13,1.5711842422626332e-15,2.083590277934008,97.44701692369884,0.46939279836709985,98.52338058024715,1.4766194197528577,98.52338058024715,1.4766194197528577,95.95988970704379,4.0345676298026065
0.06,6.292638986131745e-13,1.5142224845642389e-15,2.3723569158703533e-13,9.999828972978737e-14,3.197118361100525e-14,1.532131599927545e-18,1.6183842833537546e-17,9.623362667445571e-13,3.872273405007889e-14,3.675527202344392e-17,1.0109575606665987e-13,1.44424393334014e-15,2.026871521853617,97.4612618876066,0.5118665905397327,98.2096336160341,1.790366383965911,98.2096336160341,1.790366383965911,95.94082638886265,4.052522838366591
0.07,5.930848916700305e-13,1.4281819391423166e-15,2.6558354788154566e-13,9.999758345277866e-14,3.988330016298073e-14,2.2781392474449946e-18,2.1385754274840307e-17,9.501323008298078e-13,5.098882988407358e-14,8.156156315322707e-17,1.0120269227703472e-13,1.3373077229653097e-15,1.946813406953041,97.5019993959639,0.551187197082982,97.93465561502441,2.0653443849755626,97.93465561502441,2.0653443849755626,95.91855647109044,4.073684885640432
0.08,5.590589645414616e-13,1.3456147668150706e-15,2.9173011398957313e-13,9.999678689143808e-14,4.783953209921472e-14,3.187484419842808e-18,2.7136227077746017e-17,9.366976117058847e-13,6.443921174095309e-14,1.5383085547861855e-16,1.0129065430231673e-13,1.2493456976832907e-15,1.8594117699038424,97.55354150410108,0.5870467259950025,97.69902765449667,2.300972345503325,97.69902765449667,2.300972345503325,95.89352108888626,4.097612670958638
0.09,5.270568612024277e-13,1.2646848280875945e-15,3.159270772214244e-13,9.999590972480747e-14,5.5719321275801206e-14,4.259093480374367e-18,3.338965397120891e-17,9.221923668217237e-13,7.891087931483451e-14,2.5744374725634248e-16,1.013606898838147e-13,1.1793101161853304e-15,1.7743862250608622,97.60612356153133,0.6194902134077506,97.500345227537,2.4996547724630007,97.500345227537,2.4996547724630007,95.86614876510563,4.123877700905391
0.1,4.969574270054178e-13,1.4557936385002982e-15,3.3811089992814234e-13,9.999496104826758e-14,6.343699302903652e-14,5.489746856039534e-18,4.010560377939981e-17,9.067704136105174e-13,9.424982102058547e-14,3.9362337426172663e-16,1.0141385800536479e-13,1.1261419946352526e-15,1.6974971879773788,97.6537345632664,0.6487682487561529,97.33462737024443,2.6653726297555753,97.33462737024443,2.6653726297555753,95.83683089067148,4.152088609245889
0.11,4.686470214919043e-13,1.1623893836387955e-15,3.592139973973947e-13,9.999394941383643e-14,7.093035768233031e-14,6.874715843052984e-18,4.724691505244696e-17,8.905797532796395e-13,1.1031014217837331e-13,5.613269914581956e-16,1.0145122244947123e-13,1.0887775505288223e-15,1.6320020777198496,97.69275351000186,0.6752444122781929,97.19717447062293,2.8028255293770896,97.19717447062293,2.8028255293770896,95.80590953288753,4.181903349121326
0.12,4.420189474299594e-13,1.0624048694133565e-15,3.787042306676505e-13,9.999288286154242e-14,7.816034880510882e-14,8.408238192936847e-18,5.478112813274383e-17,8.73758127122348e-13,1.2695773386814447e-13,7.579833499784183e-16,1.0147384434047096e-13,1.0661556595290926e-15,1.5795731900792664,97.72108960480362,0.6993372051170023,97.08308455747256,2.9169154425274613,97.08308455747256,2.9169154425274613,95.7736727148157,4.2130339142739315
0.13,4.1697298020008656e-13,9.932416594003094e-16,3.968707632389965e-13,9.999176894487058e-14,8.510065500815581e-14,1.0083885703432046e-17,6.267806278692797e-17,8.564354355574765e-13,1.440670519936468e-13,9.802890017274293e-16,1.0148277655285088e-13,1.0572234471491873e-15,1.5408781516414622,97.73763810043788,0.7214837479205592,96.9875582826526,3.0124417173474076,96.9875582826526,3.0124417173474076,95.74035415371581,4.245246601236284
0.14,3.9341492098993336e-13,1.0457210395234069e-15,4.1373162149457e-13,9.999061475115816e-14,9.173665455473927e-14,1.1894834947409331e-17,7.09103351285354e-17,8.387317112625001e-13,1.6152245735898683e-13,1.224888868215979e-15,1.0147905748970308e-13,1.0609425102969805e-15,1.5159486156522013,97.7419341405821,0.7421172437655907,96.90607348873428,3.093926511265736,96.90607348873428,3.093926511265736,95.70613559256805,4.278359678424405
0.15,3.712562140006104e-13,9.095438156085751e-16,4.2969304938740844e-13,9.998942691891034e-14,9.806098432293175e-14,1.3834072548313307e-17,7.945248198220268e-17,8.207561037482804e-13,1.7921873037739647e-13,1.4888713648059105e-15,1.014637054904829e-13,1.0762945095171494e-15,1.5044156146525687,97.73393118148957,0.7616532038577641,96.83447918199117,3.1655208180088517,96.83447918199117,3.1655208180088517,95.67115057652111,4.312239610268997
0.16,3.5041356155970855e-13,8.306261284707e-16,4.445924087729793e-13,9.998821165277447e-14,1.0407368783754419e-13,1.5894544476119734e-17,8.828150404669573e-17,8.026073912445957e-13,1.970602432747741e-13,1.7700785585670028e-15,1.0143771307793695e-13,1.1022869220630754e-15,1.5056612530303195,97.71385749102615,0.7804812559434207,96.76904002853193,3.2309599714680926,96.76904002853193,3.2309599714680926,95.63548896114696,4.346796549492011
0.17,3.308086080480747e-13,7.893257886009081e-16,4.585239187538363e-13,9.998697473731787e-14,1.0977856644446137e-13,1.8069268585635902e-17,9.737595912310426e-17,7.8437388550541e-13,2.149608904743556e-13,2.0672673626916094e-15,1.0140204334245721e-13,1.1379566575428226e-15,1.5189170459445207,97.68212240109744,0.7989605529579211,96.70645039874789,3.293549601252111,96.70645039874789,3.293549601252111,95.59920171812414,4.381979531900162
0.18,3.1236762537000404e-13,8.146896707667109e-16,4.715252220831354e-13,9.998572155002964e-14,1.1518267986322274e-13,2.0351414111410062e-17,1.0671604872996933e-16,7.661344194415106e-13,2.3284303819619954e-13,2.3801679350585407e-15,1.0135762557276862e-13,1.1823744272314168e-15,1.5433284601459536,97.63925404577796,0.8174174940759612,96.64383000378926,3.356169996210752,96.64383000378926,3.356169996210752,95.56230577126108,4.417771640782852
0.19,2.950212400860177e-13,7.055478332888266e-16,4.83858196401849e-13,9.998445707413272e-14,1.2029471401149362e-13,2.273435880067513e-17,1.1628323441735515e-16,7.479577521463256e-13,2.5063811754615434e-13,2.7094826207443888e-15,1.0130535231322428e-13,1.234647686775761e-15,1.5779978076647143,97.58585722978084,0.8361449625543161,96.57870837349272,3.421291626507293,96.57870837349272,3.421291626507293,95.52478870294426,4.454185300829717
0.2,2.7870416245437814e-13,6.668015676605785e-16,4.953721179485085e-13,9.998318591144101e-14,1.2512579974457582e-13,2.521172640305219e-17,1.260606470328203e-16,7.299031182234744e-13,2.6828609889485614e-13,3.0568589185273556e-15,1.0124607603685793e-13,1.2939239631421002e-15,1.6220133092712827,97.52258414558351,0.8554025451450741,96.50900286452345,3.4909971354765625,96.50900286452345,3.4909971354765625,95.48661323688904,4.491257795692848
0.21,2.6335494735238314e-13,6.274999278516745e-16,5.061880213556563e-13,9.998191229572305e-14,1.296873162512826e-13,2.77774131178984e-17,1.3603240398513538e-16,7.120221613604777e-13,2.857335858732861e-13,3.4248606003990726e-15,1.0118060783416297e-13,1.3593921658370688e-15,1.6744689773177155,97.45011360931723,0.8754174133649241,96.43299291858014,3.5670070814198676,96.43299291858014,3.5670070814198676,95.44772144030539,4.529047066083321
0.22,2.489157693728238e-13,5.833346901714035e-16,5.163560069873882e-13,9.998064010643239e-14,1.339913134385511e-13,3.0425601817547154e-17,1.4618380281536322e-16,6.943579686875896e-13,3.029347968160717e-13,3.816950219849714e-15,1.0110971572351112e-13,1.4302842764889243e-15,1.7344782200624143,97.36913615791455,0.8963856220228991,96.34929251963385,3.6507074803661697,96.34929251963385,3.6507074803661697,95.40803862035158,4.567627813533468
0.23,2.3533220941969823e-13,5.316071909608893e-16,5.259209475295126e-13,9.997937288307634e-14,1.3805005202473074e-13,3.3150769266698183e-17,1.5650118275417923e-16,6.769463823053896e-13,3.1985025179265335e-13,4.237489566398134e-15,1.010341236644413e-13,1.5058763355587275e-15,1.801183484349908,97.28034282869768,0.9184736869522664,96.25682191131222,3.74317808868781,96.25682191131222,3.74317808868781,95.36747690001926,4.607087924684487
0.24,2.2255305142636567e-13,5.016505566274039e-16,5.348924169912855e-13,9.997811384015649e-14,1.4187585562264233e-13,3.59476873247091e-17,1.6697187559765067e-16,6.598173781391263e-13,3.3644537295642273e-13,4.6917604076010206e-15,1.0095451150315037e-13,1.585488496849672e-15,1.8737628717802133,97.18441679066981,0.9418203375498356,96.15477933007966,3.845220669920371,96.15477933007966,3.845220669920371,95.32593846929653,4.647525220256139
0.25,2.1053012094113602e-13,5.155560441748068e-16,5.432843835872329e-13,9.997686588261514e-14,1.4548085301990978e-13,3.8811420093608083e-17,1.7758410483745e-16,6.429912430956931e-13,3.5269426907307186e-13,5.186002533338502e-15,1.0087151470210392e-13,1.668485297896119e-15,1.9514346248554362,97.08202701129277,0.9665383638516477,96.04261327169031,3.9573867283097246,96.04261327169031,3.9573867283097246,95.2833185249628,4.689044515349924
0.26,1.9921807685006755e-13,4.720151288736301e-16,5.512319724792719e-13,9.997563162191936e-14,1.4887658177609542e-13,4.173731793335823e-17,1.8832682583855848e-16,6.264856529702558e-13,3.6857260838771e-13,5.727462430830634e-15,1.0078572378879687e-13,1.7542762112031723e-15,2.033460453507471,96.97382302886929,0.9927165176230839,95.91999557991805,4.080004420081984,95.91999557991805,4.080004420081984,95.2395078955041,4.731754994598849
0.27,1.8857426581347065e-13,4.583541930100125e-16,5.586788981375911e-13,9.99744133922861e-14,1.5207466652320401e-13,4.472100835846607e-17,1.991899320794111e-16,6.103119985163221e-13,3.8406123563546855e-13,6.324453017074417e-15,1.006976871688655e-13,1.8423128311345276e-15,2.1191473250371193,96.86043124559211,1.0204214293706095,95.78679556108462,4.213204438915439,95.78679556108462,4.213204438915439,95.19439536784827,4.775767885468779
0.28,1.7855856734048217e-13,4.2819156982032024e-16,5.657007981984523e-13,9.997321326738448e-14,1.5508598330647465e-13,4.775838668829072e-17,2.1016393069755965e-16,5.944765073952994e-13,3.9914499549674985e-13,6.986408412672152e-15,1.0060791130472189e-13,1.932088695278154e-15,2.207847928337343,96.74245257474158,1.0496994969209257,95.64305540656274,4.356944593437315,95.64305540656272,4.356944593437315,95.14786973351129,4.821194412123832
0.29,1.691332476562886e-13,4.0340581580115737e-16,5.723029541313813e-13,9.997203307709783e-14,1.579211166515698e-13,5.084560449191409e-17,2.2124006336912458e-16,5.789808426641847e-13,4.1381209023323307e-13,7.72392901049507e-15,1.0051686190791331e-13,2.0231380920867295e-15,2.2989609940914453,96.62046027887581,1.080578727032592,95.48896704104581,4.511032958954238,95.4889670410458,4.511032958954238,95.09982156234996,4.868144021662883
0.3,1.6026282311544238e-13,3.967700846128017e-16,5.78497999147306e-13,9.997087442434975e-14,1.6059015397526184e-13,5.3979057948647255e-17,2.3241019507837237e-16,5.638223527086942e-13,4.2805380734589456e-13,8.548805802198387e-15,1.0042496585678746e-13,2.115034143212584e-15,2.391930872698213,96.49499860156168,1.113070525739944,95.32485033572945,4.675149664270611,95.32485033572944,4.675149664270611,95.0501447288426,4.916722857809537
0.31,1.519139292693055e-13,3.624753239457533e-16,5.843556529880895e-13,9.996973870184214e-14,1.6310255861186123e-13,5.715537579369246e-17,2.43666729161992e-16,5.489948124227081e-13,4.4186378106988224e-13,9.474019417766913e-15,1.0033261291035779e-13,2.207387089642267e-15,2.486246432975353,96.36658215233415,1.147171414690336,95.15113284137858,4.848867158621482,95.15113284137857,4.848867158621482,94.99873770329296,4.96703246966261
0.32,1.4405520609017257e-13,2.0233647270566584e-16,5.899966138488119e-13,9.99686271085699e-14,1.65467186500895e-13,6.037140698168313e-17,2.550025718631691e-16,5.344882935757672e-13,4.552381707402282e-13,1.0513693070255282e-14,1.0024015738625111e-13,2.2998426137489438e-15,2.5814397308482313,96.23569560690767,1.1828646622439463,94.96833111687822,5.031668883121847,94.9683311168782,5.031668883121847,94.94550461746309,5.0191687460034515
0.33,1.3665712088035434e-13,5.901422146553932e-16,5.947663783708672e-13,9.996754066599794e-14,1.676942928731806e-13,6.36242067547861e-17,2.6641178818952635e-16,5.202933631313321e-13,4.681715638563779e-13,1.1682993420593603e-14,1.0014792040830402e-13,2.3920795916960404e-15,2.677084372376201,96.10279380205478,1.2201218255688566,94.77703360582892,5.222966394171154,94.7770336058289,5.222966394171154,94.89035612973021,5.073221050068283
0.34,1.2969188841592086e-13,1.9949166968231754e-15,5.98214417950438e-13,9.99664802339423e-14,1.6979317493304054e-13,6.69110265743352e-17,2.7788874326055455e-16,5.063997510685307e-13,4.806584640582412e-13,1.2997976908446401e-14,1.0005619203521865e-13,2.4838079647814035e-15,2.772793547740508,95.968302249583,1.2589042026763182,94.57788497215559,5.422115027844477,94.57788497215557,5.422115027844477,94.83321011899613,5.1292715255597345
0.35000000000000003,1.2313436548011417e-13,-5.0489813300667566e-15,6.098467726373972e-13,9.996544652534331e-14,1.7174859248810035e-13,7.02293221617586e-17,2.8941987694963586e-16,4.927367527250232e-13,4.927529839773449e-13,1.4475497229088973e-14,9.99652339314576e-14,2.5747660685424428e-15,2.868217863823957,95.8326179562814,1.2991641798944813,94.37157207729865,5.628427922701403,94.37157207729864,5.628427922701403,94.77399219750615,5.187394583741097
0.36,1.1695908703181016e-13,-7.108130539533436e-15,6.162156234910474e-13,9.996444012161612e-14,1.736004039046371e-13,7.357667518817916e-17,3.010113152341271e-16,4.793512145021277e-13,5.043914082519806e-13,1.6132657582087668e-14,9.987528033619655e-14,2.6647196638034906e-15,2.963043053610142,95.69611046125516,1.3408464851345285,94.15881135509228,5.841188644907778,94.15881135509227,5.841188644907778,94.7126360854136,5.247656528780297
0.37,1.1114523544336708e-13,4.223030677619475e-16,6.127190752515925e-13,9.996346149077875e-14,1.7536649082714628e-13,7.695084554568055e-17,3.1266207380774285e-16,4.660288551731295e-13,5.15771473348869e-13,1.7986066079073312e-14,9.978639460107214e-14,2.75360539892791e-15,3.0570129721556145,95.55909749305246,1.3838895347917641,93.94033601397443,6.059663986025622,93.94033601397442,6.059663986025622,94.64908384725993,5.310115321174952
0.38,1.0566662814842738e-13,2.557649021760946e-16,6.167051574944874e-13,9.996251099526635e-14,1.7701158149003316e-13,8.034978840309763e-17,3.243531812065634e-16,4.5314447850374243e-13,5.2650204548789e-13,2.0052376949424993e-14,9.969890094105762e-14,2.8410990589424287e-15,3.1499033898745403,95.42186926278886,1.4282273473364484,93.71687931440339,6.28312068559666,93.71687931440337,6.283120685596659,94.58328594682132,5.374820522808723
0.39,1.0050560095475443e-13,2.3938325988487548e-16,6.203192488082393e-13,9.996158889392514e-14,1.7856083240715775e-13,8.377155120118107e-17,3.3608712483721104e-16,4.4046502929066005e-13,5.367997360231811e-13,2.234823031693082e-14,9.961299563077202e-14,2.9270043692280365e-15,3.2414643130347627,95.28474649579194,1.4737891911731607,93.48917745450247,6.510822545497573,93.48917745450245,6.5108225454975726,94.51520119703768,5.441813346923632
0.4,9.564309954330725e-14,2.2999027265888493e-16,6.237181888829554e-13,9.996069537373943e-14,1.800196316558781e-13,8.721432891492542e-17,3.4785994254578244e-16,4.2797346476482256e-13,5.466670189838145e-13,2.4888338899286076e-14,9.952882264792326e-14,3.011177352076794e-15,3.331481973421886,95.14801796008909,1.520500066488882,93.25796516654725,6.7420348334527835,93.25796516654724,6.742034833452783,94.44479676642136,5.511126651616949
0.41000000000000003,9.106123646577383e-14,2.1897241905929298e-16,6.269231081780827e-13,9.995983055217555e-14,1.8139335488344895e-13,9.067643945928827e-17,3.596680620001904e-16,4.156544104581755e-13,5.561065158594878e-13,2.7685582580232604e-14,9.944650889789598e-14,3.093491102104075e-15,3.4197740415936666,95.0119442226673,1.5682817357389096,93.02396688155784,6.976033118442198,93.02396688155783,6.9760331184421975,94.37204815654839,5.582784962257055
0.42,8.674320534944395e-14,2.0856671715119298e-16,6.299434945488362e-13,9.995899448910293e-14,1.826870884126578e-13,9.415631317638082e-17,3.715081696311699e-16,4.0349461937728283e-13,5.651210245832936e-13,3.0750522055567655e-14,9.93661660161442e-14,3.173833983855849e-15,3.506183997584728,94.8767623306259,1.6170536717892638,92.78788998680568,7.212110013194355,92.78788998680567,7.212110013194354,94.29693888006304,5.6568047933762795
0.43,8.267322867766682e-14,1.9878074033714553e-16,6.327903441645656e-13,9.995818719550735e-14,1.839056105529694e-13,9.765248626477577e-17,3.833771826886609e-16,3.914835253393129e-13,5.737134356881223e-13,3.4090930570433594e-14,9.928789159786902e-14,3.2521084021310413e-15,3.590577881247261,94.7426883917543,1.6667337269983258,92.55041979144399,7.4495802085560685,92.55041979144397,7.449580208556068,94.21946029798998,5.733194811272898
0.44,7.88364931585288e-14,1.895504334939903e-16,6.354740456496965e-13,9.995740864260564e-14,1.8505341429156944e-13,1.0116359279336558e-16,3.952722313119693e-16,3.7961355781639616e-13,5.818868053127949e-13,3.771140744864712e-14,9.921177057783835e-14,3.3282294221617098e-15,3.672841196587224,94.60992004025246,1.7172387631601973,92.31221560750328,7.6877843924967895,92.31221560750326,7.687784392496789,94.13961129608494,5.811956157570793
0.45,7.521909112624227e-14,1.8084805716860833e-16,6.380043145941496e-13,9.995665877008258e-14,1.861347234539306e-13,1.0468835750627135e-16,4.071906409198381e-16,3.6788041002051347e-13,5.896443949090384e-13,4.1613071454272616e-14,9.913787638382463e-14,3.4021236161754322e-15,3.752876492056655,94.47863832490803,1.7684851830352006,92.07390778110218,7.926092218897891,92.07390778110216,7.926092218897889,94.0573979460698,5.893082787898698
0.46,7.180796622754914e-14,1.726420395517164e-16,6.403902730636404e-13,9.995593749349481e-14,1.8715350767058357e-13,1.0822558917530483e-16,4.1912991600473366e-16,3.5628316326386755e-13,5.969897372650874e-13,4.579337140614919e-14,9.906627193510424e-14,3.473728064895829e-15,3.8306014168242357,94.34900920545505,1.8203893777206068,91.83609560131941,8.163904398680666,91.8360956013194,8.163904398680664,93.97283314159993,5.976561835842348
0.47000000000000003,6.859085945302908e-14,1.6490836578816535e-16,6.426404769846174e-13,9.995524471134471e-14,1.8811349758682743e-13,1.1177417404343247e-16,4.310877243494623e-16,3.448242771893785e-13,6.039267173118761e-13,5.0246016046863644e-14,9.89970105481183e-14,3.5429894518817568e-15,3.905946989032843,94.22118487730643,1.87286813366061,91.59934576879022,8.400654231209852,91.5993457687902,8.40065423120985,93.88593619660676,6.0623740145220815
0.48,6.555626362191235e-14,1.5761410490937643e-16,6.447629651927893e-13,9.995458031076084e-14,1.8901819781530135e-13,1.153330703490654e-16,4.430618839773317e-16,3.335094295447002e-13,6.1045964949824e-13,5.4961057560849545e-14,9.893013660378995e-14,3.609863396210118e-15,3.978856329393421,94.09530472937993,1.925838941226538,91.36419163125814,8.635808368741936,91.36419163125812,8.635808368741934,93.79673246656576,6.150493995257568
0.49,6.269337720991731e-14,1.507164329225369e-16,6.46765293319373e-13,9.995394417304121e-14,1.8987090021179922e-13,1.1890130281544901e-16,4.550503501308718e-16,3.2234723656487207e-13,6.165933564572763e-13,5.992509313784126e-14,9.886568615998964e-14,3.6743138400104095e-15,4.049283478496434,93.97149623215773,1.9792202893457285,91.13113270696735,8.868867293032732,91.13113270696734,8.86886729303273,93.70525294097004,6.240890815026322
0.5,5.999205985217886e-14,1.4422239283215533e-16,6.48654505517678e-13,9.995333617878695e-14,1.9067469689817617e-13,1.2247795738297287e-16,4.670512029644129e-16,3.1134888323673273e-13,6.223332417152048e-13,6.512156253433067e-14,9.880368748626824e-14,3.736312513731812e-15,4.1171923434902915,93.8498757231289,2.032931933380709,90.90063448674093,9.099365513259166,90.90063448674091,9.099365513259164,93.6115338305005,6.333528289228866
0.51,5.744279170565413e-14,1.3809077943222745e-16,6.504372615784306e-13,9.995275621227728e-14,1.9143249191128372e-13,1.2606217646238783e-16,4.790626364592032e-16,3.005276460936771e-13,6.276853498292083e-13,7.053116555010246e-14,9.874416147298783e-14,3.795838527012223e-15,4.182555871221417,93.73054901276747,2.0868951160110085,90.6731286392284,9.326871360771703,90.67312863922838,9.326871360771701,93.51561615989027,6.428365418766269
0.52,5.503663595271078e-14,1.323013222591691e-16,6.521197940334881e-13,9.995220416521654e-14,1.921470124231208e-13,1.2965315461690772e-16,4.910829485872762e-16,2.898983485247418e-13,6.326564097310111e-13,7.61323636949907e-14,9.868712195074365e-14,3.852878049256413e-15,4.245355385533472,93.61361186059993,2.1410327538664937,90.44901349171838,9.550986508281708,90.44901349171836,9.550986508281708,93.41754536917692,6.525356788735623
0.53,5.2765203049778055e-14,1.2683887328342059e-16,6.537079491908243e-13,9.995167994008434e-14,1.9282081927948266e-13,1.3325013449459188e-16,5.031105320522508e-16,2.79476793157333e-13,6.37253859954404e-13,8.190192285836349e-14,9.863257597010064e-14,3.907424029899408e-15,4.305580002542929,93.4991503900663,2.1952696073906526,90.22865464549304,9.77134535450704,90.22865464549302,9.771345354507043,93.31737092052929,6.624452961554843
0.54,5.062061676866721e-14,1.216818222708114e-16,6.552072226382768e-13,9.995118345307686e-14,1.9345631704898603e-13,1.36852403020143e-16,5.151438657017564e-16,2.6927919974243293e-13,6.414858534801778e-13,8.7815470832686e-14,9.858052405529682e-14,3.959475944703225e-15,4.363226116306204,93.38724144894688,2.2495324347468104,90.01238570516641,9.98761429483367,90.0123857051664,9.98761429483367,93.21514591290321,6.725600862262426
0.55,4.8595482164445946e-14,1.1681539206924789e-16,6.566227684094088e-13,9.995071463665161e-14,1.9405576360293035e-13,1.404592878532867e-16,5.271815066404093e-16,2.593216631416294e-13,6.453612460204614e-13,9.384805127387555e-14,9.853096043596644e-14,4.009039564033606e-15,4.418296954881455,93.27795291634081,2.3037501287776436,89.80050911892641,10.199490881073661,89.8005091189264,10.199490881073661,93.11092670603838,6.828744154480306
0.56,4.668285570998612e-14,1.1220657265385118e-16,6.579594450408643e-13,9.995027344163634e-14,1.9462127899765042e-13,1.4407015414522354e-16,5.392220830633496e-16,2.496196538203013e-13,6.488895662741672e-13,9.997465317388199e-14,9.848387326835047e-14,4.056126731649574e-15,4.470802196607217,93.17134396689609,2.357853836496594,89.59329711706843,10.406702882931663,89.59329711706842,10.406702882931661,93.00477255716032,6.933823603676244
0.5700000000000001,4.4876217433450126e-14,1.0787507504553521e-16,6.592217639471885e-13,9.994985983891973e-14,1.9515485401593722e-13,1.4768440157699018e-16,5.512642878815016e-16,2.401875830858513e-13,6.520809669831033e-13,1.0617069478511046e-13,9.843924485406511e-14,4.1007551459349304e-15,4.5207576334563395,93.06746530353712,2.4117770630064417,89.39099272715404,10.60900727284605,89.39099272715403,10.609007272846048,92.89674527084837,7.0407774272646
0.58,4.316944465306988e-14,1.0374679749339935e-16,6.604140546654528e-13,9.994947382082275e-14,1.9565835772883652e-13,1.5130146161630016e-16,5.633068727079173e-16,2.3103843791012437e-13,6.549461640060526e-13,1.1241244995823893e-13,9.839705187441588e-14,4.1429481255841566e-15,4.568184851512931,92.96635938399349,2.4654557644934734,89.1938108246547,10.80618917534538,89.19381082465469,10.806189175345379,92.78690886137133,7.149541632243322
