t,FBP,G6P_F6P,DHAP_G3P
0.0,0.00063612,3.71728,0.00262966
0.01,0.0006362392636926895,3.717454222874944,0.002630103610676572
0.02,0.0006363585303957204,3.7176284200803016,0.0026305473452960717
0.03,0.0006364778015653921,3.717802591615033,0.0026309911896967575
0.04,0.0006365970784991867,3.717976737477894,0.002631435131506864
0.05,0.0006367163627988592,3.7181508576664193,0.0026318791561369737
0.06,0.0006368356549048606,3.718324952179902,0.0026323232595962987
0.07,0.0006369549548171908,3.7184990210183413,0.0026327674418848398
0.08,0.0006370742632765633,3.7186730641802286,0.0026332116963246046
0.09,0.0006371935819640041,3.718847081662138,0.0026336560077600906
0.1,0.0006373129109442069,3.719021073463938,0.0026341003756080446
0.11,0.0006374322502483772,3.719195039585509,0.0026345447996087025
0.12,0.000637551600851348,3.7193689800231318,0.002634989271647246
0.13,0.0006376709632160053,3.71954289477504,0.0026354337878704676
0.14,0.0006377903373423489,3.7197167838412337,0.0026358783482783674
0.15,0.0006379097233822939,3.719890647220503,0.0026363229518348995
0.16,0.0006380291218769351,3.7200644849085363,0.002636767594849852
0.17,0.0006381485328741866,3.7202382969049532,0.002637212276996454
0.18,0.0006382679563802994,3.7204120832096628,0.0026376569982402625
0.19,0.000638387392662009,3.720585843818812,0.002638101757111533
0.2,0.0006385068418608306,3.720759578730356,0.0026385465528304996
0.21,0.0006386263039767642,3.7209332879442956,0.002638991385397163
0.22,0.0006387457790788509,3.721106971459115,0.002639436254461494
0.23,0.0006388652673624571,3.721280629270528,0.0026398811590330165
0.24,0.0006389847688394434,3.7214542613782733,0.0026403260990515982
0.25,0.0006391042835149334,3.7216278677821877,0.002640771074493782
0.26,0.0006392238115100693,3.721801448478389,0.00264121608480495
0.27,0.0006393433528760716,3.7219750034652357,0.002641661129750603
0.28,0.0006394629076158257,3.7221485327425596,0.002642106209322983
0.29,0.0006395824757920175,3.7223220363067093,0.0026425513233535474
0.3,0.0006397020574301407,3.7224955141561984,0.0026429964717737523
0.31,0.0006398216525325106,3.7226689662908434,0.002643441654578681
0.32,0.000639941261145514,3.7228423927069536,0.0026438868716698464
0.33,0.0006400608832872966,3.723015793403085,0.0026443321230087214
0.34,0.000640180518959662,3.723189168379038,0.002644777408592603
0.35000000000000003,0.0006403001681960447,3.7233625176311014,0.0026452227283713715
0.36,0.0006404198310090242,3.7235358411578803,0.002645668082326171
0.37,0.0006405395074001824,3.7237091389591166,0.002646113470456508
0.38,0.0006406591973927663,3.72388241103103,0.002646558892755134
0.39,0.0006407789009944794,3.7240556573723667,0.0026470043492196472
0.4,0.0006408986182067137,3.7242288779828043,0.0026474498398512463
0.41000000000000003,0.0006410183490460902,3.7244020728584912,0.002647895364664239
0.42,0.0006411380935174523,3.724575241998305,0.0026483409236627937
0.43,0.0006412578516195385,3.724748385401023,0.002648786516866795
0.44,0.0006413776233398833,3.724921503054563,0.002649232144472739
0.45,0.0006414974086753012,3.7250945949558374,0.0026496778065308456
0.46,0.000641617207625792,3.725267661104846,0.0026501235030411147
0.47000000000000003,0.0006417370201913559,3.7254407015015887,0.0026505692340035463
0.48,0.0006418568463719928,3.725613716146065,0.0026510149994181404
0.49,0.0006419766861677027,3.725786705038276,0.0026514607992848965
0.5,0.0006420965395784855,3.725959668178221,0.002651906633603815
0.51,0.0006422164066043415,3.7261326055659003,0.002652352502374896
0.52,0.0006423362872452704,3.7263055172013138,0.0026527984055981398
0.53,0.0006424561815012723,3.726478403084461,0.0026532443432735454
0.54,0.0006425760893723473,3.726651263215343,0.002653690315401114
0.55,0.0006426960108584952,3.7268240975939584,0.0026541363219808444
0.56,0.0006428159459597161,3.7269969062203083,0.0026545823630127374
0.5700000000000001,0.0006429358946760101,3.7271696890943926,0.002655028438496793
0.58,0.0006430558570072847,3.7273424462161624,0.0026554745484351334
0.59,0.0006431758329244581,3.727515177570333,0.0026559206934960874
0.6,0.0006432958224043895,3.7276878831447418,0.0026563668742114513
0.61,0.000643415825447079,3.727860562939389,0.002656813090581226
0.62,0.0006435358420525264,3.7280332169542745,0.002657259342605411
0.63,0.0006436558722207319,3.7282058451893985,0.0026577056302840066
0.64,0.0006437759159516954,3.7283784476447606,0.0026581519536170127
0.65,0.0006438959732454169,3.7285510243203612,0.002658598312604429
0.66,0.0006440160441018964,3.7287235752162005,0.0026590447072462556
0.67,0.0006441361285211339,3.728896100332278,0.002659491137542493
0.68,0.0006442562265031295,3.7290685996685937,0.0026599376034931407
0.6900000000000001,0.000644376338047883,3.7292410732251478,0.0026603841050981993
0.7000000000000001,0.0006444964631553946,3.7294135210019403,0.002660830642357668
0.71,0.0006446166018256642,3.729585942998971,0.0026612772152715468
0.72,0.0006447367540586918,3.7297583392162403,0.0026617238238398366
0.73,0.0006448569198544774,3.7299307096537477,0.0026621704680625364
0.74,0.0006449770991756479,3.7301030543041014,0.002662617148772074
0.75,0.0006450972919253012,3.730275373148135,0.002663063868126786
0.76,0.0006452174980984607,3.730447666184864,0.0026635106262375197
0.77,0.0006453377176951263,3.730619933414288,0.0026639574231042767
0.78,0.000645457950715298,3.7307921748364077,0.002664404258727056
0.79,0.0006455781971589758,3.7309643904512226,0.0026648511331058577
