t,a_CyclinE_Cdk2,i_CyclinE_Cdk2,pRB_E2F,E2F,pRB,CycD_Cdk4,p27,CycE_Cdk2_p27,CycD_Cdk4_p27,p16,pRB_P
0.0,0.0,0.01,1.95,0.0,0.05,0.0,5.0,1.0,0.0,5.0,0.01
0.01,0.0003313797144717081,0.009999620425971871,1.9500088554669328,-8.844734211127756e-06,0.050151765547073776,0.00016099394420704196,5.000266979998335,0.9996669344751897,2.0891983692605179e-07,4.997086735712402,0.010001044529702838
0.02,0.0006281346975880629,0.010002264281489016,1.9500156910545818,-1.5668348465046216e-05,0.0503035289429949,0.00028925419016580717,5.000470728441044,0.9993653590160567,7.778803379743526e-07,4.99415122320926,0.01000410891783303
0.03,0.000893883078781777,0.010007629347469056,1.9500208534547392,-2.0817827864779873e-05,0.05045529029871283,0.0003914730438660727,5.000617889667126,0.9990919831861285,1.6335685899836168e-06,4.9911986351764,0.010008846454162747
0.04,0.0011318613039560652,0.010015443630232558,1.9500246241562056,-2.457490400605714e-05,0.05060704970125679,0.0004729572554466337,5.000714399806618,0.9988438636029461,2.7178138957813953e-06,4.9882330722148005,0.010014975634629728
0.05,0.0013449679903725202,0.010025462233667149,1.9500272328137247,-2.716943380607561e-05,0.050758807218821866,0.0005379269143798542,5.0007655696435585,0.9986183640758444,3.984329073646009e-06,4.98525779420996,0.010022266791781186
0.06,0.001535802813247257,0.010037464522258963,1.9500288680076678,-2.879016720035527e-05,0.050910562904845476,0.0005897543982418724,5.000776157815431,0.9984131202566648,5.396103123369113e-06,4.98227540527423,0.010030531334586857
0.07,0.0017066937943140525,0.010051252097242823,1.9500296842574305,-2.9591765789874155e-05,0.05106231680065312,0.0006311193513782783,5.000750422042714,0.9982260148330777,6.923710343460493e-06,4.979287973708318,0.010039614734710694
0.08,0.001859724285120874,0.01006664675916924,1.9500298083078171,-2.9701093965223774e-05,0.05121406893781782,0.0006641464091098905,5.0006921696234485,0.9980551529967854,8.54380560545964e-06,4.976297138575243,0.010049390239829181
0.09,0.0019967582371342757,0.010083488560366165,1.9500293443397985,-2.9222433632938157e-05,0.05136581934010109,0.0006905180613132364,5.000604804550675,0.9978988394675194,1.023788992558579e-05,4.973304197017974,0.010059753662624573
0.1,0.0021194745815657817,0.010101633162792773,1.9500283812014756,-2.8244720676783745e-05,0.05151756802614899,0.0007116316436763827,5.0004913916500975,0.997755547235177,1.19905946228591e-05,4.970310225736278,0.010070616149475764
0.11,0.002229367355375926,0.0101209516633158,1.9500269896893596,-2.6838824346225805e-05,0.05166931500840603,0.0007285349233582991,5.000354656113,0.997623917441141,1.3790385561520048e-05,4.967316031162479,0.010081906899295797
0.12,0.0023277766999594764,0.010141328234184968,1.950025229398314,-2.506440238459695e-05,0.05182106029568082,0.0007420752635172212,5.000197041414952,0.9975027311931485,1.56279301107251e-05,4.964322264831438,0.010093566313265223
0.13,0.0024159043825453265,0.010162658866038924,1.9500231508779602,-2.2972059147749655e-05,0.05197280389392285,0.0007529441020976126,5.00002073799168,0.9973908954502986,1.7495608980529644e-05,4.961329457765251,0.010105543838319162
0.14,0.0024948255359883986,0.010184850358540422,1.9500207963032312,-2.06040167841246e-05,0.052124545806425844,0.0007616879276482581,4.999827704681503,0.9972874323460499,1.9387395849905012e-05,4.9583380289651675,0.010117797296552449
0.15,0.00256550289816478,0.010207819120946052,1.9500182007227276,-1.7995364643158848e-05,0.052276286034247256,0.0007687319823845987,4.999619694843166,0.997191466239095,2.1298598995270897e-05,4.955348303770601,0.010130291636799607
0.16,0.002628798754681748,0.010231490230578882,1.9500153941005047,-1.5176102654409267e-05,0.05242802457696091,0.0007744233610626138,4.999398278521252,0.9971022128519084,2.32253863015165e-05,4.952360547137177,0.010142996892745584
