t,V,Na_i,m,h,j,K_i,oa,oi,ua,ui,xr,xs,Ca_i,d,f,f_Ca,Ca_rel,u,v,w,Ca_up
0.0,-81.18,11.17,0.002908,0.9649,0.9775,139.0,0.03043,0.9992,0.004966,0.9986,3.296e-05,0.01869,0.0001013,0.0001367,0.9996,0.7755,1.488,2.35e-112,1.0,0.9992,1.488
0.01,-81.18000454161312,11.169999998715973,0.0029085731732541565,0.9649000372273423,0.9774999942135654,139.00000000070324,0.030430031082013996,0.9992000336556073,0.0049660043892441625,0.9986000000101871,3.296000037576941e-05,0.01869000008528538,0.0001013000014489062,0.00013670028527563,0.9995999988997983,0.7755001862108081,1.487999999999993,2.3500290667230687e-112,1.0,0.9991999350619467,1.487999999365549
0.02,-81.18000908098315,11.169999997432024,0.00290872541495555,0.9649000744505757,0.977499988440503,139.0000000014066,0.030430061951724603,0.9992000672851655,0.004966008741606333,0.9986000000203746,3.296000075007731e-05,0.018690000170327695,0.00010130000289765706,0.00013670056162494793,0.9995999977996278,0.775500371480513,1.4879999999999722,2.3500580948410057e-112,1.0,0.9991998729609658,1.4879999987311672
0.03,-81.18001361817946,11.16999999614815,0.002908767495143694,0.9649001116696792,0.9774999826808018,139.00000000211006,0.030430092610303782,0.9992001008886949,0.004966013057292776,0.9986000000305626,3.296000112292446e-05,0.018690000255127057,0.00010130000434625224,0.00013670082926618815,0.9995999966994882,0.7755005558137605,1.4879999999999374,2.3500870843335887e-112,1.0,0.9991998135747744,1.4879999980968543
0.04,-81.1800181532212,11.169999994864344,0.0029087781779166505,0.964900148884632,0.9774999769344509,139.00000000281364,0.030430123058928973,0.9992001344662158,0.004966017336510664,0.998600000040751,3.296000149431165e-05,0.018690000339683602,0.00010130000579469137,0.0001367010884145055,0.9995999955993798,0.775500739215222,1.4879999999998885,2.350116035182068e-112,1.0,0.9991997567851107,1.4879999974626106
0.05,-81.18002268611541,11.169999993580612,0.002908779725739507,0.9649001860954136,0.9774999712014389,139.00000000351733,0.030430153298774115,0.9992001680177482,0.004966021579466546,0.9986000000509401,3.296000186423965e-05,0.018690000423997453,0.00010130000724297413,0.00013670133928029397,0.9995999944993026,0.7755009216895574,1.4879999999998257,2.350144947369348e-112,1.0,0.9991997024785826,1.4879999968284359
0.06,-81.18002721686562,11.16999999229695,0.002908778634723079,0.9649002233020036,0.977499965481755,139.00000000422116,0.030430183331002753,0.9992002015433128,0.0049660257863651325,0.9986000000611295,3.296000223270922e-05,0.01869000050806875,0.0001013000086911002,0.00013670158206807086,0.9995999933992563,0.7755011032413882,1.487999999999749,2.35017382088005e-112,1.0,0.9991996505471102,1.48799999619433
0.07,-81.1800317454744,11.16999999101336,0.002908776778004463,0.9649002605043816,0.9774999597753883,139.00000000492508,0.030430213156771666,0.9992002350429295,0.004966029957409939,0.9986000000713194,3.296000259972115e-05,0.018690000591897613,0.00010130001013906925,0.00013670181697726915,0.9995999922992412,0.775501283875311,1.4879999999996585,2.3502026557004087e-112,1.0,0.9991996008873434,1.4879999955602934
0.08,-81.18003627194427,11.16999998972984,0.0029087747045951195,0.9649002977025238,0.9774999540823257,139.00000000562915,0.030430242777422793,0.999200268516622,0.004966034092837056,0.9986000000815098,3.296000296527633e-05,0.018690000675484195,0.00010130001158688095,0.00013670204423234348,0.9995999911992572,0.7755014635966633,1.487999999999554,2.3502314518171823e-112,1.0,0.9991995533863502,1.4879999949263258
0.09,-81.18004079628504,11.169999988446392,0.002908772636070721,0.9649003348963322,0.977499948402514,139.00000000633332,0.03043027219847466,0.9992003019644891,0.004966038193617324,0.9986000000917007,3.296000332937851e-05,0.018690000758829126,0.00010130001303453396,0.00013670226470345286,0.9995999900993043,0.7755016424274276,1.4879999999994356,2.3502602091969665e-112,1.0,0.9991995076309153,1.4879999942924274
0.1,-81.18004531849135,11.169999987163015,0.0029087705241595953,0.9649003720858607,0.9774999427359824,139.0000000070376,0.030430301416901673,0.9992003353864762,0.0049660422592184734,0.9986000001018921,3.2960003692025624e-05,0.018690000841932057,0.000101300014482029,0.00013670247791863335,0.9995999889993825,0.7755018203555482,1.487999999999303,2.350288927856035e-112,1.0,0.9991994638427091,1.4879999936585977
0.11,-81.18004983856324,11.16999998587971,0.002908768368861743,0.9649004092711091,0.9774999370827311,139.00000000774202,0.030430330432703823,0.9992003687825838,0.004966046289640502,0.998600000112084,3.296000405321768e-05,0.018690000924792994,0.00010130001592936608,0.0001367026838778849,0.9995999878994918,0.775501997381025,1.4879999999991569,2.3503176077943867e-112,1.0,0.9991994220217317,1.4879999930248373
0.12,-81.18005435650068,11.169999984596476,0.0029087661701771637,0.9649004464520776,0.9774999314427599,139.00000000844653,0.030430359245881115,0.9992004021528115,0.004966050284883409,0.9986000001222765,3.296000441295467e-05,0.01869000100741193,0.0001013000173765452,0.00013670288258120755,0.9995999867996321,0.7755021735038581,1.4879999999989966,2.3503462490120223e-112,1.0,0.9991993821679833,1.4879999923911458
0.13,-81.18005887231365,11.169999983313312,0.0029087639825805278,0.9649004836286639,0.977499925816013,139.00000000915117,0.030430387862151607,0.9992004354972628,0.004966054245953113,0.9986000001324693,3.296000477124053e-05,0.018690001089789528,0.00010130001882356503,0.00013670307489217157,0.9995999856998036,0.7755023487468521,1.4879999999988225,2.350374851489684e-112,1.0,0.9991993438879353,1.487999991757523
0.14,-81.18006338600489,11.16999998203022,0.0029087618210517046,0.9649005208008397,0.9774999202024749,139.00000000985594,0.03043041628308769,0.999200468815966,0.004966058173126228,0.9986000001426627,3.296000512807633e-05,0.01869000117192597,0.00010130002027042521,0.00013670326104824827,0.999599984600006,0.7755025231162779,1.4879999999986344,2.3504034152220775e-112,1.0,0.9991993070733722,1.4879999911239696
0.15,-81.18006789756855,11.169999980747198,0.0029087596535604535,0.9649005579686651,0.9774999146021786,139.0000000105608,0.030430444505327243,0.9992005021088605,0.004966062065811292,0.9986000001528565,3.296000548345978e-05,0.01869000125382087,0.00010130002171712653,0.000136703440541672,0.9995999835002395,0.7755026965987267,1.4879999999984326,2.350431940220525e-112,1.0,0.9991992719556826,1.487999990490485
0.16,-81.18007240700463,11.169999979464247,0.0029087574801067747,0.9649005951321404,0.977499909015124,139.0000000112658,0.030430472528870264,0.9992005353759461,0.004966065924008304,0.9986000001630508,3.2960005837390856e-05,0.01869000133547422,0.00010130002316366899,0.0001367036133724428,0.9995999824005041,0.7755028691941986,1.4879999999982165,2.350460426485026e-112,1.0,0.9991992385348663,1.4879999898570693
