t,M,FN,FC
0.0,0.1,0.1,0.1
0.01,0.11510458413381888,0.09988685264188765,0.09465818194808867
0.02,0.13010865337373864,0.09974846806368026,0.0896042250460114
0.03,0.14501759447105336,0.09958642982190342,0.08483398814005624
0.04,0.15983631538055407,0.0994022793925499,0.08034270125269857
0.05,0.1745693358442782,0.09919752648827954,0.07612492992406975
0.06,0.1892208208343907,0.09897364261786405,0.07217459218399222
0.07,0.20379462311987093,0.09873205869271856,0.06848499591691268
0.08,0.218294318879127,0.09847416277301448,0.06504888072878902
0.09,0.23272322782971175,0.09820129673337355,0.06185845342926621
0.1,0.24708443623840798,0.09791475463678058,0.05890544156278741
0.11,0.26138082447891003,0.0976157802529272,0.05618116939406126
0.12,0.2756150809924603,0.09730556597655375,0.05367662103815548
0.13,0.2897897264815082,0.09698525094063225,0.05138252752671093
0.14,0.30390711772678825,0.09665592133678677,0.049289424819576134
0.15,0.31796946868235043,0.09631860922516369,0.047387744533635194
0.16,0.331978860731209,0.09597429261933003,0.045667886368002536
0.17,0.34593725316944224,0.09562389591561117,0.04412029038311112
0.18,0.3598464928520315,0.0952682906002512,0.0427355024504088
0.19,0.37370832265851844,0.09490829630328924,0.04150423345142812
0.2,0.3875243903157791,0.09454468175164367,0.04041742011844598
0.21,0.40129625490019705,0.09417816650532557,0.0394662653244482
0.22,0.4150253923945259,0.09380942298548606,0.03864227353672515
0.23,0.4287132030754528,0.09343907783174978,0.03793728993084788
0.24,0.4423610154842387,0.09306771438378227,0.037343513040459256
0.25,0.4559700925824077,0.09269587433904863,0.036853524278510866
0.26,0.46954163492863626,0.09232406029298419,0.036460283129426
0.27,0.4830767859984779,0.09195273757748701,0.036157147903795143
0.28,0.49657663474258834,0.09158233670825584,0.03593785834586346
0.29,0.5100422201883197,0.09121325534754267,0.03579654797129751
0.3,0.5234745333451163,0.09084586040430487,0.035727719868808246
0.31,0.5368745215700153,0.09048049042969257,0.03572624655401916
0.32,0.5502430900213948,0.09011745713405754,0.03578735035498762
0.33,0.5635811045934763,0.08975704675830529,0.03590661270688645
0.34,0.5768893946469621,0.0893995236800899,0.03607990983331318
0.35000000000000003,0.5901687533891052,0.08904512982109365,0.03630343623684072
0.36,0.6034199427437994,0.08869408834997963,0.036573671934798956
0.37,0.6166436927231783,0.08834660361056404,0.036887372822250616
0.38,0.6298407043309108,0.0880028634396797,0.03724154680330415
0.39,0.6430116510596224,0.0876630404097804,0.03763343673414231
0.4,0.6561571795239195,0.08732729235645528,0.03806051423539101
0.41000000000000003,0.669277912511916,0.08699576491004095,0.03852044546425164
0.42,0.682374447977773,0.08666859065432038,0.03901110189711864
0.43,0.6954473626731522,0.0863458921234916,0.03953051862412162
0.44,0.7084972112316498,0.08602778105181359,0.040076905413016596
0.45,0.7215245279730342,0.08571435983095538,0.04064862317718858
0.46,0.7345298291518509,0.08540572337504208,0.04124415908081734
0.47000000000000003,0.7475136136011511,0.0851019595486551,0.041862120119350796
0.48,0.7604763604179765,0.0848031469467553,0.04250125930705825
0.49,0.7734185325746654,0.0845093580529316,0.043160433522883644
0.5,0.7863405780349468,0.08422066025359176,0.04383858892770437
0.51,0.7992429296991039,0.0839371155453371,0.04453476301270435
0.52,0.8121260057097959,0.08365878058541262,0.04524808268727877
0.53,0.8249902106428334,0.0833857076953078,0.04597774973928495
0.54,0.8378359359129104,0.0831179449996317,0.046723038032679
0.55,0.8506635604601958,0.08285553693601264,0.047483285454360216
0.56,0.8634734511471771,0.08259852450022058,0.04825789008482479
0.5700000000000001,0.8762659634225021,0.08234694564689711,0.049046303606108115
0.58,0.8890414416677147,0.0821008354120449,0.04984802914875157
0.59,0.9018002197648501,0.08186022630165102,0.050662615172813744
0.6,0.9145426214047013,0.08162514841395635,0.05148965349916679
0.61,0.9272689607710481,0.08139562988308946,0.0523287720655648
0.62,0.939979542701264,0.08117169687488271,0.05317963503445372
0.63,0.9526746629170817,0.08095337364189623,0.054041941924941474
0.64,0.96535460880657,0.0807406830630864,0.05491541885240174
0.65,0.9780196594003083,0.0805336464926142,0.055799821073269154
0.66,0.9906700857577897,0.08033228395345454,0.056694929865409624
0.67,1.0033061514956292,0.08013661444860562,0.05760054746996066
0.68,1.0159281127483635,0.07994665582430169,0.05851649946012522
0.6900000000000001,1.0285362186297424,0.07976242501927946,0.0594426306920781
0.7000000000000001,1.0411307115782134,0.0795839382265722,0.060378802704541004
0.71,1.0537118273352994,0.07941121078110365,0.06132489562670118
0.72,1.066279795421687,0.07924425741679299,0.062280804034768385
