t,Py,Py1,Dw,Qw2,Qw1,Rw,Mw,Px,Px1,Dz,Qz4,Qz2,Qz1,Rz,Qz3,Qz5,Mz
0.0,25.0,0.0,4.0,0.0,0.0,50.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
0.01,23.92150421717993,1.0573150968331397,3.939164997666867,0.021180685986935448,0.03965431634619801,49.96034568365381,0.0,24.986866816203886,0.0006819798567428522,3.9874491030684966,0.012450241382786035,3.3913360043319857e-07,9.969299213485856e-05,49.999899683584886,2.0929784943223398e-10,6.232136838256444e-07,0.0
0.02,22.889625859626715,2.029363602970703,3.8406305661535556,0.08101053740259126,0.07835889644385392,49.92164110355616,0.0,24.973890901531398,0.0013629298564353121,3.9750550555734208,0.024742338998450353,1.3481507364377442e-06,0.00019877581441812522,49.99979874272261,1.66537322718518e-09,2.479797600899898e-06,0.0
0.03,21.902346617322095,2.9240623367999903,3.7106350680294327,0.1735910458779287,0.11577388609263943,49.884226113907374,0.0,24.961070231583115,0.0020428654388434248,3.9628158428372053,0.036878332365192806,3.014658706280117e-06,0.0002972541847551986,49.99969718986111,5.590416175065169e-09,5.550363723416512e-06,0.0
0.04,20.95773595103404,3.74937645272109,3.555488251945078,0.2928875962448867,0.15162415181003625,49.84837584818998,0.0,24.948402808975903,0.0027218017754492693,3.9507294769973567,0.048860233779489094,5.326504489872651e-06,0.00039513375399544343,49.99959503728134,1.3180280760080156e-08,9.815784387247009e-06,0.0
0.05,20.05394730030452,4.513020338298995,3.3812697319416443,0.43303236139649764,0.18569790666185923,49.814302093338156,0.0,24.93588666296443,0.003399753774305237,3.9387939966319507,0.060690028697303944,8.271770101999605e-06,0.0004924201067819945,49.999492297099366,2.5605000092242348e-08,1.5257188859861145e-05,0.0
0.06,19.189214428577905,5.222247451041717,3.1936190558436985,0.5885381203803927,0.2178428237759103,49.7821571762241,0.0,24.923519849063606,0.0040767360848319835,3.927007466386033,0.07236967611434655,1.1838768009943801e-05,0.0005891187624049222,49.999388981268396,4.400929367325753e-08,2.1855959910380336e-05,0.0
0.07,18.3618479107786,5.883717502558111,2.9976048926939987,0.7544345866633038,0.24796052064269866,49.752039479357315,0.0,24.91130044867693,0.0047527631025246824,3.9153679766038154,0.08390110894040606,1.6016036642482092e-05,0.0006852351756426273,49.99928510158087,6.951306486404407e-08,2.9593730427440353e-05,0.0
0.08,17.5702317637978,6.50342643504016,2.7976580623275398,0.9263418011620543,0.2760001365104067,49.72399986348961,0.0,24.89922656873061,0.005427848973569173,3.903873642966592,0.09528623436785447,2.079233598858854e-05,0.0007807747375916071,49.99918066967044,1.0321188863813451e-07,3.84523800842784e-05,0.0
0.09,16.81282021834449,7.08668400114146,2.5975526546856402,1.1004957805140645,0.3019515648002964,49.69804843519972,0.0,24.88729634131337,0.006102007599370033,3.8925226061362603,0.10652693423443038,2.615664328380509e-05,0.0008757427764847888,49.99907569701398,1.4617748982972846e-07,4.841403205025106e-05,0.0
