t,cyclin_CDK_active,cyclin,cyclin_CDK_inactive,APC,wee1,Cdc25_2P,CKI,cyclin_CDK_CKI,cyclin_CDK_CKI_P,Cdc25,Cdc25_P,wee1_P
0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.08974652010309601,2.5892531067285245,0.44347566158596574,2.245203347527979e-07,0.09940898231884365,5.883519951416897e-07,0.0,0.0,0.0,0.9940898084450194,0.0009262282696929036,9.268018782708947e-05
0.02,0.08107241015405565,4.576970447513294,1.2749315672304824,4.062251168717303e-07,0.1976686840201837,4.174291796658185e-06,0.0,0.0,0.0,1.9766866308822668,0.0034418641340832924,0.0003445829106309756
0.03,0.07415850012310292,6.232913084963426,2.346894292142888,5.561049677659038e-07,0.29482117720403883,1.2577041520532213e-05,0.0,0.0,0.0,2.9482108278349037,0.007223240256596845,0.0007234873092632941
0.04,0.06898869214499084,7.701467321217005,3.5274210267938684,6.834344834668234e-07,0.39089985788107356,2.681878799906857e-05,0.0,0.0,0.0,3.908995906935182,0.012033359028497937,0.0012057505940943698
0.05,0.06545211434379845,9.059593526459539,4.746737366655902,7.956602793824943e-07,0.48593079012302787,4.751103560011534e-05,0.0,0.0,0.0,4.859302029681245,0.017708009195914174,0.0017749648682480813
0.06,0.06339720846904709,10.348238101572973,5.968283187371813,8.986911883558616e-07,0.5799341560494778,7.510341909590276e-05,0.0,0.0,0.0,5.799330540086316,0.024140998054035995,0.00242050810646681
0.07,0.06265990214042101,11.589180474929886,7.173175776977207,9.97279420053612e-07,0.6729255927057232,0.00011003388150217897,0.0,0.0,0.0,6.7292373407534,0.03127063475475134,0.0031362082332420495
0.08,0.06307793522131193,12.794020549153647,8.351918738963834,1.0953677806995013e-06,0.7649173421279389,0.00015281333995468242,0.0,0.0,0.0,7.64914438926068,0.039068158720416586,0.003919194004166045
0.09,0.0644978328325519,13.96896016544698,9.499989906231425,1.1963637464061155e-06,0.8559192040542808,0.00020406868905256648,0.0,0.0,0.0,8.559149215629757,0.04752818854315144,0.00476894323191515
0.1,0.06677799749941786,15.117343663350056,10.615496362615529,1.3033375142741837e-06,0.9459393059180111,0.00026455997470197314,0.0,0.0,0.0,9.459332610919812,0.056661025494462156,0.0056865137208864935
0.11,0.06978977073712704,16.24100686414947,11.697928755969823,1.4191546837869406e-06,1.0349847130061718,0.0003351817547247112,0.0,0.0,0.0,10.349764717879914,0.06648657069761861,0.006673934027054326
