t,T,VI,T_,VNI,Cc
0.0,1000000.0,1.0,1.0,2.0,0.0
0.01,999999.9997668372,0.923029076904241,1.000413420444302,1.6839536472313126,1.4598901828763614e-06
0.02,999999.9995598696,0.8015342774254438,1.000763123330881,1.493268311341818,2.6296569906612948e-06
0.03,999999.9993815614,0.6870344965022881,1.0010453707812714,1.3598006602393347,3.549378578164327e-06
0.04,999999.999228997,0.5875774379338552,1.0012680231788764,1.2622952153936584,4.259123840541038e-06
0.05,999999.999098418,0.5038125280900846,1.001440434969585,1.1896105277898699,4.793106326578646e-06
0.06,999999.998986198,0.4343965928687408,1.001571351749249,1.1347555436900614,5.180508512563731e-06
0.07,999999.9988891105,0.3774754251123361,1.0016683866650338,1.0929644770638787,5.446185715260328e-06
0.08,999999.9988043815,0.3311855329420309,1.0017379649911164,1.060842562352431,5.611291365711813e-06
0.09,999999.9987296661,0.29383117558612354,1.0017854234753347,1.0359089919352624,5.693792864486996e-06
0.1,999999.9986630001,0.26393729476609,1.0018151549027485,1.0163214879159133,5.7089182655998545e-06
0.11,999999.9986027475,0.24024737993955977,1.0018307557275867,1.0007017162774963,5.6723903442768246e-06
0.12,999999.9985475506,0.22168493871904635,1.001835155946168,0.9880334219622274,5.606498889299337e-06
0.13,999999.9984963008,0.20723753878822254,1.001830707901151,0.977666868562202,5.545182066102983e-06
0.14,999999.9984481167,0.1960540674308618,1.0018192535505506,0.9691329769494393,5.48451976915283e-06
0.15,999999.9984022978,0.18746605219436482,1.0018022341963457,0.9620516731761886,5.4245208668128946e-06
0.16,999999.9983582875,0.18094239455421132,1.0017807779335468,0.9561211926282208,5.365178150804561e-06
0.17,999999.9983156426,0.17606117538818541,1.0017557672455637,0.9511019701865909,5.306484619495795e-06
0.18,999999.9982740105,0.1724871852033486,1.0017278921964006,0.946803797113859,5.248433168979657e-06
0.19,999999.9982331108,0.1699541269591221,1.0016976919921434,0.9430756655939746,5.1910167933424065e-06
0.2,999999.9981927195,0.16825042188232486,1.0016655877101108,0.9397976666029945,5.134228505721228e-06
0.21,999999.998152659,0.1672079973447426,1.0016319077901301,0.9368745992906469,5.078061482825672e-06
0.22,999999.998112787,0.1666933277607637,1.0015969081406833,0.934230870505431,5.0225089034876e-06
0.23,999999.99807299,0.16660033826917806,1.0015607878467059,0.9318064540878631,4.9675640569459e-06
0.24,999999.9980331772,0.16684476461601058,1.0015237014838125,0.9295536846586183,4.913220290930999e-06
0.25,999999.9979932761,0.16735966421604456,1.001485768787517,0.9274347066422794,4.859471030188199e-06
0.26,999999.9979532285,0.16809185864573256,1.0014470822104367,0.9254194543114986,4.806309772074968e-06
0.27,999999.9979129875,0.16899911092032807,1.0014077128318692,0.9234840504422497,4.753730082951805e-06
0.28,999999.997872515,0.17004786941070688,1.0013677150207698,0.9216095271244847,4.7017256009730265e-06
0.29,999999.9978317807,0.1712114814482257,1.0013271300737174,0.9197808137449909,4.650290033688167e-06
0.3,999999.9977907597,0.17246878081191347,1.0012859890508345,0.91798593737263,4.599417157103292e-06
0.31,999999.9977494314,0.1738029607168813,1.001244315007807,0.9162153851561842,4.5491008155794166e-06
0.32,999999.9977077792,0.1752006728057188,1.0012021247551204,0.914461594945549,4.499334920840871e-06
0.33,999999.9976657891,0.17665131528323097,1.001159430229145,0.9127185531513005,4.45011345112176e-06
0.34,999999.9976234497,0.17814647309993262,1.0011162395519633,0.9109814787147599,4.401430450544424e-06
0.35000000000000003,999999.997580751,0.17967946924109934,1.0010725578708453,0.9092465699536171,4.353280028422912e-06
0.36,999999.9975376847,0.18124500299316654,1.001028388026958,0.9075108006144241,4.305656358503022e-06
0.37,999999.9974942436,0.18283886505315816,1.000983731072973,0.9057717593670606,4.2585536782548545e-06
0.38,999999.9974504211,0.18445771663907784,1.0009385866684462,0.9040275254542338,4.2119662881942214e-06
0.39,999999.9974062119,0.18609891220439123,1.000892953393781,0.9022765689474784,4.165888551193232e-06
0.4,999999.9973616108,0.18776035488318166,1.0008468290034456,0.9005176694631566,4.120314891791371e-06
0.41000000000000003,999999.9973166131,0.18944038275269776,1.0008002106215463,0.8987498522560385,4.075239795519673e-06
0.42,999999.9972712146,0.19113767767956966,1.000753094897997,0.8969723370406781,4.0306578082350335e-06
0.43,999999.9972254115,0.19285119590807992,1.0007054781251685,0.8951844990570913,3.986563535462193e-06
0.44,999999.9971791998,0.1945801127576869,1.000657356329628,0.8933858380731547,3.942951641740907e-06
0.45,999999.9971325761,0.19632377702538126,1.0006087253477398,0.8915759528408638,3.899816849979289e-06
0.46,999999.9970855367,0.19808167429747142,1.0005595808864447,0.8897545205603843,3.857153940814978e-06
0.47000000000000003,999999.9970380786,0.19985339954150586,1.00050991856852,0.8879212815605848,3.814957751984989e-06
0.48,999999.9969901984,0.20163863140883853,1.0004597339746466,0.8860760249370411,3.773223177698585e-06
0.49,999999.9969418929,0.20343711572134496,1.0004090226703808,0.8842185793494183,3.7319451680201456e-06
