t,R,RI,O,I
0.0,1.0,1.0,1.0,1.0
0.01,1.0006493449981972,1.0005502881335693,0.99944965250213,0.9993507143661038
0.02,1.0012983870514032,1.0011001596357352,0.9988996029499988,0.9987018503628635
0.03,1.0019471263117123,1.001649614769767,0.9983498511917551,0.9980534077267661
0.04,1.0025955629544931,1.002198653839144,0.9978003970523107,0.9974053861540527
0.05,1.0032436970724414,1.0027472770038262,0.9972512404391193,0.9967577854846139
0.06,1.0038915288411323,1.0032954845674582,0.9967023811768871,0.9961106054145232
0.07,1.004539058426222,1.003843276816645,0.996153819100223,0.9954638456569108
0.08,1.0051862859933667,1.0043906540379917,0.9956055540437359,0.9948175059249066
0.09,1.005833211708223,1.004937616518103,0.9950575858420341,0.9941715859316407
0.1,1.0064798357364466,1.0054841645435844,0.9945099143297267,0.993526085390243
0.11,1.0071261582436946,1.0060302984010403,0.9939625393414223,0.9928810040138435
0.12,1.0077721793956227,1.0065760183770762,0.9934154607117297,0.9922363415155723
0.13,1.0084178993578872,1.0071213247582966,0.9928686782752576,0.9915920976085592
0.14,1.0090633182961448,1.007666217831307,0.9923221918666149,0.9909482720059343
0.15,1.0097084363760513,1.008210697882712,0.99177600132041,0.9903048644208275
0.16,1.0103532537628035,1.0087547651982993,0.9912301064717112,0.989661874567187
0.17,1.010997770587096,1.0092984200025608,0.9906845071900378,0.9890193022203067
0.18,1.0116419869865316,1.0098416625322608,0.990139203338011,0.9883771471431976
0.19,1.0122859031179927,1.0103844930584158,0.989594194759001,0.9877354090645916
0.2,1.012929519138361,1.0109269118520419,0.9890494812963784,0.9870940877132198
0.21,1.0135728352045184,1.0114689191841555,0.9885050627935134,0.986453182817814
0.22,1.0142158514733468,1.0120105153257726,0.9879609390937762,0.9858126941071056
0.23,1.0148585681017281,1.0125517005479094,0.9874171100405373,0.9851726213098262
0.24,1.0155009852465446,1.0130924751215822,0.986873575477167,0.984532964154707
0.25,1.0161431030646781,1.0136328393178073,0.9863303352470357,0.9838937223704799
0.26,1.0167849217130103,1.014172793407601,0.9857873891935135,0.9832548956858762
