t,VP,PRP,VTS2,TSP
0.0,3.00449,216.243,0.0,279.945
0.01,3.0044090748866874,216.24257541243213,-1.214769730869001e-06,279.9454265267952
0.02,3.0043283127366287,216.24215092554937,-2.428872388757703e-06,279.9458528190004
0.03,3.004247713221162,216.24172653911296,-3.6423091808630416e-06,279.94627887707423
0.04,3.004167275962387,216.24130225284904,-4.855081495053358e-06,279.9467047015443
0.05,3.0040870007666842,216.24087806662092,-6.067190041249569e-06,279.9471302926798
0.06,3.004006887258296,216.24045398015778,-7.278636198954607e-06,279.9475556510047
0.07,3.0039269350811515,216.2400299932021,-8.489421275694487e-06,279.9479807770157
0.08,3.0038471438791796,216.23960610549636,-9.699546578995216e-06,279.9484056712097
0.09,3.0037675132963084,216.23918231678303,-1.0909013416382805e-05,279.9488303340834
0.1,3.0036880429764667,216.23875862680458,-1.211782309538327e-05,279.94925476613366
0.11,3.003608732563583,216.23833503530346,-1.3325976923522618e-05,279.94967896785727
0.12,3.003529581701586,216.23791154202215,-1.4533476208326859e-05,279.9501029397509
0.13,3.0034505900344044,216.23748814670316,-1.5740322257322012e-05,279.9505266823114
0.14,3.0033717572059664,216.2370648490889,-1.694651637803408e-05,279.9509501960356
0.15,3.003293082860201,216.2366416489219,-1.8152059877989074e-05,279.9513734814202
0.16,3.003214566642315,216.23621854594572,-1.9356954059968447e-05,279.9517965389602
0.17,3.003136208293403,216.23579553998513,-2.056119987085034e-05,279.95221936901356
0.18,3.00305800753536,216.2353726308487,-2.1764798328774043e-05,279.95264197196576
0.19,3.002979964036501,216.23494981829958,-2.2967750650752927e-05,279.95306434827864
0.2,3.0029020774651403,216.2345271021009,-2.4170058053800364e-05,279.9534864984142
0.21,3.002824347489592,216.23410448201585,-2.5371721754929712e-05,279.95390842283433
0.22,3.0027467737781715,216.2336819578075,-2.6572742971154352e-05,279.9543301220011
0.23,3.002669355999193,216.23325952923904,-2.7773122919487644e-05,279.95475159637635
0.24,3.0025920938209705,216.2328371960736,-2.897286281694296e-05,279.9551728464221
0.25,3.002514986911819,216.2324149580743,-3.0171963880533663e-05,279.9555938726003
0.26,3.0024380349400537,216.2319928150043,-3.137042732727313e-05,279.9560146753728
0.27,3.002361237573988,216.23157076662673,-3.256825437417472e-05,279.9564352552016
0.28,3.0022845944819374,216.23114881270473,-3.376544623825182e-05,279.9568556125487
0.29,3.002208105354284,216.23072695302622,-3.496200405271061e-05,279.95727574784286
0.3,3.0021317698938454,216.230305187393,-3.6157928903530795e-05,279.95769566149426
0.31,3.0020555877771513,216.2298835155774,-3.7353221976530506e-05,279.95811535395245
0.32,3.0019795586805866,216.22946193735166,-3.8547884458072315e-05,279.95853482566736
0.33,3.001903682280537,216.2290404524879,-3.97419175345188e-05,279.9589540770888
0.34,3.0018279582533878,216.2286190607584,-4.093532239223254e-05,279.95937310866657
0.35000000000000003,3.0017523862755247,216.2281977619353,-4.21281002175761e-05,279.9597919208505
0.36,3.0016769660233322,216.22777655579077,-4.332025219691206e-05,279.9602105140904
0.37,3.0016016971731974,216.22735544209704,-4.451177951660301e-05,279.9606288888362
0.38,3.0015265794015042,216.2269344206263,-4.570268336301151e-05,279.9610470455376
0.39,3.001451612384639,216.2265134911507,-4.6892964922500155e-05,279.9614649846446
0.4,3.0013767957989868,216.2260926534425,-4.8082625381431514e-05,279.96188270660684
0.41000000000000003,3.0013021298040248,216.22567190780546,-4.9271664095361686e-05,279.96230021115207
0.42,3.001227613031272,216.22525125286194,-5.0460086210457835e-05,279.9627175002921
0.43,3.0011532458163632,216.22483068910964,-5.1647890414679646e-05,279.9631345734913
0.44,3.001079027837118,216.2244102163223,-5.2835077888951736e-05,279.96355143119723
0.45,3.0010049587720053,216.2239898342744,-5.4021649811745316e-05,279.96396807385673
0.46,3.000931038300139,216.22356954274116,-5.520760735907821e-05,279.96438450191545
0.47000000000000003,3.0008572661012822,216.22314934149847,-5.6392951704514815e-05,279.9648007158182
0.48,3.000783641855845,216.22272923032298,-5.7577684019166166e-05,279.96521671600885
0.49,3.000710165244884,216.222309208992,-5.876180547168987e-05,279.9656325029302
0.5,3.0006368359501043,216.22188927728357,-5.9945317228290155e-05,279.96604807702414
0.51,3.000563653653858,216.22146943497643,-6.112822045271782e-05,279.9664634387316
0.52,3.0004906180391435,216.2210496818501,-6.23105163062703e-05,279.9668785884924
0.53,3.0004177287990266,216.22063001769433,-6.34922059123886e-05,279.96729352673185
0.54,3.000344985673819,216.2202104423472,-6.46732902168769e-05,279.9677082538054
0.55,3.0002723883612736,216.21979095560332,-6.58537703255159e-05,279.96812277013134
0.56,3.0001999365513052,216.21937155724947,-6.703364737352663e-05,279.96853707613934
0.5700000000000001,3.000127629934556,216.21895224707316,-6.821292249337434e-05,279.968951172258
0.58,3.000055468202397,216.21853302486275,-6.939159681476842e-05,279.9693650589149
0.59,2.9999834510469263,216.2181138904073,-7.056967146466253e-05,279.9697787365364
0.6,2.999911578160971,216.21769484349676,-7.174714756725447e-05,279.97019220554796
0.61,2.9998398492380844,216.2172758839218,-7.292402624398621e-05,279.97060546637385
0.62,2.9997682639725487,216.21685701147396,-7.410030861354401e-05,279.97101851943717
0.63,2.9996968220593736,216.2164382259455,-7.52759957918582e-05,279.97143136516013
0.64,2.9996255231942968,216.21601952712953,-7.64510888921034e-05,279.97184400396367
0.65,2.999554367073783,216.21560091481993,-7.762558902469838e-05,279.9722564362678
0.66,2.9994833533950263,216.21518238881137,-7.879949729730607e-05,279.9726686624913
0.67,2.999412481855947,216.21476394889933,-7.997281481483367e-05,279.97308068305193
0.68,2.999341752155194,216.2143455948801,-8.114554267943253e-05,279.97349249836645
0.6900000000000001,2.9992711639921446,216.21392732655067,-8.231768199049816e-05,279.9739041088503
0.7000000000000001,2.9992007170669024,216.21350914370896,-8.348923384467034e-05,279.97431551491815
0.71,2.9991304110802997,216.2130910461536,-8.466019933583298e-05,279.9747267169833
0.72,2.9990602457338973,216.21267303368404,-8.58305795551142e-05,279.9751377154581
0.73,2.998990220729983,216.2122551061005,-8.700037559088633e-05,279.9755485107538
0.74,2.9989203357715715,216.21183726320407,-8.816958852876584e-05,279.97595910328056
0.75,2.9988505905624074,216.2114195047965,-8.933821945161349e-05,279.97636949344746
0.76,2.9987809848069618,216.2110018306805,-9.050626943953412e-05,279.9767796816625
0.77,2.998711518210434,216.2105842406594,-9.167373956987683e-05,279.9771896683325
0.78,2.9986421904787504,216.21016673453744,-9.284063091723492e-05,279.97759945386343
0.79,2.9985730013185665,216.20974931211967,-9.400694455344584e-05,279.9780090386598
0.8,2.998503950437265,216.20933197321185,-9.517268154759126e-05,279.97841842312545
0.81,2.9984350375429556,216.20891471762056,-9.633784296599702e-05,279.97882760766277
0.8200000000000001,2.9983662623444776,216.20849754515325,-9.750242987223319e-05,279.9792365926734
0.8300000000000001,2.998297624551396,216.20808045561805,-9.866644332711401e-05,279.9796453785575
0.84,2.9982291238740055,216.20766344882398,-9.982988438869789e-05,279.9800539657146
0.85,2.9981607600233278,216.20724652458077,-0.00010099275411228748,279.98046235454274
0.86,2.998092532711112,216.206829682699,-0.0001021550535504296,279.9808705454391
0.87,2.998024441649836,216.2064129229901,-0.00010331678375291525,279.98127853879976
0.88,2.997956486552704,216.20599624526614,-0.00010447794576677964,279.98168633501956
