t,M,AM,Mp,AMp
0.0,1.0,0.0,0.0,0.0
0.01,0.9945287474935192,1.9500714738444414e-08,0.005460313185970308,1.091981979585466e-05
0.02,0.9891145539174605,1.4421060925395734e-07,0.01084189622589236,4.3405646037961756e-05
0.03,0.9837566903462647,4.84001540318617e-07,0.0161458246330153,9.700101917979611e-05
0.04,0.9784544648050012,1.14159055412198e-06,0.02137311910123532,0.00017127450320939382
0.05,0.9732071977716711,2.216360992779782e-06,0.026524781674054407,0.0002658041932818271
0.06,0.9680142115307596,3.8064455378412236e-06,0.03160181154306801,0.0003801704806346336
0.07,0.9628748397501912,6.006541939335595e-06,0.03660519077452405,0.0005139629333455992
0.08,0.9577884231899964,8.90922434931105e-06,0.041535890767180186,0.0006667768184742456
0.09,0.9527543118112114,1.2604289321909815e-05,0.046394869077578546,0.0008382148218882733
0.1,0.9477718627523984,1.7179453159183652e-05,0.051183072474431,0.0010278853200114757
0.11,0.9428404431845153,2.2719432396781138e-05,0.05590143263687189,0.0012354047462161926
0.12,0.9379594283143506,2.9306590721465565e-05,0.06055086916336209,0.001460395931565923
0.13,0.9331281992415256,3.702163226011878e-05,0.06513229280114784,0.0017024863250665757
0.14,0.9283461462922966,4.594252955310571e-05,0.06964660042305656,0.001961310755093825
0.15,0.923612667262423,5.614515345861681e-05,0.0740946776827823,0.0022365099013362606
0.16,0.9189271679597628,6.770304069352086e-05,0.07847739819042057,0.0025277308091232013
0.17,0.9142890614412188,8.068771881399771e-05,0.08279562467170691,0.0028346261682604883
0.18,0.909697768540389,9.516848162149135e-05,0.08705020816641827,0.00315685481157148
0.19,0.905152717356057,0.00011121260503179156,0.09124198880525702,0.003494081233654387
0.2,0.9006533423759528,0.0001288857120928697,0.09537179714018909,0.0038459747717653103
0.21,0.8961990861798299,0.00014825106196916178,0.09944045155860814,0.004212211199592961
0.22,0.8917893987844393,0.0001693698245216927,0.10344875927799692,0.004592472113042198
0.23,0.8874237373903853,0.00019230118691814397,0.10739751673038253,0.004986444692314201
0.24,0.8831015662677837,0.00021710240222774302,0.111287509736033,0.005393821593955742
0.25,0.8788223566419217,0.00024382883801615319,0.11511951367715384,0.005814300842908464
0.26,0.8745855865789174,0.00027253402494036266,0.1188942936715843,0.006247585724558149
0.27,0.8703907404667749,0.0003032698564930217,0.12261260535896379,0.006693384317768414
0.28,0.8662373083086896,0.0003360868588858273,0.12627519597110703,0.007151408861317629
0.29,0.8621247871599835,0.0003710336601275994,0.1298828021574517,0.007621377022437268
0.3,0.8580526803538023,0.0004081572851640245,0.1334361511577747,0.00810301120325903
0.31,0.854020497330031,0.0004475032256706835,0.1369359610617849,0.008596038382513516
0.32,0.8500277535097248,0.0004891154928424544,0.14038294099981627,0.00910018999761656
0.33,0.8460739701695408,0.0005330366701829142,0.14377779133352092,0.009615201826755538
0.34,0.8421586743161689,0.0005793079662937416,0.14712120384656188,0.010140813870975688
0.35000000000000003,0.8382814001883766,0.0006279685283733878,0.15041385945781555,0.010676771825434564
0.36,0.834441689599293,0.0006790552824997861,0.15365642769991789,0.011222827418289512
0.37,0.8306390888607621,0.0007326043263967238,0.15684957140045144,0.01177873541238983
0.38,0.8268731501734498,0.00078865029377723,0.15999394456553698,0.01234425496723619
0.39,0.8231434315750527,0.0008472263736213344,0.16309019245822312,0.012919149593103058
0.4,0.8194494968769872,0.0009083643346873337,0.16613895169441437,0.01350318709391129
0.41000000000000003,0.8157909148543034,0.0009720948773887403,0.16914085147426333,0.014096138794044623
0.42,0.8121672592746957,0.0010384476178340225,0.17209651353772373,0.014697779569746732
0.43,0.8085781097670915,0.0011074507038170986,0.17500655084352887,0.015307888685562673
0.44,0.8050230512189875,0.001179131075766502,0.17787156848520186,0.015926249220044222
0.45,0.8015016736889814,0.001253514501846041,0.18069216382371275,0.016552647985459995
0.46,0.7980135723212921,0.0013306256121197284,0.18346892661710504,0.017186875449483222
0.47000000000000003,0.7945583479032161,0.0014104876294564561,0.1862024381702842,0.01782872629704335
0.48,0.7911356064931201,0.0014931225388446563,0.18889327190131433,0.018477999066721026
0.49,0.7877449588137793,0.0015785513673896203,0.1915419942653325,0.019134495553498797
0.5,0.7843860205192161,0.0016667940522964789,0.19414916434723875,0.019798021081248795
0.51,0.7810584121253042,0.0017578694674493843,0.19671533396681293,0.020468384440433574
0.52,0.7777617589421801,0.0018517954489870691,0.19924104778105858,0.021145397827774318
0.53,0.7744956911459125,0.001948588743624329,0.2017268431731059,0.021828876937357328
0.54,0.7712598436145462,0.0020482650876890293,0.20417325050226118,0.02251864079550371
0.55,0.7680538557888167,0.002150839272472608,0.20658079331624246,0.02321451162246829
0.56,0.7648773716635332,0.0022563251370914016,0.20894998836313927,0.023916314836236272
0.5700000000000001,0.7617300397217368,0.002364735593093281,0.2112813456910793,0.02462387899409079
0.58,0.7586115128744229,0.0024760826464083102,0.2135753687394134,0.025337035739755553
0.59,0.7555214485878349,0.0025903773297427614,0.21583255414389863,0.026055619938523886
0.6,0.752459508653602,0.0027076298054980394,0.21805339208645755,0.026779469454442612
0.61,0.7494253590720482,0.0028278494146554774,0.22023836647237854,0.02750842504091794
0.62,0.7464186700529937,0.002951044669564709,0.22238795492836988,0.028242330349071962
0.63,0.7434391159544596,0.0030772232763796054,0.22450262889529432,0.028981031873866706
0.64,0.7404863752684251,0.003206392134131463,0.22658285364907177,0.02972437894837191
0.65,0.7375601306020105,0.0033385573360729397,0.22862908832856318,0.030472223733353516
0.66,0.7346600687123914,0.0034737241443427583,0.23064178588142584,0.031224421261840198
0.67,0.7317858801664592,0.0036118971509580843,0.2326213935828599,0.03198082909972306
0.68,0.7289372594319777,0.0037530802245525547,0.23456835289559902,0.03274130744787092
0.6900000000000001,0.7261139048185463,0.003897276531691314,0.23648309955919838,0.033505719090564164
0.7000000000000001,0.723315518444135,0.004044488546065438,0.2383660636403403,0.03427392936945942
0.71,0.7205418064567758,0.004194717936920132,0.24021766919419804,0.03504580641210624
0.72,0.7177924785925948,0.004347965771527242,0.2420383349374279,0.03582122069845028
0.73,0.7150672481706488,0.004504232510930231,0.24382847425532916,0.03660004506309189
0.74,0.7123658321094283,0.004663517995417062,0.2455884951759758,0.037382154719178995
0.75,0.7096879508768014,0.004825821461471407,0.24731880044580176,0.03816742721592564
0.76,0.7070333284409492,0.004991141558236373,0.24901978760367527,0.038955742397139226
0.77,0.7044016922222917,0.005159476363490757,0.2506918490534615,0.03974698236075622
0.78,0.7017927730464018,0.005330823399137804,0.25233537213507407,0.040541031419386545
0.79,0.6992063050979119,0.005505179646206491,0.2539507391940153,0.041337776061866505
0.8,0.6966420259078484,0.005682541544628218,0.2555383276000201,0.04213710494750347
0.81,0.6940996766993736,0.005862904830148876,0.25709850922005606,0.04293890925042178
0.8200000000000001,0.6915790018147183,0.006046264788624417,0.25863165129011606,0.0437430821065414
0.8300000000000001,0.689079748734561,0.006232616241127191,0.26013811638506806,0.044549518639243904
0.84,0.6866016681396061,0.006421953509842159,0.2616182623242534,0.04535811602629854
0.85,0.6841445138761743,0.006614270427534242,0.26307244222321585,0.0461687734730759
0.86,0.6817080429230333,0.006809560346414118,0.26450100454353753,0.04698139218701528
0.87,0.6792920153594709,0.007007816146402473,0.26590429314078085,0.04779587535334594
0.88,0.6768961943346083,0.007209030242792686,0.26728264731053697,0.04861212811206217
0.89,0.6745203460379551,0.00741319459331197,0.268636401832581,0.04943005753615224
0.9,0.6721642396138359,0.007620300734009841,0.2699658871008137,0.05024957255134086
0.91,0.6698276463983193,0.00783034016271853,0.27127143028866446,0.05107058315029799
0.92,0.6675103408784491,0.008043303839057797,0.27255335388221,0.051893001400283315
0.93,0.6652121005692558,0.008259182239621838,0.27381197586731143,0.05271674132381115
0.9400000000000001,0.6629327057909624,0.008477965464398938,0.2750476100692925,0.05354171867534637
0.9500000000000001,0.6606719396361627,0.00869964324577588,0.2762605662022771,0.05436785091578456
0.96,0.6584295879377678,0.008924204957183669,0.27745114991735575,0.05519505718769296
0.97,0.6562054392377205,0.009151639621384603,0.27861966284958295,0.05602325829131229
0.98,0.6539992847564763,0.009381935918400657,0.27976640266380415,0.05685237666131919
0.99,0.6518109183632542,0.009615082193083206,0.28089166309931324,0.05768233634434955
1.0,0.6496401365201511,0.009851066476179686,0.28199573405446254,0.05851306294920701
1.01,0.6474867378848689,0.010089876681258006,0.28307890219310816,0.059344483240765286
1.02,0.6453505237692481,0.0103315003609111,0.28414145024290705,0.06017652562693413
1.03,0.6432312980721763,0.01057592473370485,0.28518365709706645,0.06100912009705267
1.04,0.6411288671507231,0.01082313674297812,0.2862057980105242,0.06184219809577484
1.05,0.6390430397895754,0.01107312306505224,0.2872081446458723,0.06267569249950038
1.06,0.6369736271710044,0.011325870117204019,0.2881909651184729,0.06350953759331895
1.07,0.6349204428453625,0.011581364065402259,0.289154524040768,0.06434366904846751
1.08,0.6328833027021111,0.011839590831807788,0.2900990825657805,0.06517802390030088
1.09,0.6308620249413789,0.012100536102036983,0.2910248984298089,0.0660125405267755
1.1,0.6288564300391493,0.012364185335782804,0.2919322260048679,0.06684715862020031
1.11,0.6268663406185054,0.012630523826397996,0.292821316494789,0.06768181906030785
1.12,0.6248915815541186,0.012899536639052495,0.29369241777465216,0.068516464032177
1.1300000000000001,0.6229319799373347,0.013171208621526114,0.29454577444339225,0.06935103699774717
1.1400000000000001,0.62098736502128,0.01344552442544711,0.2953816279069652,0.07018548264630783
1.1500000000000001,0.619057568194115,0.013722468512911772,0.29620021641847444,0.07101974687449907
1.16,0.6171424229527526,0.014002025162901466,0.29700177511758946,0.07185377676675671
1.17,0.6152417648770434,0.014284178477497144,0.29778653606925726,0.07268752057620248
1.18,0.6133554316044252,0.014568912387891236,0.29855472830170515,0.07352092770597866
1.19,0.6114832628050385,0.01485621066019705,0.2993065778437369,0.0743539486910278
1.2,0.6096251001500611,0.01514605690521826,0.3000423077724403,0.07518653517228059
1.21,0.6077807871735869,0.015438434649440003,0.3007621384242695,0.07601863975270388
1.22,0.6059501693946199,0.015733327256653853,0.3014662872069596,0.07685021614176689
1.23,0.6041330942872492,0.016030717936864843,0.3021549686444307,0.07768121913145551
1.24,0.6023294112243486,0.016330589770472293,0.30282839446232657,0.07851160454285286
1.25,0.6005389714538084,0.016632925713826754,0.3034867736236366,0.07934132920872856
