t,cortisol,ACTH,CRH
0.0,0.0,0.0,50.0
0.01,162.46712978465848,0.05790575773512975,50.49497526082449
0.02,578.7439901811582,0.1086848869094848,50.9899010265977
0.03,1249.9245059839682,0.15989948564951095,51.48477730226886
0.04,2178.256985672224,0.21157949487327077,51.979604092786744
0.05,3366.0619875417005,0.2637313612930518,52.47438140309964
0.06,4815.6788797710615,0.31635718913266525,52.9691092381553
0.07,6529.453487915657,0.3694577934014851,53.463787602901014
0.08,8509.734063456159,0.4230334785439568,53.95841650228356
0.09,10758.869505999246,0.477084324434774,54.452995941249235
0.1,13279.208561090845,0.5316102934381433,54.94752592474382
0.11,16073.099375551406,0.5866112845892213,55.44200645771263
0.12,19142.88923162587,0.6420871589759032,55.936437545100446
0.13,22490.924442383206,0.6980377549983665,56.43081919185159
0.14,26119.55025620184,0.7544628961846637,56.92515140290989
0.15,30031.110756633487,0.8113623955213825,57.419434183218655
0.16,34227.94885650101,0.8687360593108753,57.913667537720734
0.17,38712.40622905429,0.9265836895938114,58.40785147135845
0.18,43486.823369914,0.9849050826351442,58.90198598907365
0.19,48553.53950807108,1.0437000341141294,59.39607109580771
0.2,53914.892480710914,1.102968336831773,59.89010679650144
0.21,59573.21885390109,1.1627097813955898,60.38409309609515
0.22,65530.85408997983,1.2229241595357419,60.878029999528756
0.23,71790.13228862446,1.2836112604736871,61.37191751174162
0.24,78353.38625091268,1.344770873596494,61.86575563767262
0.25,85222.94749930249,1.406402787163995,62.35954438226013
0.26,92401.14625662779,1.4685067894020474,62.85328375044205
0.27,99890.31145634518,1.531082668015101,63.34697374715576
0.28,107692.77073576643,1.5941302105479431,63.84061437733817
0.29,115810.85043663191,1.6576492043486286,64.33420564592568
0.3,124246.87560646093,1.7216394365042238,64.8277475578542
0.31,133003.16999262976,1.7861006941713806,65.32124011805915
0.32,142082.05604768379,1.851032764277884,65.81468333147546
0.33,151485.85492571417,1.916435433779079,66.30807720303758
0.34,161216.8864835414,1.9823084895603214,66.80142173767942
0.35000000000000003,171277.4692807088,2.0486517184706443,67.29471694033445
0.36,181669.92057891624,2.1154649073959506,67.78796281593559
0.37,192396.55634261243,2.1827478431756013,68.28115936941532
0.38,203459.69123929695,2.2505003127046623,68.7743066057056
0.39,214861.638639127,2.318722102874984,69.26740452973792
0.4,226604.71061627276,2.387413000627326,69.76045314644324
0.41000000000000003,238691.2179484757,2.456572792939573,70.25345246075204
0.42,251123.47011608415,2.526201266791768,70.74640247759433
0.43,263903.7753034333,2.5962982092032707,71.23930320189962
0.44,277034.44040254405,2.666863407311729,71.73215463859688
0.45,290517.771008164,2.737896648267203,72.22495679261466
0.46,304356.07141889207,2.809397719255975,72.71770966888096
0.47000000000000003,318551.64464164816,2.881366407545242,73.21041327232331
0.48,333106.7923905293,2.9538025004726562,73.70306760786876
0.49,348023.8150833535,3.0267057854147246,74.19567268044383
0.5,363305.0118445632,3.100076049808769,74.68822849497461
0.51,378952.68051073607,3.1739130811812,75.18073505638662
0.52,394969.117623467,3.2482166671110013,75.67319236960493
0.53,411356.61843082216,3.3229865952371673,76.16560043955414
0.54,428117.4768926179,3.3982226532758726,76.6579592711583
