t,V,xm,xh,xj,Ca_dyad,c1,c2,xi1ca,xi1ba,xi2ca,xi2ba,xr,Ca_i,xs1,xs2,xtos,ytos,xtof,ytof,Na_i,Ca_submem,Ca_NSR,Ca_JSR,xir,tropi,trops
0.0,-87.169816169406,0.001075453357,0.990691306716,0.993888937283,1.716573130685,1.8211252e-05,0.979322592773,0.001208153482,3.3616596e-05,0.004173008466,0.015242594688,0.007074239331,0.256752008084,0.048267587131,0.105468807033,0.00364776906,0.174403618112,0.003643592594,0.993331326442,11.441712311614,0.226941113355,104.450004990523,97.505463697266,0.006679257264,22.171689894953,19.864701949854
0.01,-87.0199935757456,0.0010916826297769798,0.9906907383595777,0.9938888947880565,1.7166404467450402,1.8212898355539624e-05,0.9793231847522925,0.0012080148285133834,3.3616830144094116e-05,0.004172540681717802,0.015242607270719575,0.007074233476363939,0.25674725825122,0.0482642809159501,0.10546688916125173,0.003647783147512582,0.1744065058556377,0.003643709059890963,0.9933318243784356,11.441711723276125,0.22693966583906783,104.45047984716558,97.50615814041606,0.00667976962054592,22.171359817588662,19.864529007009416
0.02,-86.87046657269151,0.0011180097239819455,0.9906889666542701,0.9938887102851118,1.7166580473665578,1.8217959746009186e-05,0.9793236888463501,0.001207897558223966,3.361768080559889e-05,0.004172066592247277,0.015242688619051563,0.007074293959823865,0.25674250875044125,0.048260986292708224,0.10546497679198678,0.0036478358394712277,0.17440939603105968,0.003644067671246958,0.9933323046032629,11.44171113119441,0.22693851062343512,104.45095467244657,97.50685256160702,0.006680276272364361,22.171029758344403,19.86435608955865
0.03,-86.72123012582098,0.0011460154608449072,0.9906860100039248,0.993888382621848,1.7166272658635293,1.8226450343910812e-05,0.9793241052673236,0.0012078016645613867,3.3619148753293996e-05,0.004171586107113497,0.015242838593095888,0.007074421677588309,0.2567377595937677,0.048257703246672924,0.10546306991533795,0.0036479274063987537,0.17441228866979094,0.0036446687488498465,0.9933327668914298,11.441710535377403,0.22693764651799758,104.451429466425,97.50754696083791,0.006680777250847395,22.170699717219406,19.864183202292192
0.04,-86.57227940284976,0.0011747768659054435,0.9906818858784779,0.9938879106113438,1.7165495595000868,1.8238385337298952e-05,0.9793244342244541,0.0012077271414579554,3.362123477848752e-05,0.004171099136285151,0.015243057054157419,0.007074617536820413,0.256733010793212,0.04825443176364947,0.10546116852164324,0.0036480581205811965,0.17441518380365864,0.003645512627814382,0.9933332110156651,11.44170993583351,0.22693707235695537,104.45190422915937,97.50824133810782,0.006681272601374086,22.17036969421306,19.86401034996511
0.05,-86.42360985788551,0.0012042013170369228,0.9906766105004146,0.9938872930556383,1.716426471600784,1.825378062193818e-05,0.979324675919799,0.0012076739834457168,3.362393967871492e-05,0.004170605592171858,0.015243343867427607,0.007074882437720968,0.2567282623604559,0.04825117183011697,0.10545927260163065,0.0036482282506291705,0.1744180814641614,0.0036465996507863948,0.9933336367509816,11.441709332570836,0.22693678702145942,104.45237896070641,97.50893569341582,0.006681762381795116,22.17003968932494,19.86383753720257
0.06,-86.2752168264871,0.0012342954341487016,0.9906702003173289,0.9938865286543619,1.7162597336188097,1.8272653925815428e-05,0.9793248305648624,0.0012076421851332322,3.3627264318549966e-05,0.004170105382626712,0.015243698890906507,0.007075217344583138,0.2567235143078083,0.04824792343207038,0.10545738214563616,0.003648438082887692,0.17442098168496725,0.003647930193375345,0.9933340438568408,11.441708725597874,0.22693678934549036,104.45285366112559,97.50963002676099,0.006682246664774583,22.16970970255477,19.86366476887851
0.07,-86.12709602611388,0.0012650684612917522,0.9906626701526261,0.993885616120589,1.7160511268779417,1.8295023397725133e-05,0.9793248983586583,0.0012076317418821911,3.3631209552228424e-05,0.004169598420476643,0.015244121989622189,0.0070756231954174215,0.25671876664697246,0.04824468655650752,0.10545549714460763,0.0036486878940596244,0.17442388449873053,0.0036495046320456047,0.9933344320998728,11.441708114922639,0.2269370782372877,104.45332833047289,97.5103243381424,0.006682725534741255,22.169379733902502,19.86349204962831
0.08,-85.97924333371039,0.0012965340037470543,0.9906540340315764,0.9938845541387016,1.715802515471233,1.8320908066592878e-05,0.9793248794963333,0.001207642649475503,3.3635776251105406e-05,0.004169084620021507,0.015244613029928423,0.007076100936242605,0.2567140193895319,0.04824146119080167,0.10545361758969031,0.003648977961639433,0.17442678993830338,0.0036513233552295877,0.9933348012452292,11.441707500553017,0.22693765262963514,104.45380296880315,97.51101862755915,0.006683199087154921,22.169049783368266,19.863319384040654
0.09,-85.83165454573127,0.0013287082373360615,0.9906443060093998,0.9938833412952875,1.715515937366034,1.8350328809763192e-05,0.9793247741797929,0.0012076749038579732,3.364096534944546e-05,0.004168563892477292,0.015245171872199367,0.007076651571696818,0.25670927254758263,0.048238247321992084,0.10545174347173453,0.0036493085788280324,0.17442969803849723,0.003653386783495091,0.9933351510439924,11.441706882497202,0.22693851142062485,104.45427757617296,97.51171289501036,0.006683667432708181,22.168719850952364,19.863146776907932
