t,H1,H2
0.0,0.05,1.0
0.01,0.04987725237775665,0.9998299346814811
0.02,0.04975480610910467,0.9996596178463498
0.03,0.049632660481976315,0.9994890502774565
0.04,0.049510814678283215,0.9993182328740933
0.05,0.04938926828275872,0.9991471660920581
0.06,0.049268020483597554,0.9989758508234456
0.07,0.04914707051054026,0.9988042879148702
0.08,0.04902641759332741,0.9986324782129462
0.09,0.048906060961699555,0.9984604225642881
0.1,0.04878599984539727,0.9982881218155101
0.11,0.0486662334741611,0.9981155768132266
0.12,0.048546761077731614,0.997942788404052
0.13,0.04842758188584937,0.9977697574346008
0.14,0.04830869512825494,0.9975964847514872
0.15,0.04819010003468887,0.9974229712013256
0.16,0.048071795837836426,0.9972492176274613
0.17,0.0479537819912728,0.9970752246280182
0.18,0.04783605790434522,0.9969009928502198
0.19,0.047718622862970524,0.9967265230783164
0.2,0.047601476153065585,0.9965518160965581
0.21,0.047484617060547255,0.9963768726891948
0.22,0.04736804487133239,0.9962016936404768
0.23,0.04725175887133787,0.9960262797346543
0.24,0.04713575834648053,0.9958506317559773
0.25,0.047020042582677245,0.9956747504886959
0.26,0.04690461086584487,0.9954986367170603
0.27,0.04678946248190025,0.9953222912253206
0.28,0.046674596716760275,0.9951457147977268
0.29,0.04656001291392688,0.9949689081534124
0.3,0.04644571044935199,0.9947918719748162
0.31,0.04633168863038714,0.9946146070219501
0.32,0.04621794676400978,0.994437114055249
0.33,0.046104484157197374,0.994259393835148
0.34,0.04599130011692735,0.994081447122082
0.35000000000000003,0.04587839395017717,0.9939032746764859
0.36,0.04576576496392427,0.9937248772587944
0.37,0.0456534124651461,0.9935462556294428
0.38,0.04554133576082012,0.9933674105488658
0.39,0.04542953415792376,0.9931883427774983
0.4,0.04531800696343448,0.9930090530757755
0.41000000000000003,0.045206754735097714,0.992829540789936
0.42,0.0450957740746368,0.9926498097391434
0.43,0.04498506599588481,0.9924698587539554
0.44,0.044874629809534286,0.9922896885906065
0.45,0.0447644648279539,0.992109300003436
0.46,0.044654570365188405,0.9919286937448881
0.47000000000000003,0.04454494573695869,0.9917478705655118
0.48,0.044435590260661746,0.991566831213961
0.49,0.04432650325537067,0.9913855764369948
0.5,0.04421768404183468,0.9912041069794766
0.51,0.04410913194247909,0.9910224235843751
0.52,0.04400084628140535,0.9908405269927639
0.53,0.043892826400727294,0.990658417925355
0.54,0.043785071726972456,0.9904760970074403
0.55,0.04367758161643147,0.9902935649437059
0.56,0.043570355412804525,0.9901108224530693
0.5700000000000001,0.043463392461862205,0.989927870252107
0.58,0.04335669211144549,0.9897447090550553
0.59,0.043250253711465715,0.9895613395738091
0.6,0.04314407661390464,0.9893777625179228
0.61,0.04303816017281439,0.9891939785946099
0.62,0.042932503744317466,0.989009988508743
0.63,0.042827106686606796,0.9888257929628543
0.64,0.04272196835994564,0.9886413926571349
0.65,0.042617088126667695,0.988456788289435
0.66,0.04251246535117701,0.9882719805552642
0.67,0.042408099399948024,0.9880869701477913
0.68,0.04230398964152558,0.9879017577578443
0.6900000000000001,0.0422001354465249,0.9877163440739102
