t,Pyr,AcCoA,Cit,KG,OAA,NAD,ATP,delta_psi
0.0,0.154,0.063,0.44,0.225,0.005,0.856,3.536,150.0
0.01,0.20601554363249208,0.0001900744760792606,0.5032980889401639,0.0004610756291526673,0.41576392753101654,0.1433236751416839,3.453189003473511,92.44896505874966
0.02,0.2548892895401807,4.9046369978293666e-05,0.5101403789170322,0.00030428725516956726,0.6899768434460098,0.04975270004396531,3.0707944934329547,88.67726497574607
0.03,0.3027217522346219,1.586684824924619e-05,0.5147940177115657,0.00022485544644180384,0.9744233106341401,0.019166645900325206,2.6615287166290593,85.44811329581609
0.04,0.35452587385609396,7.379515920799768e-06,0.5177955867969126,0.00017936179314096868,1.2528313539623472,0.009795974002103974,2.2500757806333183,82.54931484567518
0.05,0.4158647741250776,5.0591950294047465e-06,0.5202767339670065,0.0001503655643767449,1.5144611086903725,0.006925013519344488,1.8493067860440433,79.80028450931336
0.06,0.49255430961899577,4.386297266520554e-06,0.5228716837514522,0.0001305432150920268,1.75197561507501,0.005864760042753584,1.4674937732760323,77.05259230175805
0.07,0.5912541957175074,4.208096835322475e-06,0.5258695982329973,0.00011667195065500525,1.958857596766958,0.005241923692402014,1.1121725289656772,74.16573169493857
0.08,0.7199995844219478,4.2221962680425655e-06,0.5293991627282396,0.00010699177087424301,2.1279862436771184,0.004691297801734524,0.7918863484592109,70.97892797257032
0.09,0.8880807635568772,4.3400500342699045e-06,0.5335145685720641,0.00010045201629758276,2.251458454638011,0.004136474842372628,0.5165091721763593,67.2709458368566
0.1,1.1046186432218497,4.5340130020955805e-06,0.5382215628359502,9.641112369686789e-05,2.3219262129762397,0.0035830022603499864,0.2960692340114633,62.67670893667002
0.11,1.3752659589736203,4.792483019691332e-06,0.5434823144726946,9.443108024291853e-05,2.3358006353279097,0.0030601384797847076,0.13782971198140967,56.43348638880799
0.12,1.6975054707185817,5.107162657983037e-06,0.5492224438278933,9.413593612754718e-05,2.297721860072974,0.002598960746233125,0.042778161207830644,46.216073375487554
0.13,2.056294271769293,5.4576707912377705e-06,0.555347243255543,9.518326578600315e-05,2.22451213909182,0.0022196825233782875,0.005563298971725754,27.08758728909878
0.14,2.427232046301332,5.805993019665272e-06,0.5617609243943316,9.701491098965032e-05,2.1415427561521083,0.0019258604014387914,0.0009954829501421254,20.757852212664584
0.15,2.799220728383862,6.147395651516609e-06,0.5683923604223905,9.892905059373789e-05,2.060125151141799,0.001700904371053566,0.0007169286030297911,20.330141674211532
0.16,3.1711087231777735,6.488068597797181e-06,0.5751976560661461,0.00010078537401184351,1.9813975076026025,0.0015240806735539237,0.0006611123995794133,20.245495082233276
