t,x1,x3,x2,x4,x5
0.0,0.01067,6.51,0.04665,60.61,12.61
0.01,0.010671352235876877,6.5104143155631355,0.04665970325126555,60.6083183185688,12.609984573598071
0.02,0.01067270396122552,6.510827846762069,0.046669407118114556,60.606640071806545,12.60996915438733
0.03,0.010674055177414257,6.511240600388685,0.046679111601968554,60.60496525331347,12.609953742354922
0.04,0.010675405885996728,6.5116525841881545,0.046688816704417685,60.60329385578553,12.609938337486234
0.05,0.010676756087673017,6.5120638018276855,0.04669852242605226,60.60162587573283,12.609922939774586
0.06,0.010678105783951465,6.512474260905236,0.04670822876836007,60.59996130597613,12.609907549205749
0.07,0.01067945497628668,6.512883968702858,0.046717935732808136,60.59830013964268,12.609892165766022
0.08,0.010680803666133271,6.513292932502605,0.04672764332086352,60.59664236985974,12.60987678944171
0.09,0.010682151854945848,6.513701159586526,0.046737351533993256,60.59498798975455,12.609861420219115
0.1,0.01068349954417902,6.514108657236677,0.046747060373664384,60.59333699245437,12.60984605808454
0.11,0.010684846735287398,6.5145154327351085,0.04675676984134394,60.59168937108644,12.609830703024288
0.12,0.01068619342972559,6.514921493363872,0.04676647993849898,60.590045118778015,12.609815355024661
0.13,0.010687539628948207,6.515326846405021,0.04677619066659652,60.588404228656344,12.609800014071961
0.14,0.010688885334409858,6.515731499140607,0.04678590202710362,60.58676669384867,12.609784680152494
0.15,0.010690230547428807,6.516135458284771,0.046795614021267244,60.585132507997784,12.609769353253776
0.16,0.010691575268522425,6.516538727215716,0.0468053266490416,60.58350166777463,12.609754033370505
0.17,0.010692919498797668,6.516941311767437,0.04681503991133259,60.581874167620924,12.609738720492087
0.18,0.010694263239503543,6.517343218365584,0.04682475380927537,60.58025000144133,12.609723414606668
0.19,0.01069560649188905,6.517744453435804,0.04683446834400513,60.57862916314049,12.60970811570239
0.2,0.010696949257203195,6.518145023403748,0.046844183516657006,60.57701164662305,12.609692823767395
0.21,0.010698291536694979,6.518544934695063,0.04685389932836619,60.57539744579366,12.609677538789825
0.22,0.010699633331613407,6.5189441937354005,0.04686361578026785,60.573786554556975,12.609662260757823
0.23,0.01070097464320748,6.519342806950407,0.04687333287349713,60.57217896681764,12.609646989659531
0.24,0.010702315472726206,6.519740780765733,0.04688305060918922,60.57057467648029,12.60963172548309
