t,E,ED,E_,ENa,ECl,ED_,ENa_,ECl_,ENaD,ENaD_,ENaCl,ENaCl_
0.0,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333,0.08333
0.01,0.0036370719596349873,0.009353390928402342,0.020170970089802745,0.043289648954192135,0.007030060862686052,0.020304475932331523,0.04870524949045459,0.0162244724558255,0.11180242562893876,0.14618055393305907,0.3901408462305782,0.18312083353405648
0.02,0.0038064868409754555,0.006800572181433544,0.02111506482626097,0.04530558577878048,0.007357489463833817,0.020283608877069672,0.05098532366138273,0.01698388386270603,0.08128821636545752,0.1460303227260542,0.408309950124461,0.19169349529308138
0.03,0.003929820887151438,0.004945485639710386,0.0218023607157405,0.046773188500440384,0.0075958575459888576,0.020263108735708656,0.05264520489262612,0.017536731246873893,0.059114100399244224,0.14588273319623402,0.42153706328387386,0.19793434495759282
0.04,0.004019668523964931,0.0035974277794631857,0.022303043862960854,0.047842323177748544,0.0077695063801471705,0.020242883483856958,0.05385439911181654,0.017939470952705962,0.04300057111099832,0.1457371227913607,0.4311728889930838,0.20248069383336265
0.05,0.0040851817755222525,0.0026178195703821234,0.022668116600717946,0.04862189336707239,0.007896124100780435,0.020222866237115434,0.054736081666290064,0.01823312826978719,0.031291173440827394,0.14559300996075744,0.43819894630032535,0.20579565871279248
0.06,0.004133011549772342,0.001905955715609649,0.022934640919299868,0.049191041107124404,0.007988564951976546,0.020203008377880385,0.055379760477770316,0.018447515131354193,0.022782162506391482,0.1454500446699778,0.44332852161880787,0.20821577297774982
0.07,0.004167990384576222,0.0013886562873284855,0.023129553881309214,0.04960726992933003,0.008056168725036488,0.0201832745641966,0.05585049166329115,0.018604299232459143,0.016598808116174004,0.1453079724661088,0.4470798788868129,0.20998563586722518
0.08,0.004193630656550644,0.0010127433890390997,0.02327242290315196,0.049912375741684736,0.00810572386080176,0.020163639101370746,0.056195531720648485,0.018719220181089194,0.012105467232938096,0.14516660835372164,0.44982971383970694,0.21128292304587637
0.09,0.004212484166361836,0.0007395758879122319,0.02337747074754884,0.05013672318089543,0.008142162208046427,0.020144083305870652,0.05644923014302888,0.01880371850671493,0.008840256844121127,0.14502581781620197,0.45185169486681515,0.21223678237295157
0.1,0.0042264055422292866,0.0005410712131418347,0.023455032868668093,0.050302381202621954,0.008169068210319546,0.020124593586712865,0.05663654800702473,0.018866107848643964,0.006467501946057472,0.14488550300193984,0.45334472364834055,0.21294106293404547
0.11,0.0042367425012585815,0.00039682240524164787,0.023512619809847923,0.0504253868263864,0.008189046603085502,0.02010516005496423,0.05677562396845964,0.01891242954257433,0.004743275220013893,0.14474559271312928,0.4544533376149657,0.21346396275963606
0.12,0.004244474427876499,0.00029199974757240896,0.02355568947874948,0.05051739413498235,0.00820399024448746,0.020085775511707458,0.05687963937888691,0.018947073823824444,0.0034903149323058194,0.1446060351194167,0.45528257194259575,0.21385504132234653
0.13,0.004250312943054274,0.0002158279723013239,0.02358820759090279,0.050586870988041106,0.008215274485743142,0.02006643471358015,0.05695817180776501,0.01897323063722426,0.0025798227583697353,0.14446679246994107,0.4559087452179997,0.21415030853277184
0.14,0.004254775224755342,0.00016047605553546184,0.023613056269153113,0.050639971491089286,0.00822389887771559,0.02004713383731099,0.05701818184786386,0.018993218306601844,0.0019181933444763135,0.144327837238132,0.4563873227723254,0.21437593494743817
0.15,0.004258237113157085,0.0001202530947791131,0.023632329983036274,0.0506811679162904,0.008230589807522063,0.020027870091899286,0.05706472783572273,0.019008721582656225,0.0014374025153988527,0.14418914932950572,0.4567586120152283,0.21455093898700284
0.16,0.004260971682197021,9.102438377879847e-05,0.02364755039191185,0.05071370969335365,0.008235875046798865,0.020008641436975793,0.05710148470712889,0.019020964457883423,0.0010880275326212452,0.14405071405390582,0.45705189919268724,0.21468913773600734
0.17,0.004263177454393444,6.978491899665125e-05,0.023659822823138728,0.05073995923893341,0.008240138289144074,0.019989446377136316,0.05713112183261024,0.01903083602946386,0.0008341491516441311,0.14391252064454024,0.4572884760711917,0.21480056752143908
0.18,0.0042649984310239135,5.4350931113510106e-05,0.02366995318907139,0.05076162967422815,0.008243657815635,0.019970283812990697,0.0571555858987778,0.019038984580908077,0.0006496644809355444,0.14377456118694942,0.45748378277113977,0.21489254759268775
0.19,0.004266539586603518,4.313579452415363e-05,0.02367852356099647,0.05077997048062634,0.008246636537358878,0.01995115293342693,0.057176282375588534,0.01904587829921471,0.0005156083445477956,0.14363682984073192,0.4576490804053044,0.2149703622045761
0.2,0.004267877026348876,3.498686535667718e-05,0.023685958368572374,0.05079588722743221,0.008249221539801599,0.01993205313662848,0.05719423633045539,0.019051858589510452,0.00041820302437320687,0.14349932227296283,0.45779253061364844,0.21503786542973338
0.21,0.0042690660423710496,2.9066708287655495e-05,0.02369256601885843,0.05081003782467629,0.008251519683510436,0.019912983972831654,0.057210192621891136,0.019057173530339623,0.0003474385363369142,0.14336203524550578,0.4579200629688066,0.21509785780541868
0.22,0.004270146933290839,2.476509233788794e-05,0.02369857114282626,0.050822901794923395,0.00825360885338777,0.019893945101996092,0.05722469375973661,0.01906200381087749,0.0002960207028459234,0.14322496631022055,0.4580359992991344,0.2151523790702139
0.23,0.0042711490235713126,2.1638047700218255e-05,0.023704137155040345,0.05083482808225739,0.008255545724925498,0.019874936264312706,0.057238134404822005,0.019066480878606445,0.0002586426890071827,0.14308811359656262,0.4581434845447096,0.21520291307661393
0.24,0.004272093320191384,1.936747381109875e-05,0.023709381124692352,0.05084606665641461,0.008257370898330944,0.019855957260756295,0.05725079729021615,0.01907069890172983,0.0002315021930808523,0.14295147567161479,0.45824477161958477,0.21525052284930893
0.25,0.0042729953607499776,1.7717983455695664e-05,0.023714389638316118,0.0508568024063737,0.008259114403172407,0.019837007932249497,0.05726289153029488,0.01907472752877194,0.00021178559786847275,0.14281505139007664,0.4583415268742977,0.2152959946201151
0.26,0.004273866396430026,1.65194292835565e-05,0.0237192253960839,0.05086716921370725,0.008260797984630041,0.01981808815125267,0.057274568551716094,0.019078617194535047,0.00019745910764362845,0.14267883983370816,0.4584349569532021,0.21533989772557122
0.27,0.004274714526511051,1.5649224108105865e-05,0.023723933537427706,0.05087726345358223,0.008262437296137546,0.019799197813244847,0.05728593737073565,0.0190824042083303,0.00018705742015251068,0.1425428402499987,0.4585259304650651,0.21538264204694282
0.28,0.0042755456658833116,1.5017747115303567e-05,0.02372854701310494,0.0508871555149689,0.008264043769608147,0.019780336829679022,0.05729707756542071,0.019086115075032425,0.00017950928492781697,0.1424070520014509,0.4586150817848012,0.21542452678302257
0.29,0.004276364124316186,1.4559702939158703e-05,0.023733089864276927,0.05089689667146168,0.008265625734157688,0.0197615051238007,0.057308047199560445,0.019089769133042975,0.00017403421707986818,0.1422714745354597,0.4587028730679407,0.21546577024345062
0.3,0.004277173039115567,1.4227562647913931e-05,0.023737579544394222,0.050906524267346764,0.008267189253745373,0.019742702627483105,0.057318888422091444,0.019093380421380587,0.00017006409645651353,0.14213610736155186,0.4587896408412102,0.2155065309000029
0.31,0.004277974686847793,1.3986930497289701e-05,0.023742028758976755,0.05091606538522079,0.00826873872800148,0.019723929278999894,0.05732963191974208,0.019096959160243614,0.0001671877857860375,0.14200095003532337,0.4588756292196492,0.21554692412949808
0.32,0.004278770727072595,1.3812828346929441e-05,0.023746446752749513,0.05092553977309637,0.008270277364396459,0.01970518502124961,0.05734030001901446,0.019100512785884913,0.0001651067177676305,0.14186600214567247,0.4589610161883011,0.21558703387542633
0.33,0.004279562373362374,1.3686913877475853e-05,0.023750840287366303,0.050934961872995205,0.008271807508438755,0.019686469800410916,0.05735090904982092,0.019104046737239616,0.00016360164402246807,0.14173126330511465,0.45904593190317466,0.21562692153525806
0.34,0.00428035049427708,1.3596012371495777e-05,0.023755214207005024,0.05094434201962289,0.008273330838751914,0.01966778356522518,0.057361470711674946,0.01910756491089698,0.00016251508526036784,0.14159673314461502,0.45913046950896064,0.21566663109710296
0.35000000000000003,0.004281135717266901,1.3530646914303873e-05,0.023759571999211946,0.05095368768030873,0.008274848568104837,0.019649126266281697,0.05737199342642926,0.019111070112109642,0.00016173376255809423,0.14146241130844342,0.45921469630753997,0.2157061942254014
0.36,0.004281918501769909,1.3483889204709284e-05,0.023763916248495408,0.05096300431931352,0.008276361584200953,0.019630497855467628,0.0573824834382831,0.019114564419970892,0.0001611748609373195,0.1413282974502137,0.45929866154440346,0.2157456343976963
0.37,0.004282699192220468,1.3450649906012709e-05,0.023768248800675275,0.05097229604365424,0.008277870553500793,0.019611898285627993,0.05739294519782887,0.019118049318720135,0.0001607775468214643,0.14119439123043745,0.45938240224241855,0.21578496834589256
0.38,0.004283478037073038,1.3427124516609421e-05,0.023772571124765832,0.05098156580009562,0.008279375955307314,0.01959332751030075,0.05740338226116468,0.019121525990580014,0.00016049634446062706,0.14106069231461266,0.45946594495141435,0.21582420944199923
0.39,0.004284255205602937,1.3410702738063459e-05,0.023776884212903512,0.05099081559728468,0.008280878116267815,0.019574785483668096,0.05741379702918451,0.019124995233938777,0.00016030005258502636,0.14092720037287615,0.4595493077700543,0.21586336671393902
0.4,0.004285030832297944,1.3399452809113647e-05,0.02378118864283865,0.05100004705522345,0.008282377298107678,0.019556272160304113,0.057424190880341223,0.019128457512356114,0.00016016558056576675,0.14079391507819028,0.4596325053166959,0.21590244534092357
0.41000000000000003,0.00428580500731927,1.3391965070801296e-05,0.023785485042203253,0.05100926123256012,0.008283873673770559,0.01953778749509755,0.05743456534272231,0.019131913331541125,0.00016007607855341406,0.1406608361057773,0.4597155471189014,0.2159414510708482
0.42,0.004286577805028062,1.3387200225674786e-05,0.023789773790705356,0.051018459018024064,0.008285367387336932,0.019519331443185253,0.05744492132994885,0.0191353629966869,0.0001600191236742898,0.14052796313264884,0.45979844119077334,0.21598038733805014
0.43,0.004287349276948385,1.3384437580727027e-05,0.023794055177721374,0.0510276410244458,0.008286858538363048,0.019500903959929088,0.05745525954111187,0.019138806740577535,0.0001599861013814839,0.14039529583743593,0.4598811930554122,0.2160192567710299
0.44,0.004288119464319205,1.338308594249639e-05,0.023798329433670405,0.05103680774251032,0.008288347206544752,0.01948250500082931,0.05746558053275459,0.019142244748561826,0.0001599699450547492,0.14026283389976565,0.45996380713485663,0.2160580614623006
