t,G3P
0.0,24.0
0.01,23.953680652720145
0.02,23.907379192587566
0.03,23.86109567180302
0.04,23.81483015101806
0.05,23.76858266490503
0.06,23.722353275808647
0.07,23.676142042024207
0.08,23.629949021846993
0.09,23.583774273572292
0.1,23.537617855495387
0.11,23.49147982591157
0.12,23.44536024311612
0.13,23.399259165404334
0.14,23.353176650905528
0.15,23.30711275337189
0.16,23.261067528148136
0.17,23.21504103231065
0.18,23.16903332293581
0.19,23.123044457099997
0.2,23.07707449187959
0.21,23.03112348435097
0.22,22.985191491590516
0.23,22.93927857067461
0.24,22.893384778773775
0.25,22.847510181028312
0.26,22.8016548414153
0.27,22.75581881944909
0.28,22.71000217464404
0.29,22.664204966514497
0.3,22.618427254574815
0.31,22.572669098339347
0.32,22.526930557322448
0.33,22.481211691038464
0.34,22.435512668424035
0.35000000000000003,22.38983329992817
0.36,22.344173810728645
0.37,22.29853426072367
0.38,22.25291471006468
0.39,22.207315219156325
0.4,22.16173584865649
0.41000000000000003,22.116176659476285
0.42,22.070637712780034
0.43,22.025119069985298
0.44,21.97962079276285
0.45,21.934142948081146
0.46,21.88868560644312
0.47000000000000003,21.843248832378304
0.48,21.797832690724995
0.49,21.752437246678593
0.5,21.70706256579161
0.51,21.661708713973677
0.52,21.61637575749153
0.53,21.57106376296902
0.54,21.525772797387106
0.55,21.480502928083872
0.56,21.435254222754498
0.5700000000000001,21.39002674945128
0.58,21.344820576583636
0.59,21.299635772918087
0.6,21.254472407578263
0.61,21.209330550044914
0.62,21.1642102701559
0.63,21.119111637571716
0.64,21.074034720241123
0.65,21.02897958826339
0.66,20.983946312338457
0.67,20.93893496349563
0.68,20.89394561309357
0.6900000000000001,20.8489783328203
0.7000000000000001,20.804033194693208
0.71,20.759110271059036
0.72,20.71420963459389
0.73,20.669331358303236
0.74,20.624475515521905
0.75,20.57964217991408
0.76,20.534831425473318
0.77,20.490043326522517
0.78,20.44527795771396
0.79,20.400535394029266
0.8,20.355815710779435
0.81,20.311118983543924
0.8200000000000001,20.2664452868276
0.8300000000000001,20.22179469605021
0.84,20.17716728748438
0.85,20.132563137714385
0.86,20.087982323636133
0.87,20.043424922457167
0.88,19.998891011696678
0.89,19.954380669185486
0.9,19.909893973066062
0.91,19.86543100179251
0.92,19.820991834130563
0.93,19.776576549157607
0.9400000000000001,19.73218522626267
0.9500000000000001,19.6878179451464
0.96,19.643474785821105
0.97,19.599155828610716
0.98,19.554861154150814
0.99,19.510590843388613
1.0,19.466344979002727
1.01,19.422123644860495
1.02,19.37792692342517
1.03,19.333754897488813
1.04,19.289607650183946
1.05,19.24548526498358
1.06,19.201387825701197
1.07,19.157315416490764
1.08,19.11326812184672
1.09,19.069246026603977
1.1,19.025249215937936
1.11,18.981277775364465
1.12,18.93733179073991
1.1300000000000001,18.893411348261104
1.1400000000000001,18.849516534465344
1.1500000000000001,18.805647436230416
1.16,18.761804140774576
1.17,18.717986735656563
1.18,18.674195284496555
1.19,18.63042993449778
1.2,18.586690742652635
