t,AU6,AU1
0.0,1.00132,1.00007
0.01,1.0013183526913825,1.0000681373260742
0.02,1.0013168053580448,1.0000663352402264
0.03,1.0013153521390081,1.0000645918564668
0.04,1.001313986743288,1.0000629050786267
0.05,1.0013127065799845,1.0000612739005774
0.06,1.0013115055379371,1.0000596961910526
0.07,1.0013103776350858,1.0000581698945203
0.08,1.0013093168893703,1.000056692955448
0.09,1.0013083182228892,1.0000552635387194
0.1,1.0013073803524735,1.000053880734298
0.11,1.0013064996928394,1.0000525430709377
0.12,1.0013056722800293,1.0000512489850792
0.13,1.0013048941500864,1.0000499969131638
0.14,1.001304162369183,1.0000487855065958
0.15,1.0013034754233916,1.0000476137130818
0.16,1.0013028304714493,1.0000464802033426
0.17,1.0013022246409466,1.0000453836415997
0.18,1.0013016550669713,1.0000443226941507
0.19,1.0013011199675814,1.0000432963271033
0.2,1.0013006177198447,1.0000423035505863
0.21,1.001300146127927,1.0000413432161253
0.22,1.0012997029959931,1.0000404141752453
0.23,1.0012992862411796,1.0000395153138875
0.24,1.0012988951736623,1.0000386459423654
0.25,1.001298528467814,1.0000378051773025
0.26,1.0012981844403657,1.0000369920263712
0.27,1.0012978614080483,1.0000362054972445
0.28,1.0012975576875938,1.0000354445975943
0.29,1.0012972715957325,1.0000347083350936
0.3,1.001297001579788,1.0000339957600621
0.31,1.001296747843382,1.0000333064963736
0.32,1.0012965098244706,1.0000326399178587
0.33,1.0012962864881163,1.0000319952439154
0.34,1.001296076799381,1.000031371693941
0.35000000000000003,1.0012958797233273,1.000030768487334
0.36,1.0012956942250173,1.0000301848434918
0.37,1.0012955193372568,1.0000296200113594
0.38,1.001295355089704,1.0000290736746769
0.39,1.0012952010983989,1.0000285453367765
0.4,1.00129505669792,1.0000280343782268
0.41000000000000003,1.001294921222845,1.0000275401795962
0.42,1.0012947940077523,1.0000270621214533
0.43,1.00129467438722,1.000026599584366
0.44,1.0012945617318063,1.0000261519699924
0.45,1.0012944559934693,1.000025719020768
0.46,1.0012943568955244,1.000025300345113
0.47000000000000003,1.0012942639891587,1.0000248954505575
0.48,1.001294176825558,1.0000245038446316
0.49,1.0012940949559095,1.000024125034865
0.5,1.0012940179313996,1.0000237585287874
0.51,1.001293945330576,1.0000234038519673
0.52,1.0012938772094193,1.0000230608447287
0.53,1.0012938134199372,1.0000227292129225
0.54,1.0012937536597526,1.0000224085606195
0.55,1.0012936976264892,1.0000220984918906
0.56,1.0012936450177703,1.0000217986108066
0.5700000000000001,1.0012935955312197,1.0000215085214388
0.58,1.0012935488644603,1.0000212278278575
0.59,1.0012935047151157,1.0000209561341338
0.6,1.0012934628596124,1.000020693101228
0.61,1.0012934235447226,1.000020438729652
0.62,1.001293386693158,1.0000201927859724
0.63,1.0012933521474119,1.0000199549788444
0.64,1.0012933197499787,1.000019725016924
0.65,1.0012932893433522,1.000019502608867
0.66,1.0012932607700258,1.0000192874633282
0.67,1.0012932338724938,1.0000190792889643
0.68,1.00129320849325,1.00001887779443
0.6900000000000001,1.0012931845468824,1.0000186827690556
0.7000000000000001,1.001293162124593,1.0000184941998012
0.71,1.0012931411483406,1.0000183118842438
0.72,1.0012931215263625,1.0000181356046067
0.73,1.0012931031668961,1.000017965143113
0.74,1.0012930859781792,1.000017800281985
0.75,1.0012930698684495,1.0000176408034467
0.76,1.001293054745944,1.0000174864897204
0.77,1.001293040518901,1.0000173371230296
0.78,1.0012930222056295,1.0000171791032852
0.79,1.0012930113698169,1.0000170438581086
0.8,1.0012930009397651,1.0000169121197973
0.81,1.0012929909154746,1.0000167838883511
0.8200000000000001,1.001292981296945,1.0000166591637705
0.8300000000000001,1.0012929720841766,1.000016537946055
0.84,1.001292963277169,1.0000164202352047
0.85,1.0012929548759224,1.0000163060312197
0.86,1.0012929468803957,1.0000161953327893
0.87,1.0012929392844254,1.0000160879447024
0.88,1.0012929320835993,1.0000159837272005
0.89,1.001292925277917,1.0000158826802832
0.9,1.0012929188673791,1.0000157848039506
0.91,1.0012929128519852,1.0000156900982027
0.92,1.0012929072317354,1.0000155985630395
0.93,1.0012929020066297,1.000015510198461
0.9400000000000001,1.0012928971766681,1.0000154250044673
0.9500000000000001,1.0012928927418507,1.000015342981058
0.96,1.0012928886324883,1.0000152637949147
0.97,1.0012928847427358,1.0000151869397853
0.98,1.001292881071491,1.000015112410399
0.99,1.001292877618754,1.0000150402067558
1.0,1.0012928743845249,1.000014970328856
1.01,1.0012928713688036,1.0000149027766991
1.02,1.00129286857159,1.0000148375502855
1.03,1.0012928659928846,1.0000147746496149
1.04,1.0012928636326865,1.0000147140746876
1.05,1.0012928627795579,1.0000146627698485
1.06,1.0012928603047226,1.0000146038734263
1.07,1.0012928580267701,1.0000145471862034
1.08,1.001292855932891,1.0000144926391497
1.09,1.0012928540102766,1.0000144401632343
1.1,1.0012928522461177,1.000014389689427
1.11,1.0012928506276055,1.0000143411486973
1.12,1.0012928491419308,1.000014294472015
1.1300000000000001,1.0012928477762848,1.0000142495903492
1.1400000000000001,1.0012928465199515,1.0000142064321533
1.1500000000000001,1.001292845374059,1.00001416491164
1.16,1.0012928443300924,1.0000141249546166
