t,Z,Y,A
0.0,0.15,1.0,0.42
0.01,0.15066664056986023,1.016301712819608,0.43142427543590095
0.02,0.15152189708378425,1.032338504954768,0.4428271449974826
0.03,0.15254330430057697,1.0481151349344198,0.45420747663622674
0.04,0.15371272810975373,1.0636340737148333,0.46556409004310945
0.05,0.15501567848050687,1.0788957622416218,0.476895744681787
0.06,0.15644079048836357,1.0938988021595775,0.4882011273395622
0.07,0.15797939556187937,1.1086401050856802,0.49947883912271723
0.08,0.15962513146873028,1.1231150200874076,0.5107273806713577
0.09,0.1613736341009475,1.1373174230171734,0.5219451363440906
0.1,0.1632223337632547,1.1512397540773511,0.5331303576855619
0.11,0.16517024404132236,1.1648730420661242,0.544281142824488
0.12,0.16721782992789183,1.1782068889413717,0.5553954142096417
0.13,0.16936691621684397,1.1912294225846478,0.5664708925894245
0.14,0.17162062595984406,1.203927223785713,0.5775050675417142
0.15,0.17398336155320968,1.2162852167287148,0.5884951622572406
0.16,0.17646083427856626,1.2282865169393764,0.5994380919366613
0.17,0.1790600833798304,1.2399122692487718,0.6103304167443132
0.18,0.18178957297573078,1.2511414205999527,0.6211682839578728
0.19,0.18465930176273443,1.261950462221172,0.6319473608299634
0.2,0.18768095650037658,1.272313113622661,0.6426627527035911
0.21,0.1908681063939054,1.2821999508442852,0.6533089056650176
0.22,0.19423644194027873,1.2915779685883608,0.6638794900115581
0.23,0.19780407018507884,1.3004100568923969,0.6743672567672541
0.24,0.2015918725309737,1.308654382443268,0.6847638627982789
0.25,0.20562391248542342,1.3162636959290877,0.6950596731013613
0.26,0.20992797318999531,1.3231844284698144,0.7052434810483924
0.27,0.21453612300840544,1.329355751586088,0.7153022205102489
0.28,0.21948546327998159,1.3347083373447888,0.7252205486926354
0.29,0.22481891600287962,1.3391630587837846,0.7349804083957586
0.3,0.23058623216064747,1.34262932011347,0.7445604105367121
0.31,0.23684505613505788,1.3450032851964566,0.7539351660287822
0.32,0.2436622095593676,1.3461657189286615,0.7630744054292041
0.33,0.251115024871805,1.3459796846603178,0.771941991951193
0.34,0.25929285070388275,1.3442879083284478,0.7804947312293583
