t,Per_m,PT_n,CC_n,Per_c,Tim_c,PT_c,Tim_m,Clk_m,Clk_c,CC_c
0.0,0.5,1.0,0.4,0.6,0.8,0.9,0.7,0.1,0.2,0.3
0.01,0.4986460141855292,1.0004057647281468,0.39919288098968186,0.6049651547312216,0.8056802841486099,0.8874107155794989,0.6979170130000268,0.10802004748142295,0.1990533800196689,0.2935549813121887
0.02,0.4972894253952896,1.0007592047307403,0.3983492831517793,0.6096319272929538,0.811060330188404,0.8751690435045134,0.6958314207592572,0.11594246232361731,0.1980636599697959,0.2872680159568744
0.03,0.4959302886750098,1.0010614221883296,0.39747009712145304,0.614011078264396,0.816150735104778,0.8632635504635572,0.6937432785682983,0.12377454359080796,0.19703397740741907,0.28113506589043546
0.04,0.49456865777328446,1.0013134984062566,0.3965561990668138,0.6181130675493614,0.8209618062876896,0.8516830938726702,0.6916526405328949,0.13152273358688626,0.19596736439887133,0.27515221694769054
0.05,0.4932045851605997,1.0015164949229234,0.395608452150664,0.621948068233808,0.825503574333762,0.8404168095565024,0.6895595595939994,0.13919274491871336,0.19486675190496375,0.26931566999789475
0.06,0.4918381219618494,1.0016714527714183,0.3946277063975392,0.6255259650577727,0.8297857905731253,0.8294541164423861,0.6874640874575831,0.14678967845248125,0.19373497031503573,0.26362173764555913
0.07,0.49046931793545756,1.0017793924286562,0.3936147990112288,0.6288563598100516,0.8338179315506188,0.81878471362584,0.6853662745706932,0.15431811984969654,0.1925747522556066,0.2580668389476699
0.08,0.48909822141989434,1.0018413131702406,0.3925705542498776,0.6319485677804584,0.8376091949875157,0.8083985858374108,0.6832661700685843,0.16178219563203455,0.19138873223071184,0.2526474981190569
0.09,0.48772487931888997,1.0018581929772081,0.39149578363184145,0.6348116217972607,0.8411685031428382,0.7982860013252506,0.6811638217578191,0.16918563678900056,0.19017944886605692,0.2473603404660472
0.1,0.4863493370894274,1.0018309884082677,0.3903912860507824,0.6374542748307237,0.8445045049265731,0.7884375107232051,0.6790592761029192,0.17653182279932814,0.18894934650939452,0.24220208948485453
0.11,0.4849716387284894,1.0017606344454675,0.38925784795576945,0.6398850043882538,0.8476255795756021,0.7788439447982235,0.6769525782110152,0.18382384392539886,0.18770077778518138,0.23716956243580842
0.12,0.48359182678484447,1.0016480445586868,0.3880962434335114,0.6421120157126902,0.8505398396393141,0.7694964118311527,0.6748437718425903,0.1910645128245335,0.18643600506856553,0.23225966851925564
0.13,0.4822099423607731,1.0014941106852269,0.3869072343657636,0.6441432463715635,0.8532551350531022,0.7603862945092914,0.6727328994114227,0.198256405601241,0.18515720275010172,0.22746940531245016
0.14,0.4808260251247225,1.0012997033044735,0.38569157057132747,0.6459863710557071,0.8557790575600003,0.751505246158206,0.6706200019956499,0.20540188787627306,0.1838664593484966,0.22279585577725958
0.15,0.4794401133298777,1.0010656715619686,0.38444998994164525,0.647648806645654,0.8581189454431116,0.7428451865464858,0.6685051193547802,0.21250313657959075,0.1825657796641841,0.21823618544137216
0.16,0.4780522438350899,1.000792843416409,0.38318321857910936,0.6491377174238258,0.8602818884214282,0.7343982974763701,0.6663882899490782,0.21956216011164148,0.18125708689643677,0.21378763961225353
0.17,0.4766624521318862,1.0004820258439124,0.38189197093601024,0.6504600206615223,0.8622747329621927,0.7261570178364024,0.6642695509650609,0.22658081437663402,0.1799422247774922,0.20944754071540983
0.18,0.47527077237286314,1.0001340050600511,0.3805769499541799,0.6516223922810986,0.8641040876811955,0.7181140385258661,0.662148938342412,0.23356081790874683,0.1786229596808057,0.20521328568752795
0.19,0.4738772373955481,0.9997495466955643,0.3792388472026807,0.652631272229455,0.865776328419151,0.7102622978044285,0.6600264867963238,0.24050377032861336,0.17730098274576822,0.2010823432621795
0.2,0.4724818787744978,0.9993293962541059,0.3778783430162039,0.653492871393252,0.8672976050706165,0.7025949742638142,0.657902229868357,0.2474111519513869,0.17597791189340145,0.19705225199098192
0.21,0.4710847268381801,0.9988742792203066,0.3764961066335026,0.6542131765996216,0.8686738462382618,0.6951054827477814,0.6557761999417456,0.2542843466478714,0.1746552939655339,0.19312061735588804
0.22,0.46968581072225907,0.9983849015481668,0.37509279633192216,0.6547979573813614,0.8699107659384848,0.6877874673539316,0.6536484282936358,0.2611246407739345,0.17333460658763755,0.18928511000632364
0.23,0.46828515839699536,0.9978619498696999,0.3736690595664719,0.6552527715913933,0.8710138689434253,0.6806347964485742,0.6515189451209723,0.26793323904812205,0.17201726030419265,0.18554346310618242
0.24,0.46688279671586147,0.9973060919544356,0.37222553310082085,0.6555829717319023,0.871988457034362,0.6736415561609236,0.6493877795881811,0.274711265920663,0.1707046003597691,0.1818934706233936
0.25,0.4654787514514233,0.9967179770097881,0.3707628431448635,0.6557937109429589,0.8728396347877284,0.666802044740717,0.6472549598616919,0.2814597759313551,0.16939790874150865,0.17833298496973915
0.26,0.464073047339724,0.9960982361048693,0.3692816054837579,0.6558899489901586,0.8735723154667809,0.6601107664764436,0.6451205131534289,0.2881797571170769,0.16809840593169012,0.1748599152695393
0.27,0.46266570812169855,0.9954474825443503,0.3677824256116267,0.6558764583460771,0.8741912269609267,0.6535624257104415,0.6429844657610948,0.29487213724103656,0.16680725280828182,0.17147222532982
0.28,0.46125675658455456,0.994766312264138,0.36626589886053945,0.6557578300017572,0.8747009174852044,0.6471519210043054,0.6408468431086558,0.3015377884573957,0.16552555240393496,0.16816793185956408
0.29,0.4598462146052873,0.9940553042517292,0.36473261052863504,0.6555384793510979,0.8751057613707525,0.6408743391550955,0.6387076697890098,0.3081775306979977,0.1642543516316453,0.16494510277644103
0.3,0.45843410319111116,0.9933150209359939,0.3631831360084014,0.6552226518929738,0.8754099646556043,0.63472494947145,0.6365669696035609,0.3147921363618449,0.16299464302521643,0.16180185545338002
0.31,0.4570204425218865,0.9925460086193235,0.36161804091011196,0.6548144287728535,0.8756175705583168,0.6286991980341515,0.6344247656040359,0.32138233241603203,0.1617473663260609,0.15873635526323962
