t,C,X,Z,M,Y
0.0,0.01,0.01,0.28,0.01,0.01
0.01,0.010980758145644006,0.009935830745844802,0.27581400258772293,0.009441193449944879,0.015165808348270188
0.02,0.01196041780682428,0.009870744826450213,0.27169169046761643,0.008936337014896142,0.020265572201090463
0.03,0.01293905827644982,0.009804898294777892,0.2676322252423323,0.00848313143472614,0.025300160446816294
0.04,0.013916748640215889,0.00973843348380742,0.2636348094872332,0.008079238375554378,0.03027039946758202
0.05,0.01489355285160755,0.009671486845189628,0.2596986464351704,0.007722212898923294,0.035177114924895336
0.06,0.015869529260261448,0.009604186848142343,0.25582294866128447,0.007409553274695831,0.040021122759208126
0.07,0.016844731152363124,0.009536653922115796,0.2520069380100294,0.007138732124169437,0.04480322926710131
0.08,0.017819207360400602,0.009469000599641139,0.24824984536621905,0.006907228414816928,0.04952423134083357
0.09,0.018793002964410038,0.00940133200135822,0.24455091014757385,0.006712558394736241,0.05418491699760925
0.1,0.01976615930155317,0.009333745581779776,0.2409093807899226,0.00655229387518369,0.05878606487576171
0.11,0.020738714400569472,0.009266331499904289,0.2373245144970502,0.006424083500200477,0.06332844449601799
0.12,0.021710703265500012,0.009199172908565157,0.233795577164136,0.00632566808225078,0.06781281634207319
0.13,0.022682158140139914,0.009132346222099337,0.2303218433061861,0.006254894854443353,0.07223993193590383
0.14,0.023653108721699505,0.009065921532461739,0.22690259597272813,0.00620972297848565,0.07661053392733266
0.15,0.02462358257207793,0.008999963051529879,0.22353712663153744,0.006188244154450676,0.08092535621633791
0.16,0.025593604978700016,0.008934529354110057,0.22022473515596563,0.006188661435930077,0.08518512396601212
0.17,0.026563199332663233,0.008869673827260892,0.21696472970783148,0.006209306061202598,0.08939055372566686
0.18,0.027532387219984848,0.008805445023353349,0.21375642666056105,0.006248629386835139,0.09354235351127067
0.19,0.028501188600973906,0.008741887032446317,0.21059915052000494,0.006305204482310086,0.09764122288853183
0.2,0.029469621903710594,0.008679039832391456,0.20749223384501175,0.006377717477076189,0.10168785305602339
0.21,0.030437704159099903,0.008616939631686305,0.2044350171677225,0.0064649645862063215,0.10568292692868675
0.22,0.03140545109742284,0.008555619199193988,0.20142684891384643,0.006565844508881954,0.10962711922126347
0.23,0.03237287723277935,0.008495108115909358,0.19846708532358137,0.0066793523946166375,0.11352109653101206
0.24,0.03333999598895856,0.008435433138873759,0.19555509037160662,0.00680457475508003,0.11736551742151267
0.25,0.03430681975997204,0.008376618420636752,0.19269023568881796,0.006940682192511723,0.12116103250446325
0.26,0.03527335993748475,0.008318685660915103,0.18987190048481117,0.007086920692809571,0.1249082845205986
0.27,0.03623962706372051,0.008261654515163006,0.18709947146727052,0.0072426080538828,0.12860790842420303
0.28,0.037205630810090075,0.00820554258162854,0.18437234276772915,0.0074071276682243945,0.13226053146044253
0.29,0.038171380095416055,0.008150365766777093,0.1816899158609515,0.007579921634979723,0.13586677324979435
0.3,0.03913688310838179,0.008096138359455383,0.17905159949024077,0.00776048684952571,0.1394272458659757
0.31,0.040102147349489435,0.008042873170175246,0.17645680959119095,0.007948369985464582,0.14294255391556318
0.32,0.04106717970834999,0.007990581780292758,0.1739049692133108,0.008143161258862218,0.14641329461994945
0.33,0.04203198645747481,0.00793927450929824,0.17139550844920012,0.008344493526346185,0.14984005788912005
0.34,0.04299657333442471,0.007888960688725221,0.16892786435465637,0.00855203474288596,0.15322342640522119
0.35000000000000003,0.04396094554814567,0.007839648661327475,0.16650148087815392,0.008765487204383632,0.15656397569605368
0.36,0.04492510781695075,0.007791345898531217,0.16411580878591275,0.00898458364761548,0.1598622742132958
0.37,0.04588906440887965,0.00774405912707259,0.1617703055874617,0.009209083325709454,0.1631188834102128
0.38,0.04685281914354801,0.007697794310520996,0.15946443546752184,0.009438772226365163,0.16633435781261008
0.39,0.047816375456511725,0.007652556864891551,0.15719766920586078,0.009673456152127854,0.16950924510261486
0.4,0.04877973641295652,0.007608351684449997,0.15496948410711672,0.009912959632095403,0.17264408619182922
0.41000000000000003,0.04974290470779665,0.007565183110010505,0.15277936393723213,0.010157127078855147,0.17573941528750328
0.42,0.05070588268588489,0.0075230549800575424,0.15062679885084865,0.010405820726757746,0.17879575996825944
0.43,0.05166867235758849,0.007481970664304476,0.14851128531949265,0.010658919072715331,0.18181364125897176
0.44,0.05263127541607737,0.007441933105838275,0.14643232606371667,0.010916315671802046,0.18479357370149582
0.45,0.05359369333388971,0.007402945188151686,0.14438942997613177,0.011177909133622202,0.18773606543519905
0.46,0.05455592728379187,0.0073650093862911185,0.14238211206290052,0.011443612228028845,0.19064161825758288
0.47000000000000003,0.05551797816533356,0.007328127850820388,0.1404098933747918,0.01171334951691512,0.19351072769617994
0.48,0.05647984664442982,0.007292302532167865,0.13847230093812152,0.011987053622629603,0.196343883080624
0.49,0.05744153317643232,0.007257535243144243,0.136568867687565,0.012264663292442073,0.19914156761270035
0.5,0.05840303798327785,0.0072238275580629365,0.1346991324028054,0.01254612640451497,0.20190425843220666
0.51,0.059364361076849594,0.007191180876347121,0.1328626396423618,0.012831398003236186,0.2046324266859399
