t,deltaPsi,NADH_x,Q_x,Cox_x,ATP_x,ATP_mx,ADP_x,ADP_mx,pH_x,K_x,Mg_x,PI_x,ATP_i,ATP_mi,ADP_i,ADP_mi,AMP_i,PI_i,Mg_i,ATP_c,ADP_c,AMP_c,ATP_mc,ADP_mc,PI_c,Mg_c,PCr_c
0.0,166.67,0.0015723,0.000675,0.00135,0.0026657,0.0026046,0.0073343,0.0054765,7.0,0.14661,0.0010229,0.000172,0.0065339,0.0063812,6.5773e-05,4.8866e-05,2.8837e-07,0.000172,0.0010029,0.0081312,6.85e-05,3.0911e-07,0.0079786,5.1958e-05,0.0087702,0.001003,0.023589
0.01,171.46080715076047,0.001465147802418633,0.0005573188191059083,0.0018777935350286227,0.0031537686736114495,0.0030755865190417973,0.006846231326388559,0.005052356519763292,6.99455515233118,0.14692246643213464,0.0009760569611949188,0.00022529489096640177,0.00815078008728244,0.0072301898797775994,4.057761679273952e-05,1.4283341422367609e-05,8.747262910812187e-08,0.008680904533082852,0.00018849277880003473,0.00815146593044723,3.989468171070695e-05,8.456454135409616e-08,0.007967017667794056,2.9889655895254346e-05,0.00869850628019973,0.0010366506763106974,0.023559496121922516
0.02,168.22340683251664,0.0013440385377951937,0.00042537404315609264,0.0021240534264556875,0.0035129962625427597,0.003423457973474053,0.006487003737457252,0.004740060924231366,6.98942983410126,0.14742050044355848,0.0009404811022945945,0.0003974969107919526,0.008150896295164998,0.007230242801045081,4.046190530998642e-05,1.4242017196361324e-05,8.69762243306349e-08,0.00865592647913337,0.0001884811817585596,0.00815146503957573,3.989556900638619e-05,8.456811719709343e-08,0.007967016826216497,2.9890322697356914e-05,0.008673139930363347,0.0010366508510861528,0.023559260065438254
0.03,165.5856065221762,0.0012312900694216172,0.0003012914782540036,0.0022585832278965556,0.003802551981665701,0.003703260736022657,0.00619744801833431,0.004489475111425745,6.985815146335141,0.14799619464194247,0.0009112641525516128,0.0006248963439534475,0.008150971676740905,0.007230277130253684,4.038684497741809e-05,1.4215210959125652e-05,8.665498099225467e-08,0.008631740289439983,0.0001884736587871928,0.008151464285668873,3.989631984872921e-05,8.457118171241201e-08,0.007967016114261524,2.9890886804985904e-05,0.008648434088385202,0.0010366509989334968,0.023559060319614366
0.04,163.4445060671987,0.0011521123437362758,0.00021162267267513444,0.0023336287765153983,0.004026572979395922,0.00391929642595369,0.005973427020604089,0.0042963859109208516,6.982253641091403,0.14863086020681013,0.0008883176631254759,0.0008997245917855569,0.008151014998698932,0.007230296859240796,4.034370736193348e-05,1.4199805461714581e-05,8.647063844703928e-08,0.008608525992347155,0.00018846933529749216,0.008151463615667442,3.9896987087390746e-05,8.457394448015016e-08,0.00796701548178688,2.9891387946452322e-05,0.0086245777239582,0.0010366511302666744,0.02355888282266399
0.05,161.74656721538562,0.0011051055321333247,0.00015667456392675803,0.002372836193707744,0.004203068899723655,0.004089115366373757,0.005796931100276356,0.004144850252599996,6.979272017713512,0.14931201525944696,0.0008700343810262625,0.0012010934678610505,0.008151047015638156,0.007230311427787535,4.031182652388895e-05,1.4188428705891111e-05,8.63345372717337e-08,0.008586382818333162,0.00018846614350657702,0.008151462997617084,3.989760257595589e-05,8.457650627652857e-08,0.007967014898436441,2.9891850167521434e-05,0.008601718108942233,0.0010366512513960426,0.023558719096172534
0.06,160.4531182611878,0.001078644470710088,0.00012593283526845286,0.0023894822011758005,0.0043546019222695615,0.004234562419420676,0.005645398077730449,0.004015239109813129,6.977245776246367,0.15001193614428054,0.0008541984707662105,0.0015051483847549308,0.008151088472024852,0.007230330279573936,4.027054620404817e-05,1.4173706312032534e-05,8.615847041831696e-08,0.008565311563825655,0.0001884620141140347,0.008151462430948097,3.9898166915954315e-05,8.457883526727045e-08,0.007967014363459252,2.9892274055269893e-05,0.008579917883672503,0.0010366513624854845,0.023558568975133483
0.07,159.51638606619497,0.0010623136229664229,0.00010921204777107166,0.0023924730425052675,0.0044981178470838625,0.004372003898420776,0.005501882152916148,0.0038929169130492393,6.976053596366915,0.1507014336531947,0.0008390791885300012,0.001795179084359502,0.00815115087643523,0.007230358657915425,4.0208406496640526e-05,1.415154421648145e-05,8.589376744690619e-08,0.008545250580933464,0.00018845579786809654,0.008151461938589653,3.989865729412744e-05,8.458081553893682e-08,0.007967013898366055,2.9892642560533798e-05,0.008559159822220622,0.0010366514590734177,0.023558438524700458
0.08,158.8804252680571,0.0010502206285578153,0.00010023914198878485,0.0023880438126035928,0.004642578813039185,0.004510069773689913,0.0053574211869608255,0.003770196868162678,6.975373461877567,0.1513610971564765,0.0008237333581474259,0.0020633635107307883,0.00815123645597445,0.007230397580168641,4.012318930762613e-05,1.4121148307868813e-05,8.553141724094039e-08,0.00852611685038375,0.0001884472715234938,0.00815146155285202,3.989904154041799e-05,8.458230688015182e-08,0.007967013533612581,2.9892931549869772e-05,0.008539380556978202,0.0010366515348375568,0.023558336300632744
0.09,158.48940379773393,0.0010397798805808981,9.579021112467275e-05,0.0023803233168927123,0.004791434360420477,0.004652053703376929,0.0052085656395795335,0.0036441656831724804,6.974939340067463,0.15198228613566597,0.000807780613450607,0.00230772352327869,0.008151342203408043,0.0072304456788946005,4.001788856081905e-05,1.4083586590873096e-05,8.508473045620212e-08,0.008507827517741819,0.0001884367345145302,0.008151461304926355,3.989928859048243e-05,8.458318247960287e-08,0.007967013298652924,2.9893117685528386e-05,0.008520500996346077,0.0010366515836615574,0.023558270565575055
