t,RP_LH,LH,RP_FSH,FSH
0.0,467.0,40.0,0.0,150.0
0.01,575.152635442011,36.94546428659093,34.31474927588773,138.29535886388993
0.02,680.1343659330249,34.740515696954596,68.01260785167197,127.74860506750443
0.03,781.9832741917137,33.26375834566302,101.08686256935377,118.27103924627993
0.04,880.7384731586886,32.40971536102984,133.53098709234388,109.78088014831332
0.05,976.4400508049164,32.08675970405835,165.33865392325288,102.20271655102333
0.06,1069.12901426102,32.215307250110925,196.50374648610818,95.467000047705
0.07,1158.8472334781707,32.726245627764335,227.02037123407788,89.50957793180692
0.08,1245.6373844783614,33.55957494486697,256.8828697753324,84.27126407803722
0.09,1329.542892381621,34.663216839647546,286.0858309890347,79.69744208104365
0.1,1410.6078743144903,35.9919853376047,314.62410310917926,75.73770072661661
0.11,1488.8770823580567,37.506689968395634,342.4928057486256,72.34549791077022
0.12,1564.395846667566,39.17335577116236,369.6873418364276,69.47785105026881
0.13,1637.2100188900008,40.96254561580172,396.20340944152167,67.09505201785684
0.14,1707.3659160127368,42.848770466157056,422.0370134527943,65.16040454974326
0.15,1774.9102647633515,44.809976596097,447.1844770864198,63.639982418446415
0.16,1839.890146676108,46.82709982467365,471.64245319051923,62.502406766782286
0.17,1902.3529439389024,48.88367769314656,495.40793531571126,61.718641071511826
0.18,1962.3462861262553,50.96551220375019,518.478268520027,61.261802372283
0.19,2019.917997919649,53.06037636360106,540.8511598755748,61.10698747784721
0.2,2075.116047900969,55.157759329433674,562.52468864712,61.231113082321826
0.21,2127.988498525301,57.24864387104025,583.4973161029909,61.61276846621361
0.22,2178.5834573360253,59.325313164057164,603.7678949313645,62.23208003677861
0.23,2226.9490294959037,61.381183142211235,623.3356782283129,63.070586791099934
0.24,2273.1332717112805,63.410656150300426,642.2003280207718,64.11112570232639
0.25,2317.1841476087325,65.40899325185867,660.3619232916403,65.33772629829141
0.26,2359.149484612727,67.37220357866279,677.820967475343,66.73551379362459
0.27,2399.076932372371,69.29694776945477,694.5783953904102,68.29062006953565
0.28,2437.0139227785553,71.1804538189557,710.6355795762479,69.99010189254788
0.29,2473.007631604125,73.02044394145948,725.9943360023797,71.82186583260889
0.3,2507.1049417971635,74.8150706797412,740.6569291186744,73.7745993285222
0.31,2539.352408441692,76.56286134269615,754.6260762168423,75.83770748350402
0.32,2569.796225408811,78.26266946883197,767.9049510730099,78.00125509232636
0.33,2598.482193701915,79.91363255019573,780.4971868437423,80.25591353264741
0.34,2625.455691499412,81.51513514324466,792.4068781887775,82.59291214949516
0.35000000000000003,2650.7616458975444,83.06677663368228,803.6385825941784,85.00399376103069
0.36,2674.4445063417293,84.56834313383558,814.1973208727401,87.48137399747807
0.37,2696.548219734703,86.01978292221662,824.0885768200145,90.01770417449505
0.38,2717.116207209447,87.42118495578605,833.3182960044163,92.60603741288831
0.39,2736.191342542874,88.7727600979419,841.8928836743858,95.23979777594461
0.4,2753.8159321841313,90.07482470169815,849.8192017667783,97.91275218451638
0.41000000000000003,2770.0316968741668,91.3277862291784,857.1045650029113,100.61898490028238
0.42,2784.879754828544,92.53213053444344,863.7567360550972,103.35287432025908
0.43,2798.4006064312016,93.68841103663145,869.7839197946578,106.10907209858776
0.44,2810.6341204207083,94.79723882916224,875.1947565861453,108.88248408604086
0.45,2821.6195215456605,95.85927438172794,879.9983146547964,111.66825337094178
0.46,2831.3953795614075,96.87521978410092,884.2040815002917,114.46174467152578
0.47000000000000003,2839.99959968701,97.84581242511406,887.8219543838054,117.25853073800666
