t,r_B,xc,xb,xy,x_no,x_pge,x_opg,xr,x_kl
0.0,0.9912,0.0009127,0.0007282,0.0073,0.02,0.01,0.01,0.0007734,0.01
0.01,0.9911919099603662,0.0010243671514922053,0.0007281504507804049,0.007299999983298254,4.730060725908712,0.181158775741033,0.7504584753077774,0.0007736102063630617,4.877970017217635
0.02,0.9911717428617182,0.0011356986817964519,0.0007280130310871736,0.007299999872311552,4.730455525133283,0.24605497760896541,1.557995358806153,0.0007741216193702902,8.06818408954814
0.03,0.9911396578403975,0.0012466301798926703,0.0007278021648591472,0.007299999588045849,4.730750320409289,0.2699387702753102,2.3846948889533994,0.0007748460134030462,10.389075417370268
0.04,0.9910958188353204,0.0013571091032315659,0.0007275290898213416,0.007299999064966438,4.73115737105654,0.27873914729551996,3.22978299173411,0.0007757425358300824,12.075559539533588
0.05,0.99104039352257,0.0014670900129344826,0.0007272027478867951,0.00729999824816926,4.731675054645181,0.2819948576815626,4.0925267403785925,0.0007767891785409497,13.298996565403161
0.06,0.9909735526186537,0.0015765324753831515,0.0007268303765160483,0.007299997091304292,4.732301805001107,0.2832149655655243,4.972233460598651,0.0007779718233541957,14.184418469819285
0.07,0.9908954693577701,0.0016854000151390663,0.0007264179180072998,0.007299995555010282,4.733036009483796,0.2836903046593295,5.868249614103005,0.0007792800167548233,14.823061916557883
0.08,0.9908063190642367,0.0017936595042145845,0.0007259703116777846,0.0072999936057100475,4.733876021225708,0.28389569228173117,6.7799588395615284,0.0007807052699925782,15.281504263118444
0.09,0.9907062787855373,0.0019012807490986544,0.0007254917076756277,0.007299991214666731,4.734820247016482,0.2840057419222624,7.7067797534762725,0.0007822403234703334,15.608327890488994
0.1,0.9905955269693503,0.0020082361795077156,0.0007249856265408814,0.007299988357233611,4.7358670341211715,0.28408463155587216,8.648163753404093,0.0007838787912404006,15.838982509623008
0.11,0.9904742431752436,0.0021145005973388833,0.0007244550803223113,0.007299985012250137,4.737014743704507,0.28415590657122153,9.603592909293674,0.0007856149638931024,15.999333148459733
0.12,0.9903426078149272,0.0022200509658125266,0.0007239026659088776,0.007299981161549755,4.738261809361714,0.28422816777176096,10.572577974221696,0.0007874436834293711,16.10825060585551
0.13,0.9902008019168008,0.002324866227651001,0.000723330637963933,0.007299976789554249,4.739606538946342,0.2843045179888715,11.554656517805585,0.0007893602548961349,16.179503094453267
0.14,0.9900490069121339,0.0024289271474120526,0.0007227409663367915,0.007299971882938292,4.741047345655138,0.28438603629659287,12.54939119641681,0.0007913603797827965,16.223134120982206
0.15,0.9898874044392932,0.002532216170598312,0.0007221353821544474,0.007299966430346286,4.742582601298768,0.2844730587429354,13.556368123877753,0.000793440103058106,16.246472154453663
0.16,0.9897161761586438,0.0026347173003906112,0.0007215154146664794,0.007299960422155781,4.7442106792109975,0.28456564762665454,14.575195390755733,0.0007955957706850017,16.254863683835886
0.17,0.9895355036144373,0.0027364159818643935,0.0007208824217859303,0.007299953850272009,4.745930019030403,0.28466376497121054,15.605501584065614,0.0007978239934479384,16.25221232069615
0.18,0.9893455680311366,0.002837299007281736,0.0007202376141403606,0.007299946707959358,4.747739000184522,0.2847673361855378,16.64693462303366,0.0008001216187580658,16.241366741160174
0.19,0.9891465502540999,0.0029373544156363323,0.0007195820763241915,0.007299938989686364,4.749636011143284,0.28487627353136286,17.69916035032412,0.0008024857037725367,16.22440962801153
0.2,0.9889386305209142,0.0030365714189290348,0.0007189167829467654,0.007299930691002924,4.751619526050018,0.2849904847029429,18.761861635776764,0.0008049134962628742,16.20286263005495
0.21,0.988721988448285,0.0031349403157448765,0.0007182426137521042,0.0072999218084220645,4.753687861543291,0.2851098762722286,19.834737095003806,0.0008074024141305001,16.177840713382516
0.22,0.9884968028797904,0.003232452426145175,0.0007175603651399482,0.0072999123393254215,4.755839678782993,0.2852343543487452,20.9175002185236,0.0008099500306044602,16.15016127228501
0.23,0.9882632517188662,0.003329100028261651,0.000716870760138471,0.007299902281876039,4.758073226632251,0.285363825932578,22.009878560565088,0.0008125540611368917,16.12042505398038
0.24,0.988021511899675,0.0034248762953112246,0.000716174457367817,0.007299891634941956,4.760387059665364,0.2854981982537456,23.111612773645916,0.0008152123503619114,16.089074985592248
0.25,0.9877717594035904,0.003519775237545903,0.0007154720587073316,0.007299880398029135,4.7627796187176275,0.2856373792815471,24.2224556992111,0.0008179228604212461,16.056439061118247
0.26,0.9875141689792045,0.0036137916568132486,0.0007147641150259253,0.007299868571221647,4.765249418096021,0.2857812776679569,25.342171903200338,0.0008206836637475674,16.02276122213996
0.27,0.9872489142161166,0.0037069210838233113,0.0007140511327555459,0.007299856155121061,4.767794946970807,0.28592980280726027,26.47053665465746,0.0008234929317390248,15.988224865682131
0.28,0.9869761674047959,0.003799159762193944,0.0007133335768551992,0.007299843150818557,4.770414725294269,0.28608286483884166,27.60733573613356,0.0008263489313731599,15.952967076801992
0.29,0.986696099517347,0.003890504579154033,0.0007126118766595321,0.007299829559832079,4.773107277551511,0.28624037466844954,28.752364446717724,0.000829250014731656,15.917093238192175
0.3,0.9864088801396922,0.003980953035616425,0.0007118864289474414,0.007299815384074986,4.775871143166477,0.28640224398031,29.90542717257565,0.0008321946141359258,15.88068463397915
0.31,0.9861146774155732,0.004070503211810066,0.0007111576010031518,0.007299800625822797,4.778704876516962,0.2865683852527015,31.06633689893868,0.0008351812369475406,15.84380475297979
0.32,0.9858136580048266,0.0041591537310244585,0.0007104257335225809,0.007299785287680537,4.7816070442651695,0.28673871176936216,32.234914694241205,0.0008382084603265126,15.806504073207496
