t,R,I_1,O,A,I_2
0.0,1.0,0.0,0.0,0.0,0.0
0.01,0.8078647513280588,0.0026897388624696206,0.12375033974953197,0.06524522857724856,0.0003775089916706695
0.02,0.6554222996540072,0.00484517726549121,0.150310771572443,0.1868930225777959,0.002342117970742522
0.03,0.5328958554540956,0.006573665705300843,0.14315419251171557,0.3108307266001508,0.006268773023301578
0.04,0.4337866044394185,0.007957888845578576,0.12614977472639463,0.4197621465659033,0.012012432076975606
0.05,0.3533715543381437,0.009063311796098704,0.10795165457619453,0.5099773631131123,0.01928144461288748
0.06,0.2880270335130975,0.00994249460851445,0.09142727831565459,0.5824753059800318,0.027772046475144467
0.07,0.23488981257050606,0.01063792644438881,0.07729146506636807,0.6396262078249587,0.03721215863771254
0.08,0.19166339541563304,0.011184069263591317,0.06549830097019856,0.6839622211540924,0.047371578855869886
0.09,0.15649221452627182,0.011608918842479235,0.05576698959666146,0.717777343465778,0.05806040714006619
0.1,0.1278716081261356,0.011935235313317505,0.04777455269914638,0.7430282813711914,0.06912393793779538
0.11,0.10457935859665116,0.012181529029089998,0.04122146259711402,0.76134157798943,0.08043701890411743
0.12,0.08562185684965425,0.01236285659369065,0.03584967723222414,0.7740534845047019,0.09189888442169925
0.13,0.07019102008659667,0.012491466223719556,0.03144362576091624,0.7822556100442649,0.1034287275964441
0.14,0.057629524697560504,0.012577321858701206,0.027825681028693254,0.7868372143642258,0.11496201009699096
0.15,0.04740262257356702,0.01262852932248998,0.024850414242105358,0.7885216282417783,0.12644742487473842
0.16,0.03907527175624068,0.012651682647466843,0.022399107065633743,0.7878966639479802,0.1378444131796031
0.17,0.032293536659491744,0.012652145924230238,0.02037500492926301,0.7854396483614636,0.14912113878839375
0.18,0.02676945067352827,0.012634282792035033,0.018699288599519318,0.7815379730632303,0.16025283574498814
0.19,0.02226872991421035,0.01260164273383952,0.017307763576990078,0.7765058216779108,0.17122046657417336
0.2,0.01860075693969161,0.012557112943859439,0.016148179235888724,0.7705977924870251,0.1820096290674761
0.21,0.015610444336388562,0.01250304173907067,0.015177979465314635,0.764020040514058,0.1926096670412388
0.22,0.013171607585814451,0.012441339049662667,0.014362519605521989,0.756939304893434,0.20301294751795393
0.23,0.011181586825330315,0.012373557989463168,0.013673593211681502,0.7494902631676682,0.21321427400014956
0.24,0.009556851037511646,0.012300961526094816,0.013088229668159276,0.741781541353332,0.22321040742836948
0.25,0.00822943661874992,0.012224576495777266,0.012587722250053746,0.733900581519179,0.23299967860342438
0.26,0.007144043897470753,0.012145237641011615,0.012156834002173286,0.7259176121648941,0.24258167266813202
0.27,0.006255690442170287,0.012063623203916204,0.011783155794124301,0.7178888574009404,0.25195697457901034
0.28,0.005527745242419107,0.011980284743225775,0.011456568434684036,0.7098592253415292,0.2611269563906959
0.29,0.004930429390571364,0.01189566987610341,0.011168832155448581,0.7018643586271021,0.27009361553496425
0.3,0.004439503048531384,0.01181014219456166,0.010913227154904148,0.6939324298593192,0.2788594336049835
0.31,0.004035244517230798,0.011723996751676262,0.010684273890358321,0.6860855375524256,0.28742726709237143
0.32,0.003701590901885339,0.011637473096779313,0.010477497644134593,0.6783408807988828,0.29580025582282626
0.33,0.0034254999807539705,0.011550764955578436,0.010289253652190983,0.6707116311278494,0.30398175560550644
0.34,0.003196340888144177,0.011464029473162458,0.010116560135546562,0.6632077648362835,0.31197527401460323
0.35000000000000003,0.003005455892218452,0.011377393862027532,0.009956977995809142,0.6558366612574695,0.31978442488419734
0.36,0.0028458071371673514,0.011290960761337707,0.009808513895306445,0.6486035846362409,0.32741289207859964
0.37,0.002711666520502813,0.011204812941617567,0.009669535485913146,0.6415121064903229,0.33486439795977135
0.38,0.0025983681064625105,0.011119017061088055,0.009538703444067383,0.6345644426745984,0.342142678660277
0.39,0.0025021159683347068,0.011033626581715675,0.009414917971283252,0.6277617153317903,0.34925146537087287
0.4,0.0024198188169153984,0.010948684277750396,0.009297274515835202,0.621104176213234,0.3561944685598916
0.41000000000000003,0.002348959670960267,0.010864224213743183,0.009185027433637454,0.6145913837064834,0.3629753659539018
0.42,0.002287488801175885,0.010780273369357508,0.009077560310839144,0.60822234773993,0.36959779302695467
0.43,0.002233736548165095,0.010696852962033708,0.008974362806224885,0.601995646382123,0.3760653356475489
0.44,0.0021863427603188755,0.010613979518605243,0.00887501031495468,0.5959095214676329,0.3823815244690652
0.45,0.002144199583383285,0.010531665743385864,0.008779148922110637,0.5899619546127046,0.38854983046049396
0.46,0.002106402943368256,0.01044992125487592,0.008686481808495234,0.5841507313160362,0.39457366231546115
0.47000000000000003,0.0020722146862008507,0.01036875316071707,0.008596758838246073,0.578473491151275,0.4004563640645027
0.48,0.0020410329236067153,0.010288166508009013,0.008509768416591292,0.5729277661288622,0.40620121414426597
0.49,0.002012369109210501,0.010208164631825063,0.008425331164686094,0.5675110119217976,0.4118114231384915
0.5,0.0019858247912842696,0.010128749508401964,0.008343293519643158,0.5622206377455251,0.4172901332595787
0.51,0.001961069051732857,0.010049922097654668,0.008263521490626266,0.5570540323435652,0.4226404208923571
0.52,0.0019378339209002245,0.009971682413474875,0.00818589943194143,0.5520085715545636,0.4278652947835
0.53,0.0019158997446764104,0.009894029746208137,0.00811032594835376,0.5470816357264933,0.43296769717596434
0.54,0.001895084849047317,0.009816962819985054,0.00803671102075315,0.5422706220461456,0.4379505045627087
0.55,0.0018752462078462518,0.009740479782606597,0.00796497619747511,0.5375729435331974,0.4428165278419601
0.56,0.0018562585095484119,0.009664578524351982,0.00789504878485902,0.5329860533944126,0.44756851445028273
0.5700000000000001,0.0018380227275105376,0.009589256547621642,0.007826864241440086,0.5285074343553603,0.4522091481713013
0.58,0.001820454105296845,0.00951451115018009,0.00776036286795726,0.5241346115376176,0.45674105143709576
0.59,0.0018034843704670797,0.009440339391601903,0.007695490399128507,0.5198651493033036,0.46116678570490066
0.6,0.0017870567052151282,0.009366738170106383,0.007632196607891985,0.5156966561644256,0.46548885291173375
0.61,0.0017711231234714072,0.009293704262878604,0.007570434434309072,0.5116267867713751,0.46970969694729076
0.62,0.001755643864603405,0.009221234335375587,0.007510159831099382,0.5076532422783792,0.4738317040419874
0.63,0.0017405842842003819,0.00914932498935151,0.007451330821548476,0.5037737714450452,0.477857205678726
0.64,0.001725917389343009,0.009077972723759738,0.007393908273340943,0.4999861694507866,0.4817884765003777
0.65,0.0017116180525064005,0.009007174024033006,0.007337854276229661,0.4962882797733517,0.48562773976908463
0.66,0.0016976653796793478,0.008936925325535958,0.0072831328012043905,0.49267799347100194,0.489377165085676
0.67,0.0016840411172395066,0.008867223038410895,0.007229709475905204,0.4891532476350248,0.49303887173555816
0.68,0.0016707292644934485,0.008798063553527557,0.007177551451676633,0.48571202574116307,0.4966149288529503
0.6900000000000001,0.0016577162295996633,0.008729443240276724,0.00712662747471951,0.4823523565281627,0.5001073563171279
0.7000000000000001,0.0016449896060238064,0.008661358465703171,0.007076907673381077,0.4790723127005567,0.5035181274710114
0.71,0.0016325387218796303,0.008593805583794802,0.007028363221969698,0.4758700059583941,0.5068491738868621
0.72,0.0016203539174151301,0.00852678095880845,0.006980966164014107,0.47274361540675663,0.5101023578331371
0.73,0.0016084260654343771,0.008460280951072211,0.006934686450958742,0.4696913303049523,0.5132795329819192
0.74,0.0015967473051477896,0.008394301930988559,0.006889489420838211,0.46671140988092685,0.5163824863575831
0.75,0.001585309857300599,0.008328840271093712,0.006845358799828308,0.4638021312487443,0.5194129686508744
0.76,0.0015741068462317622,0.008263892354588116,0.00680226679493473,0.4609618233726784,0.5223726892841551
0.77,0.0015631318242320088,0.00819945457493997,0.006760187503002257,0.45818885414258403,0.5252633164245379
0.78,0.0015523786407727056,0.008135523337274568,0.006719097485085077,0.455481628014664,0.5280864788995806
0.79,0.0015418415533544315,0.008072095059023378,0.006678972686682024,0.4528385886214569,0.5308437665506569
0.8,0.0015315150644906327,0.008009166170285872,0.006639790327931401,0.45025821388720794,0.5335367333936335
0.81,0.001521393954645335,0.007946733115463334,0.00660152809979085,0.44773901909009783,0.5361668953244306
0.8200000000000001,0.0015114732417011128,0.007884792353007321,0.006564163875641586,0.4452795538249653,0.5387357334854336
0.8300000000000001,0.0015017481513458475,0.00782334035800746,0.0065276759643697665,0.44287840427945746,0.5412446917635934
0.84,0.0014922140933730863,0.007762373618032313,0.006492042934706418,0.4405341856930155,0.5436951845353212
0.85,0.0014828666741485135,0.007701888637292765,0.006457244612857685,0.4382455507459401,0.5460885872639378
0.86,0.001473701243075307,0.007641881939113168,0.006423268004432546,0.43601117581451626,0.5484262447846151
0.87,0.0014647141063301344,0.00758235006014518,0.006390084440137653,0.4338297832120576,0.5507094706716108
0.88,0.001455901012109973,0.007523289555561509,0.00635767939363994,0.43170011290558136,0.5529395472626635
0.89,0.0014472581096907247,0.007464696996751953,0.0063260333212026435,0.42962094004008866,0.5551177263066923
