t,MT1,MT1cat,MT1T2,MT1T2M2P,M2P,M2,M2T2,M2T2star,M2C1,C1,C1dmt1,C1dm2,T2
0.0,1e-07,0.0,0.0,0.0,5e-08,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,5e-08
0.01,9.982389697499334e-08,2.7879757078464953e-13,1.7580920688228817e-10,1.5020501979970522e-14,4.999998497944644e-08,5.158171082911165e-20,3.698634181200212e-26,1.493116925430292e-30,3.2740234364283564e-28,9.999993221503975e-07,6.778496024589621e-13,1.8022893637140303e-36,4.982417577256414e-08
0.02,9.964879580525096e-08,5.565709744029063e-13,3.5060476333724805e-10,4.2860246755194846e-14,4.999995713956263e-08,1.9016328798528037e-19,3.1887397188608462e-22,1.2747118200042478e-22,4.184387934067561e-24,9.99998645547654e-07,1.3544523460388826e-12,1.5454246288410654e-28,4.964935237622493e-08
0.03,9.947390798352656e-08,8.341257832993121e-13,5.25184434563575e-10,7.345574730762681e-14,4.999992654387346e-08,3.7753081152540645e-19,1.0938078152746677e-21,5.922958259161805e-22,1.631559364703843e-23,9.99997969213089e-07,2.030786911089439e-12,1.0947610195902587e-27,4.94747421093082e-08
0.04,9.929993566662556e-08,1.1107418308583233e-12,6.988376754024096e-10,1.1591531412266108e-13,4.9999884083858836e-08,8.195865185227556e-19,4.407638289639164e-21,2.9696039088186363e-21,7.312284737190456e-23,9.99997294033294e-07,2.705966705998016e-12,6.534473402975406e-27,4.9301046408449055e-08
0.05,9.912687456254796e-08,1.3864231947769448e-12,8.715688124961651e-10,1.7020020805403198e-13,4.999982979823892e-08,1.5348886541473248e-18,1.050188279227176e-20,7.452936979844593e-21,1.7900302617809797e-22,9.999966200045894e-07,3.37999541051818e-12,1.6944006014054674e-26,4.9128260985724804e-08
0.06,9.89547246712938e-08,1.6611698750551774e-12,1.0433778458448421e-09,2.3631042910173973e-13,4.9999763687013705e-08,2.5234372183991265e-18,1.937654132317241e-20,1.404229503899405e-20,3.339561300656187e-22,9.99995947126975e-07,4.052873024649933e-12,3.23233588528282e-26,4.8956385841135446e-08
0.07,9.878348599286304e-08,1.9349818716930213e-12,1.2142647754484406e-09,3.142459772657847e-13,4.9999685750183193e-08,3.7852322112781544e-18,3.1031613882341184e-20,2.273767808626696e-20,5.379821590344674e-22,9.999952754004512e-07,4.724599548393278e-12,5.267253191929594e-26,4.878542097468098e-08
0.08,9.861315852725571e-08,2.2078591846904764e-12,1.3842296013069602e-09,4.0400685254616634e-13,4.999959598774738e-08,5.320273632784409e-18,4.546710046977801e-20,3.3539086121663394e-20,7.910811130846427e-22,9.999946048250176e-07,5.395174981748211e-12,7.799152521345784e-26,4.861536638636142e-08
0.09,9.844374227447181e-08,2.4798018140475425e-12,1.553272323420401e-09,5.055930549428851e-13,4.9999494399706273e-08,7.128561482917895e-18,6.268300108548294e-20,4.6446519145183305e-20,1.093252992216146e-21,9.999939354006742e-07,6.0645993247147344e-12,1.0828033873531396e-25,4.8446222076176744e-08
