t,V_lv,V_rv,V_pa,V_pu,V_ao,V_vc
0.0,0.005,0.005,0.16,0.2,0.8,2.83
0.01,0.0683810644019148,0.03362113997128805,0.15998419502224928,0.13663474057583588,0.7999983908094588,2.8013804692192537
0.02,0.07792596304671652,0.0533724501686052,0.15995517764004472,0.12711885931323877,0.799994213271513,2.7816333365598824
0.03,0.07760923559811148,0.06510005317941357,0.15992590663615114,0.12714813031713235,0.8003045550734583,2.7699121191957348
0.04,0.07637420335665532,0.07025262661866079,0.1598973327812684,0.1271767041720151,0.8015271742084763,2.764771958862926
0.05,0.07421570447555961,0.07085041539962317,0.1598694394714569,0.12720459748182658,0.8036617383079042,2.7641981048636315
0.06,0.0710581032191628,0.07057492251689798,0.16011654928129074,0.12723298055471796,0.806777814836211,2.7642396295917213
0.07,0.06684817076502184,0.06889823611448068,0.16174294610369772,0.1272832701347283,0.810921855429192,2.7643055214528816
0.08,0.061654424775200535,0.06618735345568715,0.1643526688171358,0.12738443008008368,0.816018605438245,2.7644025174336493
0.09,0.055730131326264615,0.06267664697665498,0.16769147203000395,0.12755633334624766,0.8218091661048065,2.764536250216024
0.1,0.049501650113362064,0.058533287577775574,0.17157707642477232,0.1278140883503587,0.8278638908991944,2.7647100066345383
0.11,0.04346508605059941,0.05397528936100973,0.17578113833238107,0.12816802465951577,0.8336865757866108,2.7649238858098846
0.12,0.03803663505187044,0.04927649778021447,0.1800255431263788,0.12862241144631328,0.8388640587913925,2.7651748538038325
0.13,0.033448081863992854,0.044720172978429576,0.18402949540829722,0.12917478396617973,0.8431697669942595,2.7654576987888433
0.14,0.02974355020338942,0.04054283381035125,0.18756505930032003,0.12981655924223526,0.8465656507934957,2.7657663466502105
0.15,0.02684819231281625,0.03689937853057317,0.19049032683872866,0.13053474698360465,0.8491324412473823,2.766094914086897
0.16,0.024642997332084093,0.033860510698661285,0.19274988759431735,0.13131405405992783,0.8509943088609888,2.766438241454023
0.17,0.023010511729239787,0.031433398454737964,0.1943523581239198,0.13213869577424867,0.8522730242690605,2.7667920116487954
0.18,0.021853416798346657,0.029589053220465126,0.19534182776627906,0.13299357136616224,0.8530694702564977,2.767152660592252
0.19,0.021098742180160328,0.028284980885065574,0.1957746581757218,0.13386481329211908,0.8534595870095639,2.7675172184573715
0.2,0.020696679613183805,0.02747961288054945,0.1957049511786415,0.13473988829371555,0.853495723059633,2.7678831449742787
0.21,0.020608229289481014,0.02713981845530019,0.1951771893122695,0.13560744458533683,0.8532191328832,2.768248185474413
0.22,0.020608229289481014,0.02712515108114347,0.19434158108883764,0.13645772018292535,0.852856426631435,2.768610891726179
0.23,0.020608229289481014,0.02712515108114347,0.1935115179012194,0.1372877833705436,0.8524961861515075,2.7689711322061066
0.24,0.020608229289481014,0.02712515108114347,0.19270122465748515,0.13809807661427784,0.8521383946672719,2.769328923690342
0.25,0.020608229289481014,0.02712515108114347,0.19191023080770545,0.13888907046405755,0.8517830355349517,2.769684282822662
0.26,0.020608229289481014,0.02712515108114347,0.19113807557471488,0.1396612256970481,0.851430092206992,2.770037226150622
0.27,0.020608229289481014,0.02712515108114347,0.19038431025605304,0.14041499101570998,0.8510795482560556,2.770387770101558
0.28,0.020608229289481014,0.02712515108114347,0.18964849588264632,0.1411508053891167,0.8507313873659376,2.7707359309916764
0.29,0.020608229289481014,0.02712515108114347,0.18893020516857031,0.1418690961031927,0.8503855933400276,2.771081725017586
0.3,0.020608229289481014,0.02712515108114347,0.18822902302023278,0.14257027825153024,0.8500421501035207,2.771425168254093
0.31,0.020608229289481014,0.02726586286749377,0.18754454295019132,0.1432547583215717,0.8497010406312449,2.771625565940018
0.32,0.020608229289481014,0.030489750244690878,0.18687636511818362,0.1439229361535794,0.849362092112856,2.7687406270812094
0.33,0.020608229289481014,0.035862620954232274,0.18622410131218115,0.14457519995958187,0.8490249731683058,2.7637048753162183
0.34,0.02417128919403366,0.042301536524901914,0.18558683309513543,0.1416494082720748,0.8486895089670958,2.757601423946759
