t,V,Kc,Ki,Nai,y,x,Cai,m,h,d,f,f2,Ca_up,Ca_rel,p
0.0,-60.0,3.0,140.0,7.5,0.007,0.54,5.8e-05,0.076,0.015,0.0011,0.785,0.785,1.98,0.55,0.785
0.01,-62.89695601775872,2.9978196779080934,140.000243302086,7.4995351487136075,0.008631910671973771,0.5005721472891405,5.0102954400097414e-05,0.07612497764420163,0.04469080718390754,5.3354271366966974e-05,0.9615236842095478,0.7974375106274193,1.9597368894880736,0.6034802881182747,0.7641773081945454
0.02,-64.197396764297,2.995188035533834,140.000539408536,7.499083317584814,0.010557345300834652,0.46253371714810454,4.79778809261141e-05,0.06542702396554238,0.07847839325011126,3.190003750397657e-05,0.9938540730963689,0.8092533379029411,1.9409205852807119,0.6531238627734115,0.7503068872613988
0.03,-64.25759027493201,2.9922099697797546,140.00087711118135,7.498642187566982,0.012547985881571352,0.4269584143940662,4.756409486115069e-05,0.06487102470533054,0.10909993048806813,2.9805136479878058e-05,0.9989625913471656,0.8200102381569642,1.9233925014968023,0.6994858034300919,0.7390609682573643
0.04,-63.441142244332504,2.9889669884437353,140.00124769515153,7.49820473249777,0.014411520910568633,0.3943722136061318,4.789504570997543e-05,0.07118536569143685,0.13040525721010224,3.52642805094973e-05,0.9997075957300448,0.8296510686567337,1.9070620735106678,0.7428438951528521,0.7271184644882702
0.05,-62.023399853532595,2.9855166811309064,140.00164502500024,7.497764718788132,0.016007250230645628,0.36492316774330663,4.871071269892496e-05,0.08351972707855458,0.13934037186974801,4.8946764120124185e-05,0.9997662760373167,0.838198230513025,1.8918977822133614,0.7833034645075416,0.7123722530886909
0.06,-60.20427894858625,2.981898337394729,140.00206494440536,7.49731723918967,0.01723753132939759,0.3385347076868418,4.9897171231355504e-05,0.10203316223211267,0.13565813802349316,7.552084579451791e-05,0.9996636464408367,0.8456964306386829,1.8778952316895499,0.8208930951166488,0.6938663590851618
0.07,-58.12589311582349,2.9781387862832958,140.00250464462957,7.496858576221406,0.01803376804328618,0.3150123605850427,5.140448509562644e-05,0.1272633248962102,0.12115447306248994,0.00012470167184853892,0.9994261859802588,0.852197122951026,1.8650500145054625,0.8556368406168007,0.6717288896388128
0.08,-55.886563390782435,2.974256783948876,140.00296218849954,7.4963859970183035,0.01834729531552937,0.2941125517531321,5.323660532758285e-05,0.15976888598636682,0.09909088890217309,0.00021463566431083715,0.9989528394173276,0.8577494876830805,1.853340839953336,0.8875988932202459,0.646848431984224
0.09,-53.55121628074428,2.9702659455170677,140.0034361920255,7.4958975111379536,0.01814871139228339,0.2755852328981081,5.546363288479152e-05,0.19988332511486623,0.07366697747439466,0.0003783327741193136,0.9980169172083952,0.8623915396677926,1.842725739019808,0.9168953059871565,0.6203623300436087
0.1,-51.15781863776118,2.9661767331956352,140.0039256081564,7.495391638336946,0.01743416863360456,0.2591999807035044,5.8255975584964664e-05,0.2475744483474659,0.04924202274884268,0.0006754795492152204,0.9961616158881322,0.866138169833098,1.8331487227944778,0.9436799401746729,0.5932655224308863
0.11,-48.71504019758447,2.961998090710163,140.0044295478586,7.494867399059353,0.016233268089934662,0.24476397987558188,6.19587461158376e-05,0.3025635151941557,0.0292707987225373,0.0012160774618385824,0.9924693108089794,0.868961729516427,1.8245511830500125,0.9681194649383325,0.5662689085099963
0.12,-46.181636796653244,2.9577392920077608,140.00494707550507,7.494324841802846,0.014610583321976066,0.23214198034816297,6.726908731583276e-05,0.36502689029926644,0.015365863160508015,0.002219411037049037,0.9850362379100104,0.8707552914684149,1.8168851117829061,0.9903655139064736,0.5398197667318005
0.13,-43.41281432442354,2.953412686558081,140.0054769022332,7.4937662981539575,0.012653943784084366,0.2212959458072025,7.574837867535134e-05,0.4372242234767137,0.0071184659109883065,0.004207510900167977,0.9695378113657491,0.8712487655376897,1.8101315717594535,1.0105167889557378,0.5141731490367456
0.14,-40.017361917119594,2.949039280635056,140.00601676005942,7.493198954340691,0.010447900655974016,0.2123968366786849,9.170751951529196e-05,0.5267283212683748,0.002874595638653964,0.008845920424579719,0.9344247184086538,0.8697651954786209,1.8043427703871957,1.0285243958027146,0.4894606417127581
0.15,-34.780694083605056,2.9446683208045736,140.00656120922795,7.492643939325108,0.008028520303284516,0.20628657486264323,0.00013225871296638591,0.6546098112889748,0.0008801033520280285,0.0246963658134962,0.8428499813768005,0.8642391984731917,1.7998002415590129,1.0437410150787745,0.46574426621465215
0.16,-21.26783783139421,2.9405523883137774,140.0070821045438,7.492201523782211,0.005260766446457795,0.20860797397937808,0.000355613467992409,0.8701672622113803,7.112189322295196e-05,0.17367972590140246,0.6157673494381926,0.8436855148683664,1.7982111395359142,1.0490956314589268,0.44306227036936774
0.17,17.408251532075745,2.9401176635459025,140.00719724526957,7.4923980129324015,0.0019166420730470312,0.2884519254597969,0.005602510952189882,0.9935775620591478,1.1559481155430261e-07,0.9831200339872814,0.3758219382643655,0.5625288579114333,1.8465286432967374,0.6997008956237036,0.42145435865093067
0.18,19.347793814781433,2.9401459369726877,140.00726041027502,7.4923923853299765,0.0004578244041683042,0.4218521608660925,0.006170523021311975,0.9944928415337793,7.507966057741715e-08,0.9915794789037283,0.2279502433197576,0.19194943023129096,1.9950338510989267,0.30068173171822293,0.40089978727798276
0.19,12.14083643710129,2.939787647862698,140.0073669254638,7.492381618303425,0.00012369171184549639,0.5193729041409265,0.003776154688983182,0.9907209455920645,1.8516954562866992e-07,0.9832154052406253,0.13826829865699955,0.12746910896422103,2.098166282680626,0.15243574069337382,0.3813476746811683
