time,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0.0,1e+16,0.0,0.0,0.0,0.0,0.0
0.0005870841487279843,9918431755048614.0,81568244951385.98,81855715985616.34,288055573769.5841,584683685.6169921,144027.7868847921
0.0011741682974559687,9838099133214596.0,161900866785405.03,163046099158058.72,1146396415941.3179,1164614993.9979033,573198.2079706591
0.0017612524461839531,9758983416582200.0,241016583417801.28,243581228344932.9,2566383531034.6167,1739865916.7789454,1283191.7655173086
0.0023483365949119373,9681066172105544.0,318933827894455.75,323471028994999.2,4539509392174.67,2310507350.00569,2269754.6960873357
0.0029354207436399216,9604329245201230.0,395670754798771.6,402725276626342.44,7057394984160.685,2876609118.799256,3528697.4920803434
0.0035225048923679062,9528754754144976.0,471245245855022.7,481353599820013.5,10111787237342.92,3438239998.7433414,5055893.618671462
0.00410958904109589,9454325087288762.0,545674912711237.0,559365481724392.75,13694557739037.988,3995467726.6063476,6847278.869518996
0.004696673189823875,9381022897261532.0,618977102738468.8,636770263180504.2,17797700054707.867,4548359022.664534,8898850.027353935
0.005283757338551859,9308831085020534.0,691168914979467.4,713577151292432.4,22413322383679.867,5096979651.871233,11206661.191839935
0.005870841487279843,9237732861938730.0,762267138061269.9,789795186107520.4,27533676109526.36,5641394186.111683,13766838.054763181
0.006457925636007828,9167711623520808.0,832288376479192.4,865433308401271.5,33151097715890.83,6181666487.920474,16575548.857945414
0.0070450097847358124,9098751061683534.0,901248938316467.0,940500299426076.1,39258060414084.375,6717859280.553787,19629030.207042187
0.007632093933463796,9030835185408776.0,969164814591225.2,1015004769834626.6,45847183633816.2,7250034068.964403,22923591.8169081
0.00821917808219178,8963948073978338.0,1036051926021664.4,1088955292110011.8,52911119546217.28,7778252084.804899,26455559.773108635
0.008806262230919765,8898074214064019.0,1101925785935983.6,1162360219680874.2,60442708059301.0,8302572995.698741,30221354.029650502
0.00939334637964775,8833198279202493.0,1166801720797510.2,1235227805266716.8,68434875410196.945,8823055749.730783,34217437.70509847
0.009980430528375734,8769305108568785.0,1230694891431219.5,1307566212272045.8,76880624401614.6,9339758656.756968,38440312.200807296
0.010567514677103719,8706379835600822.0,1293620164399182.0,1379383445777427.2,85773093532593.84,9852738896.013557,42886546.76629692
0.011154598825831702,8644407795589364.0,1355592204410638.2,1450687402127339.5,95105514508272.02,10362052869.950254,47552757.254136
0.011741682974559686,8583374542286007.0,1416625457713996.8,1521485860026015.2,104871219868954.75,10867756140.711294,52435609.934477374
0.012328767123287671,8523265837460303.0,1476734162539699.0,1591786486152669.8,115063638177489.17,11369903470.232756,57531819.08874458
0.012915851272015656,8464067703061283.0,1535932296938719.0,1661596807165028.2,125676318009482.11,11868548620.449003,62838159.004741065
0.01350293542074364,8405766337999159.0,1594233662000843.2,1730924254375105.8,136702889669984.47,12363744672.131628,68351444.83499224
0.014090019569471625,8348348141875421.0,1651651858124581.2,1799776151017454.0,148137076102905.62,12855543934.04262,74068538.05145283
0.014677103718199608,8291799716459962.0,1708200283540038.8,1868159711462113.8,159972693564992.88,13343997937.329617,79986346.78249645
0.015264187866927592,8236107924503022.0,1763892075496979.2,1936082009643932.8,172203678678878.56,13829157210.223133,86101839.3394393
0.015851272015655577,8181259788639023.0,1818740211360978.5,2003550033344952.2,184824041917234.75,14311071665.44839,92412020.95861737
0.01643835616438356,8127242504521129.0,1872757495478871.8,2070570677147854.0,197827873640670.22,14789790549.946554,98913936.8203351
0.017025440313111546,8074043469154758.0,1925956530845242.5,2137150727229291.0,211209357128163.16,15265362336.359135,105604678.56408158
0.01761252446183953,8021650311320444.0,1978349688679557.5,2203296845020059.5,224962782579409.16,15737834606.401129,112481391.28970459
0.018199608610567516,7970050836446917.0,2029949163553084.0,2269015596819046.5,239082521736823.6,16207254262.244892,119541260.8684118
0.0187866927592955,7919232999296765.0,2080767000703236.2,2334313468468497.0,253563015309242.62,16673667631.276306,126781507.65462132
0.01937377690802348,7869184951224197.0,2130815048775803.8,2399196839975124.5,268398794720042.06,17137120284.956926,134199397.36002102
0.019960861056751468,7819895039220598.0,2180104960779402.5,2463671986017856.0,283584481672419.75,17597657042.437477,141792240.83620986
0.02054794520547945,7771351792845985.0,2228648207154016.2,2527745082975872.0,299114782126035.44,18055322020.740047,149557391.06301773
0.021135029354207437,7723543890133423.0,2276456109866577.5,2591422227260441.0,314984470586091.44,18510158765.644016,157492235.29304573
0.02172211350293542,7676460190682930.0,2323539809317071.0,2654709417526787.5,331188405347888.6,18962210124.692596,165594202.6739443
