t,P,c,h
0.0,0.0,0.3,1.0
0.01,0.007197134509536815,0.29687161274482166,0.9925100335340721
0.02,0.014388595382427172,0.2989049995010254,0.9854158804820051
0.03,0.02157446716306236,0.3042666839934101,0.9784965669650878
0.04,0.028754832458754497,0.31060117385493036,0.9716596481585807
0.05,0.03592977200234071,0.3172237899346687,0.9648752812702203
0.06,0.0430993647096052,0.3239284487155032,0.9581317442577779
0.07,0.05026368773449055,0.33063957465940835,0.9514235107789885
0.08,0.057422816522199244,0.33732458598513243,0.9447476847123075
0.09,0.06457682486027881,0.3439676396396261,0.9381027054420794
0.1,0.0717257849277908,0.3505602630102908,0.9314877916449967
0.11,0.0788697673426414,0.35709757830530153,0.9249026707180625
0.12,0.08600884120715653,0.36357659930205727,0.918347429382303
0.13,0.09314307415197676,0.3699953975507006,0.9118224233178404
0.14,0.1002725323784039,0.3763526596017123,0.905328216876145
0.15,0.10739728069913262,0.3826474601422589,0.8988655415773659
0.16,0.11451738257757531,0.38887911919094736,0.8924352631270872
0.17,0.12163290016577365,0.3950471199594899,0.8860383558732248
0.18,0.12874389434089925,0.4011510593186077,0.8796758817732763
0.19,0.13585042474065823,0.40719061442163673,0.8733489720462321
0.2,0.14295254979739314,0.41316552090818814,0.867058811567052
0.21,0.1500503267709288,0.41907556359691295,0.8608066257582878
0.22,0.1571438117800102,0.424920567120372,0.8545936685093817
0.23,0.16423305983343503,0.4307003880347675,0.8484212107553647
0.24,0.17131812485950706,0.43641491281073885,0.8422905311930766
0.25,0.1783990597344567,0.4420640551826688,0.8362029078783026
0.26,0.18547591631050825,0.4476477541773012,0.8301596100795918
0.27,0.19254874544211378,0.45316597386023566,0.8241618918769369
0.28,0.19961759701087659,0.4586187030917178,0.8182109867538399
0.29,0.2066825199553795,0.4640059527916337,0.8123080980185969
0.3,0.21374356229135294,0.4693277577168755,0.8064543974676273
0.31,0.2208007711312103,0.4745841784580382,0.800651024581401
0.32,0.2278541927178921,0.47977529721601986,0.7948990735092138
0.33,0.23490387243511288,0.4849012205683354,0.7891995990066607
0.34,0.2419498548344309,0.48996207874934145,0.7835536094108008
0.35000000000000003,0.24899218365918874,0.494958025076514,0.7779620618135734
0.36,0.2560309018541682,0.49988923619993175,0.7724258673418924
0.37,0.2630660515957596,0.5047559119796042,0.7669458822882529
0.38,0.2700976743061256,0.5095582750306205,0.7615229098989099
0.39,0.27712581066760417,0.5142965702163218,0.7561577019637767
0.4,0.2841505006493909,0.5189710649402112,0.7508509525887032
0.41000000000000003,0.29117178351571726,0.5235820479794367,0.7456033030207173
0.42,0.2981896978467306,0.5281298294156818,0.7404153392258421
0.43,0.3052042815564979,0.5326147402966281,0.7352875909134728
0.44,0.31221557189999855,0.5370371312702458,0.7302205361614525
0.45,0.3192236055000918,0.5413973731013035,0.7252145962368128
0.46,0.32622841836171795,0.5456958559842092,0.7202701366002233
0.47000000000000003,0.33323004587136185,0.5499329875306751,0.7153874743885927
0.48,0.34022852282089194,0.5541091929623403,0.7105668750481442
